cdli_id,factgrid_qid,artifact_label,write_action,claims_written,claims_skipped,write_status,write_error,label_collision_qid
439237,Q2162123,"Cuneiform Tablet KBo 37, 113",create,10,1,written,,
399046,Q2162124,Cuneiform Tablet K 11024,create,10,1,written,,
574529,Q2162125,Cuneiform Tablet BM 055493,create,7,1,written,,
257022,Q2162126,Cuneiform Tablet UM 29-16-559,create,11,1,written,,
522349,Q2162127,Cuneiform Artifact CDLI Seals 015351 (physical),create,6,1,written,,
304722,Q2058675,Cuneiform Tablet Feuerherm diss. K015,update,3,8,written,,
387058,Q2162128,"Cuneiform Tablet TCL 11, 243",create,10,1,written,,
352142,Q2162129,"Cuneiform Tablet ARM 21, 140",create,11,1,written,,
408993,Q2162130,"Cuneiform Tablet HSS 15, 186",create,10,1,written,,
409681,Q2162131,Cuneiform Tablet CUNES 48-09-306,create,7,1,written,,
282138,Q1928495,Cuneiform Tablet KAJ 124a,update,4,6,written,,
509019,Q2162132,"Cuneiform Tablet OIP 043, 190 TA 1930 T083",create,10,1,written,,
471449,Q2162133,Cuneiform Tablet PTS 3357,create,9,1,written,,
305830,Q2025073,"Cuneiform Tablet CDLI Literary 000356, ex. 006",update,3,8,written,,
143464,Q2031042,"Cuneiform Tablet SAT 2, 0264",update,4,8,written,,
334394,Q1973479,Cuneiform Tablet ABL 0573,update,4,8,written,,
10364,Q1995966,"Cuneiform Tablet OIP 099, 435",update,4,8,written,,
115204,Q1952036,"Cuneiform Tablet MVN 07, 334",update,4,8,written,,
200950,Q2051668,"Cuneiform Tablet UE 10, 407",update,4,7,written,,
542948,Q2162134,Cuneiform Artifact CDLI Seals 022094 (physical),create,8,1,written,,
540975,Q2162135,Cuneiform Artifact CDLI Seals 020099 (physical),create,9,1,written,,
591085,Q2162136,Cuneiform Tablet BM 072400,create,9,1,written,,
218199,Q2029485,"Cuneiform Tablet SANTAG 7, 124",update,4,8,written,,
445815,Q2162137,"Cuneiform Tablet KUB 37, 072",create,10,1,written,,
141459,Q2162138,"Cuneiform Tablet UTI 5, 3441",create,11,1,written,,
447828,Q2162139,Cuneiform Tablet KuSa 1/1.05,create,10,1,written,,
117239,Q1959762,"Cuneiform Tablet MVN 13, 466",update,4,8,written,,
576514,Q2162140,Cuneiform Tablet BM 051440,create,9,1,written,,
520374,Q2162141,Cuneiform Tablet NHMU AR4097,create,6,1,written,,
139691,Q2162142,"Cuneiform Tablet UTI 3, 1672",create,11,1,written,,
318701,Q2162143,Cuneiform Tablet BM 019233,create,11,1,written,,
425214,Q2162144,Cuneiform Tablet Sm 0043,create,9,1,written,,
473474,Q2162145,Cuneiform Artifact CDLI Seals 007219 (physical),create,8,1,written,,
385065,Q2162146,"Cuneiform Tablet OECT 10, 052",create,9,1,written,,
333451,Q2162147,Cuneiform Tablet Sb 02135,create,10,1,written,,
280105,Q2162148,Cuneiform Tablet N 6341,create,8,1,written,,
493620,Q1987045,"Cuneiform Tablet Assur 3/1, 08",update,5,5,written,,
365231,Q2162149,"Cuneiform Tablet CT 11, pl. 28, K 08387",create,10,1,written,,
260351,Q1369049,Cuneiform Tablet KTP 20,update,5,6,written,,
458724,Q2162150,Cuneiform Artifact CDLI Seals 006014 (physical),create,8,1,written,,
236531,Q2162151,"Cuneiform Tablet BIN 09, 521",create,10,1,written,,
354995,Q2162152,"Cuneiform Tablet ARM 26/2, 438",create,11,1,written,,
596740,Q2162153,Cuneiform Tablet BM 083139,create,9,1,written,,
243431,Q2162154,"Cuneiform Tablet ARET 12, 0242",create,10,1,written,,
310331,Q2162155,"Cuneiform Tablet YOS 17, 259",create,11,1,written,,
215251,Q1933382,"Cuneiform Tablet MAD 4, 089",update,4,7,written,,
100905,Q1984625,Cuneiform Tablet Amherst 067,update,4,7,written,,
5865,Q2162156,"Cuneiform Tablet UET 2, 0275",create,11,1,written,,
346551,Q2026523,"Cuneiform Tablet CDLI Literary 000380, ex. 048",update,4,8,written,,
432928,Q2162157,Cuneiform Tablet MM 1171,create,10,1,written,,
450314,Q2020471,"Cuneiform Artifact RINAP 3/1 Sennacherib 004, ex. 066",update,4,8,written,,
406574,Q2162158,Cuneiform Tablet SM 1909.05.465,create,11,1,written,,
555274,Q2162159,Cuneiform Tablet MacGinnis Letter Orders from Sippar 34,create,11,1,written,,
503414,Q2162160,Cuneiform Tablet RS 16.0180,create,9,0,written,,
528744,Q2162161,Cuneiform Artifact CDLI Seals 015791 (physical),create,6,1,written,,
404549,Q2162162,Cuneiform Tablet K 19768,create,10,1,written,,
535875,Q1368364,"Cuneiform Tablet AKT 7a, 058",update,6,5,written,,
430915,Q2162163,"Cuneiform Tablet CT 47, 16",create,10,1,written,,
452329,Q2162164,Cuneiform Artifact P452329,create,10,1,written,,
102938,Q1990966,"Cuneiform Tablet AUCT 1, 092",update,4,7,written,,
557249,Q2162165,Cuneiform Tablet BM 034431,create,8,1,written,,
371622,Q2162166,"Cuneiform Tablet VS 04, 098",create,8,1,written,,
275850,Q2162167,Cuneiform Tablet NATN p. 54 catalogue,create,11,1,written,,
341294,Q2162168,"Cuneiform Tablet ARM 07, 091",create,11,1,written,,
