review_decision,review_notes,old_cdli_id,canonical_factgrid_qid,canonical_factgrid_url,duplicate_factgrid_qid,duplicate_factgrid_url,canonical_label,duplicate_label_to_preserve,all_labels_seen,duplicate_group_qids,duplicate_count_for_cdli_id,reuse_pool_status,future_reuse_status,source_duplicate_audit,reuse_precondition_1,reuse_precondition_2,reuse_precondition_3
,,P229805,Q894728,https://database.factgrid.de/wiki/Item:Q894728,Q2057724,https://database.factgrid.de/wiki/Item:Q2057724,Cuneiform Tablet HS 1701,Cuneiform Tablet HS 1701,"Cuneiform Tablet HS 1701 | Cuneiform Tablet EEN 313, HS 1701",Q2057724,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229806,Q894052,https://database.factgrid.de/wiki/Item:Q894052,Q2057726,https://database.factgrid.de/wiki/Item:Q2057726,Cuneiform Tablet HS 1734,Cuneiform Tablet HS 1734,"Cuneiform Tablet HS 1734 | Cuneiform Tablet EEN 313, HS 1734",Q2057726,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229807,Q894678,https://database.factgrid.de/wiki/Item:Q894678,Q2057728,https://database.factgrid.de/wiki/Item:Q2057728,Cuneiform Tablet HS 1744,Cuneiform Tablet HS 1744,"Cuneiform Tablet HS 1744 | Cuneiform Tablet EEN 313, HS 1744",Q2057728,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229809,Q894163,https://database.factgrid.de/wiki/Item:Q894163,Q2057730,https://database.factgrid.de/wiki/Item:Q2057730,Cuneiform Tablet HS 1798,Cuneiform Tablet HS 1798,"Cuneiform Tablet HS 1798 | Cuneiform Tablet EEN 313, HS 1798",Q2057730,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229811,Q894682,https://database.factgrid.de/wiki/Item:Q894682,Q2057738,https://database.factgrid.de/wiki/Item:Q2057738,Cuneiform Tablet HS 1827,Cuneiform Tablet HS 1827,"Cuneiform Tablet HS 1827 | Cuneiform Tablet EEN 314, HS 1827",Q2057738,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229878,Q894327,https://database.factgrid.de/wiki/Item:Q894327,Q2063630,https://database.factgrid.de/wiki/Item:Q2063630,Cuneiform Tablet HS 1669,Cuneiform Tablet HS 1669,Cuneiform Tablet HS 1669,Q2063630,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229879,Q894461,https://database.factgrid.de/wiki/Item:Q894461,Q2063632,https://database.factgrid.de/wiki/Item:Q2063632,Cuneiform Tablet HS 1671,Cuneiform Tablet HS 1671,Cuneiform Tablet HS 1671,Q2063632,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229881,Q894622,https://database.factgrid.de/wiki/Item:Q894622,Q2063636,https://database.factgrid.de/wiki/Item:Q2063636,Cuneiform Tablet HS 1673,Cuneiform Tablet HS 1673,Cuneiform Tablet HS 1673,Q2063636,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229882,Q894096,https://database.factgrid.de/wiki/Item:Q894096,Q2063638,https://database.factgrid.de/wiki/Item:Q2063638,Cuneiform Tablet HS 1676,Cuneiform Tablet HS 1676,Cuneiform Tablet HS 1676,Q2063638,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229883,Q894286,https://database.factgrid.de/wiki/Item:Q894286,Q2063640,https://database.factgrid.de/wiki/Item:Q2063640,Cuneiform Tablet HS 1677,Cuneiform Tablet HS 1677,Cuneiform Tablet HS 1677,Q2063640,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
