reuse_pool_status,reuse_candidate_class,qid_available_for_future_entity,canonical_factgrid_qid,old_cdli_id,old_duplicate_label_to_preserve,canonical_label,old_aliases_to_preserve,reuse_precondition_1,reuse_precondition_2,reuse_precondition_3,future_entity_type,future_entity_label,future_reuse_status,source_duplicate_audit,human_review_decision,human_review_notes
candidate,duplicate_p692_cdli_artifact,Q2044630,Q2044624,P453579,"Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044631,Q2044625,P145776,"Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044632,Q2044625,P145776,"Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044633,Q2044625,P145776,"Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044634,Q2044625,P145776,"Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044635,Q2044625,P145776,"Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044636,Q2044624,P453579,"Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044637,Q2044624,P453579,"Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044638,Q2044625,P145776,"Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044639,Q2044625,P145776,"Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328","Cuneiform Tablet TCS 1, 328",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044640,Q2044624,P453579,"Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044641,Q2044624,P453579,"Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044642,Q2044624,P453579,"Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2044643,Q2044624,P453579,"Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478","Cuneiform Tablet CUSAS 03, 1478",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2046977,Q894483,P020415,Cuneiform Tablet HS 751,Cuneiform Tablet HS 751,"Cuneiform Tablet HS 751 | Cuneiform Tablet TMH 05, 001",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2046979,Q894522,P020416,Cuneiform Tablet HS 752,Cuneiform Tablet HS 752,"Cuneiform Tablet HS 752 | Cuneiform Tablet TMH 05, 002",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2046991,Q894745,P020422,Cuneiform Tablet HS 758,Cuneiform Tablet HS 758,"Cuneiform Tablet HS 758 | Cuneiform Tablet TMH 05, 008",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2046998,Q894090,P020424,Cuneiform Tablet HS 760,Cuneiform Tablet HS 760,"Cuneiform Tablet HS 760 | Cuneiform Tablet TMH 05, 010",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047000,Q894712,P020425,Cuneiform Tablet HS 761,Cuneiform Tablet HS 761,"Cuneiform Tablet HS 761 | Cuneiform Tablet TMH 05, 011",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047002,Q894741,P020426,Cuneiform Tablet HS 762,Cuneiform Tablet HS 762,"Cuneiform Tablet HS 762 | Cuneiform Tablet TMH 05, 012",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047004,Q894316,P020427,Cuneiform Tablet HS 763,Cuneiform Tablet HS 763,"Cuneiform Tablet HS 763 | Cuneiform Tablet TMH 05, 013",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047008,Q894320,P020429,Cuneiform Tablet HS 765,Cuneiform Tablet HS 765,"Cuneiform Tablet HS 765 | Cuneiform Tablet TMH 05, 015",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
