Clay_tablet,Clay_tabletLabel,CDLI_ID
https://database.factgrid.de/entity/Q892451,Cuneiform Tablet KHT 143,P532098
https://database.factgrid.de/entity/Q892453,Cuneiform Tablet KHT 144,P532099
https://database.factgrid.de/entity/Q892456,Cuneiform Tablet KHT 145,P531619
https://database.factgrid.de/entity/Q892457,Cuneiform Tablet KHT 146,P531620
https://database.factgrid.de/entity/Q892458,Cuneiform Tablet KHT 147,P531621
https://database.factgrid.de/entity/Q892459,Cuneiform Tablet KHT 148,P531622
https://database.factgrid.de/entity/Q892460,Cuneiform Tablet KHT 39,P531623
https://database.factgrid.de/entity/Q892461,Cuneiform Tablet KHT 150,P531624
https://database.factgrid.de/entity/Q892462,Cuneiform Tablet KHT 151,P531625
https://database.factgrid.de/entity/Q892463,Cuneiform Tablet KHT 210,P531626
https://database.factgrid.de/entity/Q892464,Cuneiform Tablet KHT 154,P531628
https://database.factgrid.de/entity/Q892465,Cuneiform Tablet KHT 155,P531629
https://database.factgrid.de/entity/Q892466,Cuneiform Tablet KHT 156,P531630
https://database.factgrid.de/entity/Q892467,Cuneiform Tablet KHT 157,P531631
https://database.factgrid.de/entity/Q892468,Cuneiform Tablet KHT 158,P531632
https://database.factgrid.de/entity/Q892469,Cuneiform Tablet KHT 159,P531633
https://database.factgrid.de/entity/Q892470,Cuneiform Tablet KHT 160,P531634
https://database.factgrid.de/entity/Q892471,Cuneiform Tablet KHT 161,P531635
https://database.factgrid.de/entity/Q892722,Cuneiform Tablet KHT 343,P531732
https://database.factgrid.de/entity/Q892723,Cuneiform Tablet KHT 344,P531733
https://database.factgrid.de/entity/Q892724,Cuneiform Tablet KHT 345,P531734
https://database.factgrid.de/entity/Q892725,Cuneiform Tablet KHT 346,P531735
https://database.factgrid.de/entity/Q892726,Cuneiform Tablet KHT 347,P531736
https://database.factgrid.de/entity/Q892727,Cuneiform Tablet KHT 348,P531737
https://database.factgrid.de/entity/Q892728,Cuneiform Tablet KHT 349,P531738
https://database.factgrid.de/entity/Q892729,Cuneiform Tablet KHT 350,P531739
https://database.factgrid.de/entity/Q892730,Cuneiform Tablet KHT 351,P531740
https://database.factgrid.de/entity/Q892731,Cuneiform Tablet KHT 352,P531741
https://database.factgrid.de/entity/Q892732,Cuneiform Tablet KHT 353,P531742
https://database.factgrid.de/entity/Q892733,Cuneiform Tablet KHT 354,P531743
https://database.factgrid.de/entity/Q892734,Cuneiform Tablet KHT 355,P531744
https://database.factgrid.de/entity/Q892735,Cuneiform Tablet KHT 356,P531745
https://database.factgrid.de/entity/Q892737,Cuneiform Tablet KHT 357,P531747
https://database.factgrid.de/entity/Q892738,Cuneiform Tablet KHT 358,P531748
https://database.factgrid.de/entity/Q892739,Cuneiform Tablet KHT 359,P531749
https://database.factgrid.de/entity/Q892740,Cuneiform Tablet KHT 360,P531750
https://database.factgrid.de/entity/Q892741,Cuneiform Tablet KHT 361,P531751
