match_key_type,match_key,factgrid_qid,factgrid_label,source
cdli_id,239735,Q2142704,Cuneiform Tablet K 19048,factgrid_live_existing_artifact_register
cdli_id,P239735,Q2142704,Cuneiform Tablet K 19048,factgrid_live_existing_artifact_register
cdli_id,P136495,Q2052160,"Cuneiform Tablet UET 3, 0178",factgrid_live_existing_artifact_register
cdli_id,136495,Q2052160,"Cuneiform Tablet UET 3, 0178",factgrid_live_existing_artifact_register
cdli_id,P401340,Q2142706,Cuneiform Tablet K 15377,factgrid_live_existing_artifact_register
cdli_id,401340,Q2142706,Cuneiform Tablet K 15377,factgrid_live_existing_artifact_register
cdli_id,504220,Q2142707,Cuneiform Tablet RS 94.5013,factgrid_live_existing_artifact_register
cdli_id,P504220,Q2142707,Cuneiform Tablet RS 94.5013,factgrid_live_existing_artifact_register
cdli_id,P579710,Q2142708,Cuneiform Tablet BM 058622,factgrid_live_existing_artifact_register
cdli_id,579710,Q2142708,Cuneiform Tablet BM 058622,factgrid_live_existing_artifact_register
cdli_id,P317505,Q2142709,Cuneiform Tablet BM 016179,factgrid_live_existing_artifact_register
cdli_id,317505,Q2142709,Cuneiform Tablet BM 016179,factgrid_live_existing_artifact_register
cdli_id,3143,Q2142710,"Cuneiform Tablet W 19410,03",factgrid_live_existing_artifact_register
cdli_id,P003143,Q2142710,"Cuneiform Tablet W 19410,03",factgrid_live_existing_artifact_register
cdli_id,P212465,Q1982381,"Cuneiform Tablet AfO 31, 02",factgrid_live_existing_artifact_register
cdli_id,212465,Q1982381,"Cuneiform Tablet AfO 31, 02",factgrid_live_existing_artifact_register
cdli_id,244205,Q2142711,"Cuneiform Tablet ARET 12, 0921",factgrid_live_existing_artifact_register
cdli_id,P244205,Q2142711,"Cuneiform Tablet ARET 12, 0921",factgrid_live_existing_artifact_register
cdli_id,578802,Q2142712,Cuneiform Tablet BM 054218,factgrid_live_existing_artifact_register
cdli_id,P578802,Q2142712,Cuneiform Tablet BM 054218,factgrid_live_existing_artifact_register
cdli_id,323959,Q2045108,"Cuneiform Tablet CUSAS 11, 152",factgrid_live_existing_artifact_register
cdli_id,P323959,Q2045108,"Cuneiform Tablet CUSAS 11, 152",factgrid_live_existing_artifact_register
cdli_id,106023,Q1999578,"Cuneiform Tablet BIN 03, 217",factgrid_live_existing_artifact_register
cdli_id,P106023,Q1999578,"Cuneiform Tablet BIN 03, 217",factgrid_live_existing_artifact_register
cdli_id,P209383,Q1999453,"Cuneiform Tablet Ontario 2, 173",factgrid_live_existing_artifact_register
cdli_id,209383,Q1999453,"Cuneiform Tablet Ontario 2, 173",factgrid_live_existing_artifact_register
cdli_id,258226,Q2142715,Cuneiform Tablet CBS 00773,factgrid_live_existing_artifact_register
cdli_id,P258226,Q2142715,Cuneiform Tablet CBS 00773,factgrid_live_existing_artifact_register
cdli_id,P436033,Q2142716,"Cuneiform Tablet KBo 18, 046",factgrid_live_existing_artifact_register
cdli_id,436033,Q2142716,"Cuneiform Tablet KBo 18, 046",factgrid_live_existing_artifact_register
cdli_id,4686,Q2142718,"Cuneiform Tablet BagM 22, 062, W 23973,4",factgrid_live_existing_artifact_register
cdli_id,P004686,Q2142718,"Cuneiform Tablet BagM 22, 062, W 23973,4",factgrid_live_existing_artifact_register
cdli_id,533153,Q2142719,Cuneiform Tablet Fort. 11811,factgrid_live_existing_artifact_register
cdli_id,P533153,Q2142719,Cuneiform Tablet Fort. 11811,factgrid_live_existing_artifact_register
cdli_id,396242,Q2142720,Cuneiform Tablet Shamash Religious Texts pl. 08 K 05900,factgrid_live_existing_artifact_register
cdli_id,P396242,Q2142720,Cuneiform Tablet Shamash Religious Texts pl. 08 K 05900,factgrid_live_existing_artifact_register
cdli_id,293322,Q2142721,Cuneiform Tablet NBC 11556,factgrid_live_existing_artifact_register
cdli_id,P293322,Q2142721,Cuneiform Tablet NBC 11556,factgrid_live_existing_artifact_register
cdli_id,P460653,Q2142722,Cuneiform Tablet FLP 2263,factgrid_live_existing_artifact_register
cdli_id,460653,Q2142722,Cuneiform Tablet FLP 2263,factgrid_live_existing_artifact_register
cdli_id,P565733,Q2142723,"Cuneiform Tablet AJA 94 (1990) p. 568-579, L85-094",factgrid_live_existing_artifact_register
cdli_id,565733,Q2142723,"Cuneiform Tablet AJA 94 (1990) p. 568-579, L85-094",factgrid_live_existing_artifact_register
cdli_id,P320676,Q2142725,"Cuneiform Tablet Nisaba 08, 230",factgrid_live_existing_artifact_register
cdli_id,320676,Q2142725,"Cuneiform Tablet Nisaba 08, 230",factgrid_live_existing_artifact_register
cdli_id,273176,Q2060409,Cuneiform Tablet Gilgamesh II 004-006,factgrid_live_existing_artifact_register
cdli_id,P273176,Q2060409,Cuneiform Tablet Gilgamesh II 004-006,factgrid_live_existing_artifact_register
cdli_id,P462394,Q2142726,Cuneiform Tablet CST 189,factgrid_live_existing_artifact_register
cdli_id,462394,Q2142726,Cuneiform Tablet CST 189,factgrid_live_existing_artifact_register
cdli_id,P376016,Q2142727,Cuneiform Tablet BM 110152,factgrid_live_existing_artifact_register
cdli_id,376016,Q2142727,Cuneiform Tablet BM 110152,factgrid_live_existing_artifact_register
cdli_id,585567,Q2142728,Cuneiform Tablet BM 065989,factgrid_live_existing_artifact_register
cdli_id,P585567,Q2142728,Cuneiform Tablet BM 065989,factgrid_live_existing_artifact_register
cdli_id,480407,Q2142729,"Cuneiform Tablet StPohl SM 11, 13",factgrid_live_existing_artifact_register
cdli_id,P480407,Q2142729,"Cuneiform Tablet StPohl SM 11, 13",factgrid_live_existing_artifact_register
cdli_id,556950,Q2142730,"Cuneiform Tablet ADART 4, p. 308, BM 036653",factgrid_live_existing_artifact_register
cdli_id,P556950,Q2142730,"Cuneiform Tablet ADART 4, p. 308, BM 036653",factgrid_live_existing_artifact_register
cdli_id,P394785,Q2142731,"Cuneiform Tablet RINAP 5/2, Ashurbanipal 190 ex. 001",factgrid_live_existing_artifact_register
cdli_id,394785,Q2142731,"Cuneiform Tablet RINAP 5/2, Ashurbanipal 190 ex. 001",factgrid_live_existing_artifact_register
cdli_id,6341,Q2142732,Cuneiform Tablet MS 4572,factgrid_live_existing_artifact_register
cdli_id,P006341,Q2142732,Cuneiform Tablet MS 4572,factgrid_live_existing_artifact_register
cdli_id,313815,Q2037448,"Cuneiform Tablet CT 53, 401",factgrid_live_existing_artifact_register
cdli_id,P313815,Q2037448,"Cuneiform Tablet CT 53, 401",factgrid_live_existing_artifact_register
cdli_id,P453830,Q1985532,"Cuneiform Tablet Nisaba 15, 0417",factgrid_live_existing_artifact_register
cdli_id,453830,Q1985532,"Cuneiform Tablet Nisaba 15, 0417",factgrid_live_existing_artifact_register
cdli_id,531494,Q2142733,"Cuneiform Tablet DAAM 2, 08",factgrid_live_existing_artifact_register
cdli_id,P531494,Q2142733,"Cuneiform Tablet DAAM 2, 08",factgrid_live_existing_artifact_register
cdli_id,P128171,Q2024199,Cuneiform Tablet Rochester 066,factgrid_live_existing_artifact_register
cdli_id,128171,Q2024199,Cuneiform Tablet Rochester 066,factgrid_live_existing_artifact_register
cdli_id,P132985,Q2045023,"Cuneiform Tablet TCTI 2, 03785",factgrid_live_existing_artifact_register
cdli_id,132985,Q2045023,"Cuneiform Tablet TCTI 2, 03785",factgrid_live_existing_artifact_register
cdli_id,498934,Q1362487,Cuneiform Tablet Kt 94/k 1751 (AKT 6a 131),factgrid_live_existing_artifact_register
cdli_id,P498934,Q1362487,Cuneiform Tablet Kt 94/k 1751 (AKT 6a 131),factgrid_live_existing_artifact_register
cdli_id,216975,Q2025016,Cuneiform Tablet RTC 202,factgrid_live_existing_artifact_register
cdli_id,P216975,Q2025016,Cuneiform Tablet RTC 202,factgrid_live_existing_artifact_register
cdli_id,103221,Q1991532,"Cuneiform Tablet AUCT 1, 376",factgrid_live_existing_artifact_register
cdli_id,P103221,Q1991532,"Cuneiform Tablet AUCT 1, 376",factgrid_live_existing_artifact_register
cdli_id,P582758,Q2142734,Cuneiform Tablet BM 062668,factgrid_live_existing_artifact_register
cdli_id,582758,Q2142734,Cuneiform Tablet BM 062668,factgrid_live_existing_artifact_register
cdli_id,P001484,Q2142735,"Cuneiform Tablet ATU 5, pl. 094, W 9656,br",factgrid_live_existing_artifact_register
cdli_id,1484,Q2142735,"Cuneiform Tablet ATU 5, pl. 094, W 9656,br",factgrid_live_existing_artifact_register
cdli_id,325474,Q2142736,Cuneiform Tablet CUNES 51-06-027,factgrid_live_existing_artifact_register
cdli_id,P325474,Q2142736,Cuneiform Tablet CUNES 51-06-027,factgrid_live_existing_artifact_register
cdli_id,209679,Q1999571,"Cuneiform Tablet Ontario 2, 234",factgrid_live_existing_artifact_register
cdli_id,P209679,Q1999571,"Cuneiform Tablet Ontario 2, 234",factgrid_live_existing_artifact_register
cdli_id,274349,Q1925456,"Cuneiform Tablet ITT 5, 09738",factgrid_live_existing_artifact_register
cdli_id,P274349,Q1925456,"Cuneiform Tablet ITT 5, 09738",factgrid_live_existing_artifact_register
cdli_id,P371229,Q2142737,"Cuneiform Tablet RINBE 2, Nabonidus x1003, ex. 01",factgrid_live_existing_artifact_register
cdli_id,371229,Q2142737,"Cuneiform Tablet RINBE 2, Nabonidus x1003, ex. 01",factgrid_live_existing_artifact_register
cdli_id,P373214,Q2142738,"Cuneiform Tablet VS 20, 037",factgrid_live_existing_artifact_register
cdli_id,373214,Q2142738,"Cuneiform Tablet VS 20, 037",factgrid_live_existing_artifact_register
cdli_id,580765,Q2142739,Cuneiform Tablet BM 059812,factgrid_live_existing_artifact_register
cdli_id,P580765,Q2142739,Cuneiform Tablet BM 059812,factgrid_live_existing_artifact_register
cdli_id,P393040,Q2142740,Cuneiform Tablet KTT p. 032 Bi.29/50:126,factgrid_live_existing_artifact_register
cdli_id,393040,Q2142740,Cuneiform Tablet KTT p. 032 Bi.29/50:126,factgrid_live_existing_artifact_register
cdli_id,P560531,Q2142741,Cuneiform Tablet BM 017193,factgrid_live_existing_artifact_register
cdli_id,560531,Q2142741,Cuneiform Tablet BM 017193,factgrid_live_existing_artifact_register
cdli_id,P433231,Q2142742,Cuneiform Tablet X.3.259 unpublished assigned,factgrid_live_existing_artifact_register
cdli_id,433231,Q2142742,Cuneiform Tablet X.3.259 unpublished assigned,factgrid_live_existing_artifact_register
cdli_id,296120,Q2142743,"Cuneiform Tablet YOS 13, 175",factgrid_live_existing_artifact_register
cdli_id,P296120,Q2142743,"Cuneiform Tablet YOS 13, 175",factgrid_live_existing_artifact_register
cdli_id,358144,Q894253,Cuneiform Tablet HS 300,factgrid_live_existing_artifact_register
cdli_id,P358144,Q894253,Cuneiform Tablet HS 300,factgrid_live_existing_artifact_register
cdli_id,402995,Q2142744,Cuneiform Tablet K 17685,factgrid_live_existing_artifact_register
cdli_id,P402995,Q2142744,Cuneiform Tablet K 17685,factgrid_live_existing_artifact_register
cdli_id,P536351,Q1364059,Cuneiform Tablet Kt 92/k 101 (AKT 8 218),factgrid_live_existing_artifact_register
cdli_id,536351,Q1364059,Cuneiform Tablet Kt 92/k 101 (AKT 8 218),factgrid_live_existing_artifact_register
cdli_id,P550187,Q2142746,Cuneiform Tablet Bab 39086,factgrid_live_existing_artifact_register
cdli_id,550187,Q2142746,Cuneiform Tablet Bab 39086,factgrid_live_existing_artifact_register
cdli_id,P241007,Q2142747,Cuneiform Tablet NMSI —,factgrid_live_existing_artifact_register
cdli_id,241007,Q2142747,Cuneiform Tablet NMSI —,factgrid_live_existing_artifact_register
cdli_id,581877,Q2142748,Cuneiform Tablet BM 061620,factgrid_live_existing_artifact_register
cdli_id,P581877,Q2142748,Cuneiform Tablet BM 061620,factgrid_live_existing_artifact_register
cdli_id,311828,Q2142749,Cuneiform Tablet YBC 11666,factgrid_live_existing_artifact_register
cdli_id,P311828,Q2142749,Cuneiform Tablet YBC 11666,factgrid_live_existing_artifact_register
cdli_id,403687,Q2142750,Cuneiform Tablet K 18477,factgrid_live_existing_artifact_register
cdli_id,P403687,Q2142750,Cuneiform Tablet K 18477,factgrid_live_existing_artifact_register
cdli_id,P134152,Q2046637,"Cuneiform Tablet TLB 03, 011",factgrid_live_existing_artifact_register
cdli_id,134152,Q2046637,"Cuneiform Tablet TLB 03, 011",factgrid_live_existing_artifact_register
cdli_id,P214948,Q1930870,Cuneiform Tablet L'uomo 09,factgrid_live_existing_artifact_register
cdli_id,214948,Q1930870,Cuneiform Tablet L'uomo 09,factgrid_live_existing_artifact_register
cdli_id,P217667,Q2066441,"Cuneiform Tablet ZA 072, 176 16",factgrid_live_existing_artifact_register
cdli_id,217667,Q2066441,"Cuneiform Tablet ZA 072, 176 16",factgrid_live_existing_artifact_register
cdli_id,479472,Q2142751,"Cuneiform Tablet FM 02, 047",factgrid_live_existing_artifact_register
cdli_id,P479472,Q2142751,"Cuneiform Tablet FM 02, 047",factgrid_live_existing_artifact_register
cdli_id,P312707,Q2142752,Cuneiform Tablet YBC 15112,factgrid_live_existing_artifact_register
cdli_id,312707,Q2142752,Cuneiform Tablet YBC 15112,factgrid_live_existing_artifact_register
cdli_id,344167,Q2007716,Cuneiform Tablet PRAK B 351,factgrid_live_existing_artifact_register
cdli_id,P344167,Q2007716,Cuneiform Tablet PRAK B 351,factgrid_live_existing_artifact_register
cdli_id,499626,Q2142753,"Cuneiform Tablet KAL 03, 029",factgrid_live_existing_artifact_register
cdli_id,P499626,Q2142753,"Cuneiform Tablet KAL 03, 029",factgrid_live_existing_artifact_register
cdli_id,P133697,Q2142754,Cuneiform Tablet TÉL 185,factgrid_live_existing_artifact_register
cdli_id,133697,Q2142754,Cuneiform Tablet TÉL 185,factgrid_live_existing_artifact_register
cdli_id,P395897,Q2142755,Cuneiform Tablet K 05127,factgrid_live_existing_artifact_register
cdli_id,395897,Q2142755,Cuneiform Tablet K 05127,factgrid_live_existing_artifact_register
cdli_id,P404142,Q2142756,Cuneiform Tablet K 19249,factgrid_live_existing_artifact_register
cdli_id,404142,Q2142756,Cuneiform Tablet K 19249,factgrid_live_existing_artifact_register
cdli_id,P452722,Q2142757,"Cuneiform Tablet BBR pl. 67 1883-01-018, 0521",factgrid_live_existing_artifact_register
cdli_id,452722,Q2142757,"Cuneiform Tablet BBR pl. 67 1883-01-018, 0521",factgrid_live_existing_artifact_register
cdli_id,557642,Q2142758,"Cuneiform Tablet JCS 26, 81-83",factgrid_live_existing_artifact_register
