Len,Aen,,Aen,FG-Q,P2_1,P2_2,P694,P48,P131_1,P131_2
Bit-Šaḫṭu,Bit-Šaḫṭu,,Bit-Šaḫṭu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/197,,Q389597,Q393513
Bīt-Šinqā,Bīt-Šinqā,,Bīt-Šinqā (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/373,,Q389597,Q393513
Bit-ṭab-bel,Bit-ṭab-bel,,Bit-ṭab-bel (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/125,,Q389597,Q393513
Bit-zerija,Bit-zerija,,Bit-zerija (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/31,,Q389597,Q393513
Chamchamal,mod. Chamchamal),,uncertain (mod. Chamchamal),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1011,,Q389597,Q393513
Chenar-e Pain,mod. Chenar-e Pain),,uncertain (mod. Chenar-e Pain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/653,,Q389597,Q393513
Chia Puikeh,mod. Chia Puikeh),,uncertain (mod. Chia Puikeh),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/655,,Q389597,Q393513
Du-Enlila,Du-Enlila,,Du-Enlila (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/378,,Q389597,Q393513
Dusabar,Dusabar,,Dusabar (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/45,,Q389597,Q393513
Ecbatana,Ecbatana,,Ecbatana (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/147,,Q389597,Q393513
El Geraineh,Egraineli (mod. El Geraineh),,Egraineli (mod. El Geraineh),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1021,,Q389597,Q393513
Elammu,Elammu,,Elammu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/258,,Q389597,Q393513
Epurasie,Epurasie,,Epurasie (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/80,,Q389597,Q393513
Eskiharran,mod. Eskiharran),,uncertain (mod. Eskiharran),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/738,,Q389597,Q393513
Ešura,Ešura,,Ešura (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/379,,Q389597,Q393513
Galgameš,Galgameš,,Galgameš (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1006,,Q389597,Q393513
GARIN-naḫallum,GARIN-naḫallum,,GARIN-naḫallum (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/41,,Q389597,Q393513
Girigu,Girigu,,Girigu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/128,,Q389597,Q393513
Gišši,Gišši,,Gišši (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/103,,Q389597,Q393513
Gur-e Sefid,mod. Gur-e Sefid),,uncertain (mod. Gur-e Sefid),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1015,,Q389597,Q393513
Ḫadiranu-ša-Nabu,Ḫadiranu-ša-Nabu,,Ḫadiranu-ša-Nabu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/274,,Q389597,Q393513
Haikavank,mod. Haikavank),,uncertain (mod. Haikavank),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/770,,Q389597,Q393513
Hamat,Hamat,,Hamat (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/383,,Q389597,Q393513
Haṭru,Haṭru,,Haṭru (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1009,,Q389597,Q393513
Hazatu,Hazatu,,Hazatu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/385,,Q389597,Q393513
Himeri,mod. Himeri),,uncertain (mod. Himeri),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/213,,Q389597,Q393513
Himuru,Himuru,,Himuru (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/386,,Q389597,Q393513
Hisartepe,Daskyleion (mod. Hisartepe),,Daskyleion (mod. Hisartepe),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/724,,Q389597,Q393513
Hour Soleiman,mod. Hour Soleiman),,uncertain (mod. Hour Soleiman),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/654,,Q389597,Q393513
Hummanu,Hummanu,,Hummanu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/225,,Q389597,Q393513
Hurruba,Hurruba,,Hurruba (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/175,,Q389597,Q393513
Idfū,mod. Idfū),,uncertain (mod. Idfū),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/736,,Q389597,Q393513
İnandık,mod. İnandık),,uncertain (mod. İnandık),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/789,,Q389597,Q393513
Irákleio,mod. Irákleio),,uncertain (mod. Irákleio),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/718,,Q389597,Q393513
Īzah,mod. Īzah),,uncertain (mod. Īzah),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/790,,Q389597,Q393513
Kapri-ša-naqidati,Kapri-ša-naqidati,,Kapri-ša-naqidati (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/182,,Q389597,Q393513
Kapru,Kapru,,Kapru (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/37,,Q389597,Q393513
Kar-bel-matati,Kar-bel-matati,,Kar-bel-matati (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/141,,Q389597,Q393513
Kar-Nabu,Kar-Nabu,,Kar-Nabu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/134,,Q389597,Q393513
Kašši...,Kašši...,,Kašši... (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/388,,Q389597,Q393513
Kazallu,Kazallu,,Kazallu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/193,,Q389597,Q393513
Kerman,Šahdad (mod. Kerman),,Šahdad (mod. Kerman),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/614,,Q389597,Q393513
