Aen (update),Aen2,FG-Q,P2_1,P2_2,P694,matched_token,matched_from_sheet2
uncertain (mod. Tell Abu Hajar),Tell Abu Hajar,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/430,hajar,hajar -> Al-Ḥajar (nan)
uncertain (mod. Lidar Höyük),Lidar Höyük,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/648,hoyuk,hoyuk -> Maşat Höyük (uncertain (mod. Abu Fandowa))
Nerik (mod. Oymaağaç Höyük),Oymaağaç Höyük,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/888,hoyuk,hoyuk -> Maşat Höyük (uncertain (mod. Abu Fandowa))
uncertain (mod. Habil Abu Ibrahim),Habil Abu Ibrahim,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/767,ibrahim,ibrahim -> Al-Kharjah (Kutha (mod. Tell Ibrahim))
uncertain (mod. Qal’eh-i Imam),Qal’eh-i Imam,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/616,imam,imam -> Qal‘ah Imam (nan)
uncertain (mod. Ishān al-Khāzna),Ishān al-Khāzna,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/787,ishan,ishan -> Ishān Hāfudh (Šaduppum (mod. Tell Harmal) : uncertain (mod. Tell Abu Harmal))
uncertain (mod. Ishān Khālifah),Ishān Khālifah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/788,ishan,ishan -> Ishān Hāfudh (Šaduppum (mod. Tell Harmal) : uncertain (mod. Tell Abu Harmal))
uncertain (mod. Ishān Abū Kumbārah),Ishān Abū Kumbārah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/838,"ishan, kumbarah",ishan -> Ishān Hāfudh (Šaduppum (mod. Tell Harmal) : uncertain (mod. Tell Abu Harmal)) | kumbarah -> Ishan Abū Kumbārah (nan)
uncertain (mod. Kani Joni I),Kani Joni I,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/652,kani,kani -> Kānī Bī (nan)
uncertain (mod. Kani Joni II),Kani Joni II,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/656,kani,kani -> Kānī Bī (nan)
uncertain (mod. Al-Karnak),Al-Karnak,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/799,karnak,karnak -> Karnak (nan)
Kesh (mod. uncertain),Kesh,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/69,kesh,kesh -> Faqous (Larak (mod. Tell Wilayah) : Kesh (mod. Wilaya ?))
uncertain (mod. Tulul Khatab),Tulul Khatab,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/636,khatab,khatab -> Tulūl Khaṭāb (nan)
Liyan (mod. Būs̱har),Būs̱har,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/844,liyan,liyan -> Liyan (nan)
uncertain (mod. Al-Mukhaṭṭaṭ),Al-Mukhaṭṭaṭ,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/861,mukhattat,mukhattat -> Mukhattat (nan)
uncertain (mod. Tapah Mūsiyān),Tapah Mūsiyān,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/973,"musiyan, tapah",musiyan -> Tall Bāz Musiyān (nan) | tapah -> Tapah Ḥiṣār (Puzriš-Dagan (mod. Drehem))
Alitschalu (mod. Ōdzaberd),Ōdzaberd,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/980,odzaberd,odzaberd -> Odzaberd (nan)
uncertain (mod. Tell Sabi Abyad),Tell Sabi Abyad,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/640,sabi,sabi -> Tall Ṣabī Ābiyaḍ (nan)
Amurru-šar-uṣur (mod. uncertain),Amurru-šar-uṣur,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/363,sar,sar -> Sar-i Pol-i Zohāb (uncertain (mod. Gherla Romania))
uncertain (mod. Til-Buri),Til-Buri,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/228,til,til -> Haradum (Til Barsip (mod. Tell Ahmar))
"uncertain (mod. Çorum, Turkey)","Çorum, Turkey",,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/187,turkey,"turkey -> Nihāwand (uncertain (mod. Babil, Turkey))"
uncertain (mod. Umm el-Djerab),Umm el-Djerab,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/639,umm,umm -> Umm al-Jīr (uncertain (mod. Abu-Maria) : Apqu-ša-Adad (mod. Tell Abu Marya) : uncertain (mod. Abu-Maria))
