FactGrid_ID,Label,Alias,Description,Category,Part_of1,Volumes,Part_of2,Part_of3,Volume_nr,Oracc_website,Corpus,License,License_date,License_date_begin,Online_data,Research_Contribution,Archaeological_Project
https://database.factgrid.de/wiki/Item:Q780643,Neo-Assyrian Archival Texts from Marqasu,marqasu,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800732,,http://oracc.museum.upenn.edu/atae/marqasu,https://oracc.museum.upenn.edu/atae/marqasu/corpus,Q780614,2007,2021,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799112,Near Eastern Royal Epics,nere,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/nere,https://oracc.museum.upenn.edu/nere/corpus/,Q780614,2007,2021,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q780618,Materialities of Assyrian Knowledge Production,nimrud,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/nimrud,http://oracc.museum.upenn.edu/nimrud,Q780614,2007,2013,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q780644,Neo-Assyrian Archival Texts from Nineveh,nineveh,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800732,,http://oracc.museum.upenn.edu/atae/nineveh,https://oracc.museum.upenn.edu/atae/nineveh/corpus,Q780614,2007,2021,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799113,Old Babylonian Emesal Liturgies,obel,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/obel,https://oracc.museum.upenn.edu/obel/pager,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799114,Old Babylonian Model Contracts,obmc,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/obmc,https://oracc.museum.upenn.edu/obmc/corpus,Q780614,2007,2018,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799115,Old Babylonian Tabular Accounts,obta,Research project within the ORACC database,Q417872,Q425152,,,,,,http://oracc.museum.upenn.edu/obta,Q780614,2007,,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q780619,OGSL: Oracc Global Sign List,ogsl,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/ogsl,https://oracc.museum.upenn.edu/ogsl/signlist/,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q780620,OIMEA: Official Inscriptions of the Middle East in Antiquity,oimea,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/oimea,http://oracc.museum.upenn.edu/oimea,Q780614,2007,2016,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799116,The Q Catalogue,qcat,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/qcat,https://oracc.museum.upenn.edu/qcat/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799117,Royal Inscriptions of Assyria online (RIAo) Project,riao,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/riao,https://oracc.museum.upenn.edu/riao/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799118,The Royal Inscriptions of Babylonia online (RIBo) Project,ribo,Research project within the ORACC database,Q417872,Q425152,10 Volume,Q780620,,,http://oracc.museum.upenn.edu/ribo/,https://oracc.museum.upenn.edu/ribo/corpus,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799128,"RIBo, Babylon 7 Scores: Scores of the Inscriptions of the Neo-Babylonian Dynasty",ribo bab7scores,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,7,http://oracc.museum.upenn.edu/ribo/bab7scores,https://oracc.museum.upenn.edu/ribo/bab7scores/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799129,"RIBo, Babylon 10: The Borsippa Inscription of Antiochus I Soter",ribo babylon10,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,10,http://oracc.museum.upenn.edu/ribo/babylon10,https://oracc.museum.upenn.edu/ribo/babylon10/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799130,"RIBo, Babylon 2: The Inscriptions of the Second Dynasty of Isin",ribo babylon2,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,2,http://oracc.museum.upenn.edu/ribo/babylon2/,https://oracc.museum.upenn.edu/ribo/babylon2/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q799131,"RIBo, Babylon 3: The Inscriptions of the Second Dynasty of the Sealand",ribo babylon3,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,3,http://oracc.museum.upenn.edu/ribo/babylon3,https://oracc.museum.upenn.edu/ribo/babylon3/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800132,"RIBo, Babylon 4: The Inscriptions of the Bazi Dynasty",ribo babylon4,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,4,http://oracc.museum.upenn.edu/ribo/babylon4,https://oracc.museum.upenn.edu/ribo/babylon4/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800712,"RIBo, Babylon 5: The Inscriptions of the Elamite Dynasty",ribo babylon5,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,5,http://oracc.museum.upenn.edu/ribo/babylon5,https://oracc.museum.upenn.edu/ribo/babylon5/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800713,"RIBo, Babylon 6: The Inscriptions of the Period of the Uncertain Dynasties",ribo babylon6,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,6,http://oracc.museum.upenn.edu/ribo/babylon6,https://oracc.museum.upenn.edu/ribo/babylon6/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800714,"RIBo, Babylon 7: The Inscriptions of the Neo-Babylonian Dynasty",ribo babylon7,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,7,https://oracc.museum.upenn.edu/ribo/babylon7,https://oracc.museum.upenn.edu/ribo/babylon7/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800715,"RIBo, Babylon 8: The Inscriptions of Cyrus II and His Successors",ribo babylon8,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,8,http://oracc.museum.upenn.edu/ribo/babylon8,https://oracc.museum.upenn.edu/ribo/babylon8/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800716,RIBo Sources: Sources for Inscriptions of the Rulers of Babylonia,ribo sources,Research project within the ORACC database,Q417872,Q425152,,Q780620,Q799118,,http://oracc.museum.upenn.edu/ribo/sources,https://oracc.museum.upenn.edu/ribo/sources/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800717,Rīm-Anum: The House of Prisoners,rimanum,Research project within the ORACC database,Q257226,Q425152,,,,,http://oracc.museum.upenn.edu/rimanum,http://oracc.museum.upenn.edu/rimanum,Q780614,2007,2013,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800718,The Royal Inscriptions of the Neo-Assyrian Period,rinap,Research project within the ORACC database,Q417872,Q425152,5 Volume,,,,http://oracc.museum.upenn.edu/rinap,http://oracc.museum.upenn.edu/rinap,Q780614,2007,2008,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800719,RINAP 1: Tiglath-pileser III and Shalmaneser V,rinap1,Research project within the ORACC database,Q417872,Q425152,,,Q800718,1,http://oracc.museum.upenn.edu/rinap/rinap1,https://oracc.museum.upenn.edu/rinap/rinap1/corpus/,Q780614,2007,2011,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800720,RINAP 2: Sargon II,rinap2,Research project within the ORACC database,Q417872,Q425152,,,Q800718,2,http://oracc.museum.upenn.edu/rinap/rinap2,https://oracc.museum.upenn.edu/rinap/rinap2/corpus/,Q780614,2007,2020,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800721,RINAP 3: Sennacherib,rinap3,Research project within the ORACC database,Q417872,Q425152,,,Q800718,3,http://oracc.museum.upenn.edu/rinap/rinap3,https://oracc.museum.upenn.edu/rinap/rinap3/corpus/,Q780614,2007,2012,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800722,RINAP 4: Esarhaddon,rinap4,Research project within the ORACC database,Q417872,Q425152,,,Q800718,4,http://oracc.museum.upenn.edu/rinap/rinap4,https://oracc.museum.upenn.edu/rinap/rinap4/corpus/,Q780614,2007,2011,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800723,"RINAP 5: The Royal Inscriptions of Ashurbanipal, Aššur-etel-ilāni, and Sîn-šarra-iškun",rinap5,Research project within the ORACC database,Q417872,Q425152,,,Q800718,5,http://oracc.museum.upenn.edu/rinap/rinap5,https://oracc.museum.upenn.edu/rinap/rinap5/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800727,"The Correspondence of Sargon II, Part I: Letters from Assyria and the West",saa01,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,1,http://oracc.museum.upenn.edu/saao/saa01,https://oracc.museum.upenn.edu/saao/saa01/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800729,Neo-Assyrian Treaties and Loyalty Oaths,saa02,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,2,http://oracc.museum.upenn.edu/saao/saa02,https://oracc.museum.upenn.edu/saao/saa02/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800730,Court Poetry and Literary Miscellanea,saa03,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,3,http://oracc.museum.upenn.edu/saao/saa03,https://oracc.museum.upenn.edu/saao/saa03/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800731,Queries to the Sungod: Divination and Politics in Sargonid Assyria,saa04,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,4,http://oracc.museum.upenn.edu/saao/saa04,https://oracc.museum.upenn.edu/saao/saa04/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800733,"The Correspondence of Sargon II, Part II: Letters from the Northern and Northeastern Provinces",saa05,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,5,http://oracc.museum.upenn.edu/saao/saa05,https://oracc.museum.upenn.edu/saao/saa05/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800734,"Legal Transactions of the Royal Court of Nineveh, Part I: Tiglath-Pileser III through Esarhaddon",saa06,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,6,http://oracc.museum.upenn.edu/saao/saa06,https://oracc.museum.upenn.edu/saao/saa06/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800735,"Imperial Administrative Records, Part I: Palace and Temple Administration",saa07,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,7,http://oracc.museum.upenn.edu/saao/saa07,http://oracc.museum.upenn.edu/saao/saa07/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800736,Astrological Reports to Assyrian Kings,saa08,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,8,http://oracc.museum.upenn.edu/saao/saa08,http://oracc.museum.upenn.edu/saao/saa08/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800737,Assyrian Prophecies,saa09,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,9,http://oracc.museum.upenn.edu/saao/saa09,http://oracc.museum.upenn.edu/saao/saa09/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800738,Letters from Assyrian and Babylonian Scholars,saa10,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,10,http://oracc.museum.upenn.edu/saao/saa10,http://oracc.museum.upenn.edu/saao/saa10/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800739,"Imperial Administrative Records, Part II: Provincial and Military Administration",saa11,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,11,http://oracc.museum.upenn.edu/saao/saa11,http://oracc.museum.upenn.edu/saao/saa11/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800740,"Grants, Decrees and Gifts of the Neo-Assyrian Period",saa12,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,12,http://oracc.museum.upenn.edu/saao/saa12,http://oracc.museum.upenn.edu/saao/saa12/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800741,Letters from Assyrian and Babylonian Priests to Kings Esarhaddon and Assurbanipal,saa13,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,13,http://oracc.museum.upenn.edu/saao/saa13,http://oracc.museum.upenn.edu/saao/saa13/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800742,"Legal Transactions of the Royal Court of Nineveh, Part II: Assurbanipal Through Sin-šarru-iškun",saa14,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,14,http://oracc.museum.upenn.edu/saao/saa14,http://oracc.museum.upenn.edu/saao/saa14/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800743,"The Correspondence of Sargon II, Part III: Letters from Babylonia and the Eastern Provinces",saa15,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,15,http://oracc.museum.upenn.edu/saao/saa15,http://oracc.museum.upenn.edu/saao/saa15/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800744,The Political Correspondence of Esarhaddon,saa16,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,16,http://oracc.museum.upenn.edu/saao/saa16,http://oracc.museum.upenn.edu/saao/saa16/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800745,The Neo-Babylonian Correspondence of Sargon and Sennacherib,saa17,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,17,http://oracc.museum.upenn.edu/saao/saa17,http://oracc.museum.upenn.edu/saao/saa17/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800746,The Babylonian Correspondence of Esarhaddon and Letters to Assurbanipal and Sin-šarru-iškun from Northern and Central Babylonia,saa18,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,18,http://oracc.museum.upenn.edu/saao/saa18,http://oracc.museum.upenn.edu/saao/saa18/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800747,The Correspondence of Tiglath-Pileser III and Sargon II from Calah/Nimrud,saa19,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,19,http://oracc.museum.upenn.edu/saao/saa19,http://oracc.museum.upenn.edu/saao/saa19/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
