Label,Modern,count,Provenience
uncertain,mod. Yasuj,1,1 uncertain (mod. Yasuj)
uncertain,mod. Yoncali,3,3 uncertain (mod. Yoncali)
uncertain,mod. Za'aleh,1,1 uncertain (mod. Za'aleh)
uncertain,mod. Zalil Ab,1,1 uncertain (mod. Zalil Ab)
uncertain,mod. Zawiyya,2,2 uncertain (mod. Zawiyya)
uncertain,mod. el-Ghab,2,2 uncertain (mod. el-Ghab)
uncertain,mod. uncertain,"23,268","23,268 uncertain (mod. uncertain)"
uncertain,"mod. Çorum, Turkey",17,"17 uncertain (mod. Çorum, Turkey)"
uncertain,mod. Šišin,13,13 uncertain (mod. Šišin)
unknown,,19,19 unknown
Āl-šarri,mod. uncertain,5,5 Āl-šarri (mod. uncertain)
Āl-šarri-ša-qašti-eššeti,mod. uncertain,1,1 Āl-šarri-ša-qašti-eššeti (mod. uncertain)
Ālu-ša-Našar,mod. uncertain,36,36 Ālu-ša-Našar (mod. uncertain)
Ālu-ša-Ṭūb-Yāma,mod. uncertain,1,1 Ālu-ša-Ṭūb-Yāma (mod. uncertain)
Šahdad,mod. Kerman,2,2 Šahdad (mod. Kerman)
Šapinuwa,mod. Ortaköy,21,21 Šapinuwa (mod. Ortaköy)
Šašrum,mod. uncertain,1,1 Šašrum (mod. uncertain)
Šaḫrinu,mod. uncertain,1,1 Šaḫrinu (mod. uncertain)
Šibaniba,mod. Tell Billa,164,164 Šibaniba (mod. Tell Billa)
Šubat-Enlil,mod. Leilan,436,436 Šubat-Enlil (mod. Leilan)
Šūru,mod. uncertain,5,5 Šūru (mod. uncertain)
Ḫadatu,mod. Arslan Tash,13,13 Ḫadatu (mod. Arslan Tash)
Ḫadiranu-ša-Nabu,mod. uncertain,1,1 Ḫadiranu-ša-Nabu (mod. uncertain)
Ḫarbe,mod. Tell Chuera,97,97 Ḫarbe (mod. Tell Chuera)
Ḫattusa,mod. Boğazkale,"14,522","14,522 Ḫattusa (mod. Boğazkale)"
Ṣurmeš,mod. uncertain,2,2 Ṣurmeš (mod. uncertain)
Ṭābetu,mod. Tell Taban,18,18 Ṭābetu (mod. Tell Taban)
