Label,Modern,count,Provenience
Huzirina,mod. Sultantepe,437,437 Huzirina (mod. Sultantepe)
Idu,mod. Hīt,1,1 Idu (mod. Hīt)
Imgur-Enlil,mod. Balawat,80,80 Imgur-Enlil (mod. Balawat)
Irisagrig,mod. uncertain,"3,159","3,159 Irisagrig (mod. uncertain)"
Isin,mod. Bahriyat,"2,251","2,251 Isin (mod. Bahriyat)"
Isqalluna,mod. Ashkelon,1,1 Isqalluna (mod. Ashkelon)
KI.AN,mod. uncertain,4,4 KI.AN (mod. uncertain)
Kabnak,mod. Haft Tappeh,595,595 Kabnak (mod. Haft Tappeh)
Kahat,mod. Tell Barri,6,6 Kahat (mod. Tell Barri)
Kalhu,mod. Nimrūd,"2,790","2,790 Kalhu (mod. Nimrūd)"
Kanesh,mod. Kültepe,"8,367","8,367 Kanesh (mod. Kültepe)"
Kapri-ša-naqidati,mod. uncertain,1,1 Kapri-ša-naqidati (mod. uncertain)
Kapru,mod. uncertain,1,1 Kapru (mod. uncertain)
Kar-Mullissi,mod. Tall al-Qaddīsah Barbārah,1,1 Kar-Mullissi (mod. Tall al-Qaddīsah Barbārah)
Kar-Nabu,mod. uncertain,1,1 Kar-Nabu (mod. uncertain)
Kar-Tukulti-Ninurta,mod. Tulul al-ʿAqir,199,199 Kar-Tukulti-Ninurta (mod. Tulul al-ʿAqir)
Kar-bel-matati,mod. uncertain,1,1 Kar-bel-matati (mod. uncertain)
Karkemish,mod. Djerabis,82,82 Karkemish (mod. Djerabis)
Kazallu,mod. uncertain,3,3 Kazallu (mod. uncertain)
Kašši...,mod. uncertain,1,1 Kašši... (mod. uncertain)
Kesh,mod. uncertain,63,63 Kesh (mod. uncertain)
Kian,Tell Shmid,1,1 Kian (Tell Shmid)
Kilizu,mod. Qasr Shamamuk,24,24 Kilizu (mod. Qasr Shamamuk)
Kish,mod. Tell Barguthiat,3,3 Kish (mod. Tell Barguthiat)
Kish,mod. Tell Ingharra,907,907 Kish (mod. Tell Ingharra)
Kish,mod. Tell Uhaimir,"2,172","2,172 Kish (mod. Tell Uhaimir)"
Kish,mod. Tell el-Bender,1,1 Kish (mod. Tell el-Bender)
Kisurra,mod. Abu Hatab,558,558 Kisurra (mod. Abu Hatab)
Kišesim,mod. Najafabad,1,1 Kišesim (mod. Najafabad)
Kulišhinaš,mod. Amuda,15,15 Kulišhinaš (mod. Amuda)
Kumu,mod. uncertain,1,1 Kumu (mod. uncertain)
Kutalla,mod. Tell Sifr,195,195 Kutalla (mod. Tell Sifr)
Kutha,mod. Tell Ibrahim,43,43 Kutha (mod. Tell Ibrahim)
Lachish,mod. Tell ed-Duweir,23,23 Lachish (mod. Tell ed-Duweir)
Lagaba,mod. uncertain,249,249 Lagaba (mod. uncertain)
Lagash,mod. El-Hiba,138,138 Lagash (mod. El-Hiba)
Larsa,mod. Tell as-Senkereh,"2,587","2,587 Larsa (mod. Tell as-Senkereh)"
Ma'allanate,mod. uncertain,72,72 Ma'allanate (mod. uncertain)
Malgium,mod. Tulūl Yassir,4,4 Malgium (mod. Tulūl Yassir)
Marad,mod. Wanna-wa-Sadum,58,58 Marad (mod. Wanna-wa-Sadum)
Mardaman,mod. Bassetki,2,2 Mardaman (mod. Bassetki)
Mari,mod. Tell Hariri,"9,861","9,861 Mari (mod. Tell Hariri)"
Marqasu,mod. Kahramanmaraş,46,46 Marqasu (mod. Kahramanmaraş)
Maškan-šapir,mod. Tell Abu Duwari,5,5 Maškan-šapir (mod. Tell Abu Duwari)
Me-Turran,mod. Tell Haddad,294,294 Me-Turran (mod. Tell Haddad)
Melidu,mod. Arslantepe,4,4 Melidu (mod. Arslantepe)
Nagar,mod. Tell Brak,454,454 Nagar (mod. Tell Brak)
Naḫalla,mod. uncertain,1,1 Naḫalla (mod. uncertain)
Naṣir,mod. uncertain,1,1 Naṣir (mod. uncertain)
Nereb,mod. Neirab,1,1 Nereb (mod. Neirab)
Nerebtum,mod. Iščali,962,962 Nerebtum (mod. Iščali)
Nigin,mod. Ishān Zurghul,37,37 Nigin (mod. Ishān Zurghul)
Nineveh,mod. Kuyunjik,"26,479","26,479 Nineveh (mod. Kuyunjik)"
Nineveh,mod. Nebi Yunus,9,9 Nineveh (mod. Nebi Yunus)
Nineveh,mod. Nīnūa,1,1 Nineveh (mod. Nīnūa)
Nippur,mod. Nuffar,"27,822","27,822 Nippur (mod. Nuffar)"
Pašime,mod. Tell Abu Sheeja,1,1 Pašime (mod. Tell Abu Sheeja)
Per-Bast,mod. Tell Basta,1,1 Per-Bast (mod. Tell Basta)
Puzriš-Dagan,mod. Drehem,"17,519","17,519 Puzriš-Dagan (mod. Drehem)"
Pārśa,mod. Persepolis,"2,581","2,581 Pārśa (mod. Persepolis)"
Pī-Kasî,mod. Tell Abu Antiq,422,422 Pī-Kasî (mod. Tell Abu Antiq)
Qasr-i Abu Nasr,mod. uncertain,1,1 Qasr-i Abu Nasr (mod. uncertain)
Qattara,mod. Tell al Rimah,547,547 Qattara (mod. Tell al Rimah)
Qatuna,mod. uncertain,1,1 Qatuna (mod. uncertain)
Qāṭīnu,mod. uncertain,1,1 Qāṭīnu (mod. uncertain)
Rusahinili,mod. Toprakkale,1,1 Rusahinili (mod. Toprakkale)
Sagub,mod. uncertain,14,14 Sagub (mod. uncertain)
Samal,mod. Zinčirli,5,5 Samal (mod. Zinčirli)
Samerina,mod. Samaria,1,1 Samerina (mod. Samaria)
Seleucia,mod. Tell 'Umar,29,29 Seleucia (mod. Tell 'Umar)
Shaddikanni,mod. Tell Ajaja,3,3 Shaddikanni (mod. Tell Ajaja)
Shaduppum,mod. Tell Harmal,"1,069","1,069 Shaduppum (mod. Tell Harmal)"
Shuruppak,mod. Fara,920,920 Shuruppak (mod. Fara)
Sippar-Amnanum,mod. Tell ed-Der,729,729 Sippar-Amnanum (mod. Tell ed-Der)
Sippar-Yahrurum,mod. Tell Abu Habbah,"6,853","6,853 Sippar-Yahrurum (mod. Tell Abu Habbah)"
Surkh Dum,mod. Sorḵdom,1,1 Surkh Dum (mod. Sorḵdom)
Surru,mod. uncertain,2,2 Surru (mod. uncertain)
Susa,mod. Shush,"4,517","4,517 Susa (mod. Shush)"
Susarra,mod. Tell Shemshara,263,263 Susarra (mod. Tell Shemshara)
Tall-I Takht,mod. Pasargadae,15,15 Tall-I Takht (mod. Pasargadae)
Tarbisu,mod. Tell Sherif Khan,44,44 Tarbisu (mod. Tell Sherif Khan)
Tema,mod. Tayma,12,12 Tema (mod. Tayma)
Terqa,mod. Ashara,145,145 Terqa (mod. Ashara)
