provenience,Len,FG_qid,ancientplace
Larsa (mod. Tell as-Senkereh),Tall Fārā,Q389927,https://database.factgrid.de/entity/Q389927
Marad (mod. Wanna-wa-Sadum),Tall Gasir,Q389700,https://database.factgrid.de/entity/Q389700
Mari (mod. Tell Hariri),Gherla,Q389650,https://database.factgrid.de/entity/Q389650
Marqasu (mod. Kahramanmaraş),Giricano,Q390072,https://database.factgrid.de/entity/Q390072
Maškan-šapir (mod. Tell Abu Duwari),Glay‘a,Q389770,https://database.factgrid.de/entity/Q389770
Me-Turran (mod. Tell Haddad),Godin Tepe,Q389738,https://database.factgrid.de/entity/Q389738
Melidu (mod. Arslantepe),Habuba Kabira,Q389670,https://database.factgrid.de/entity/Q389670
Nagar (mod. Tell Brak),Tall al-Ḥadīdī,Q389855,https://database.factgrid.de/entity/Q389855
Nereb (mod. Neirab) ?,Haft Tepe,Q390027,https://database.factgrid.de/entity/Q390027
Nerebtum (mod. Iščali),Halicarnassus,Q389653,https://database.factgrid.de/entity/Q389653
Nigin (mod. Surghul) : Sirara (mod. Tell Zurghul),Hama,Q85914,https://database.factgrid.de/entity/Q85914
Nigin (mod. Surghul) : Sirara (mod. Tell Zurghul),Hama,Q85914,https://database.factgrid.de/entity/Q85914
Nineveh (mod. Kuyunjik) : Nineveh (mod. Nebi Yunus),Hamadān,Q390028,https://database.factgrid.de/entity/Q390028
Nineveh (mod. Kuyunjik) : Nineveh (mod. Nebi Yunus),Harran,Q390059,https://database.factgrid.de/entity/Q390059
Nippur (mod. Nuffar),Tel Hazor,Q389677,https://database.factgrid.de/entity/Q389677
Pārśa (mod. Persepolis),Al-Ḥilah,Q86331,https://database.factgrid.de/entity/Q86331
Pašime (mod. Tell Abu Sheeja),Al-Ḥilah,Q86331,https://database.factgrid.de/entity/Q86331
Pī-Kasî (mod. Tell Abu Antiq),Sulaiymah,Q389987,https://database.factgrid.de/entity/Q389987
Puzriš-Dagan (mod. Drehem),Tapah Ḥiṣār,Q389689,https://database.factgrid.de/entity/Q389689
Qasr-i Abu Nasr (mod. uncertain),Idu,Q389981,https://database.factgrid.de/entity/Q389981
Qatara (mod. Tell al Rimah),Ras Ibn Hānī,Q389974,https://database.factgrid.de/entity/Q389974
Šaddikanni (mod. Tell Ajaja),Tall Ibzaīykh,Q389850,https://database.factgrid.de/entity/Q389850
Šaduppum (mod. Tell Harmal) : uncertain (mod. Tell Abu Harmal),Tall Ibzaīykh,Q389850,https://database.factgrid.de/entity/Q389850
Šaduppum (mod. Tell Harmal) : uncertain (mod. Tell Abu Harmal),Ishān Hāfudh,Q389797,https://database.factgrid.de/entity/Q389797
Samal (mod. Zinčirli),Tell Ishchali,Q389790,https://database.factgrid.de/entity/Q389790
Samerina (mod. Samaria),Ishān Dhahak,Q389798,https://database.factgrid.de/entity/Q389798
Shibaniba (mod. Tell Billa) : Šibaniba (mod. Tell Billa),Jabal ‘Ārūdah,Q389953,https://database.factgrid.de/entity/Q389953
Shibaniba (mod. Tell Billa) : Šibaniba (mod. Tell Billa),Jadīdah,Q389956,https://database.factgrid.de/entity/Q389956
Sippar-Amnanum (mod. Tell ed-Der),Jamdat Naṣr,Q389960,https://database.factgrid.de/entity/Q389960
Sippar-Yahrurum (mod. Tell Abu Habbah),Jarāwanah,Q389958,https://database.factgrid.de/entity/Q389958
Šubat-Enlil (mod. Leilan),Cudi Dağı,Q390092,https://database.factgrid.de/entity/Q390092
Surkh Dum (mod. Luristan),Kabrit,Q389620,https://database.factgrid.de/entity/Q389620
Šuruppak (mod. Fara),Marash,Q390045,https://database.factgrid.de/entity/Q390045
Susa (mod. Shush),Assur,Q390001,https://database.factgrid.de/entity/Q390001
Susarra (mod. Tell Shemshara),Assur,Q390001,https://database.factgrid.de/entity/Q390001
Tall-I Takht (mod. Pasargadae),Kāmfīrūz,Q389731,https://database.factgrid.de/entity/Q389731
Tarbisu (mod. Tell Sherif Khan),Kastri,Q389626,https://database.factgrid.de/entity/Q389626
Tema (mod. Tayma),Kermānshāh,Q389732,https://database.factgrid.de/entity/Q389732
Terqa (mod. Ashara),Khafājī,Q389968,https://database.factgrid.de/entity/Q389968
