provenience,Len,FG_qid,ancientplace
uncertain (mod. Tell Ta'ynat) : Unqi (mod. Tell Tayinat),Tall Yārah,Q389945,https://database.factgrid.de/entity/Q389945
uncertain (mod. Tell Taanach),Yelkhi,Q389946,https://database.factgrid.de/entity/Q389946
uncertain (mod. Tell Taban),Girsu,Q389832,https://database.factgrid.de/entity/Q389832
uncertain (mod. Tell Ubaid),Tapah Farukhābād,Q389693,https://database.factgrid.de/entity/Q389693
uncertain (mod. Tell Uqair),Tapah Gawra,Q389836,https://database.factgrid.de/entity/Q389836
uncertain (mod. Tell Yarah),Tapah Gutwand,Q389695,https://database.factgrid.de/entity/Q389695
uncertain (mod. Tell Yelkhi),Tapah Sīyalk,Q389835,https://database.factgrid.de/entity/Q389835
uncertain (mod. Tepe Farukhabad),Tapah Sofālīn,Q389692,https://database.factgrid.de/entity/Q389692
uncertain (mod. Tepe Gawra),Tapah Yahiya,Q389697,https://database.factgrid.de/entity/Q389697
uncertain (mod. Tepe Gotvand) ?,Thebes,Q92481,https://database.factgrid.de/entity/Q92481
uncertain (mod. Tepe Sialk),Tikrīt,Q389839,https://database.factgrid.de/entity/Q389839
uncertain (mod. Tepe Sofalin),Tilmen Höyük,Q390041,https://database.factgrid.de/entity/Q390041
uncertain (mod. Tepe Yahya),Tulūl al-Lak,Q389950,https://database.factgrid.de/entity/Q389950
uncertain (mod. Tikrit),Kar-Tukulti-Ninurta,Q389948,https://database.factgrid.de/entity/Q389948
uncertain (mod. Tilmen Höyük),Turlu Höyük,Q390048,https://database.factgrid.de/entity/Q390048
uncertain (mod. Tulul al-Lak),Ṭūz Khūrmātū,Q389996,https://database.factgrid.de/entity/Q389996
uncertain (mod. Turlu Höyük),Tall Umm al-ʻAjarib,Q389882,https://database.factgrid.de/entity/Q389882
uncertain (mod. Tuz Hurmati),Tall Umm al-ʻAjarib,Q389882,https://database.factgrid.de/entity/Q389882
uncertain (mod. Umm al-Aqarib) : Gišša (mod. Umm al-Aqarib),Umm al-Wawiya,Q390163,https://database.factgrid.de/entity/Q390163
uncertain (mod. Umm al-Aqarib) : Gišša (mod. Umm al-Aqarib),Umm Jātil,Q389815,https://database.factgrid.de/entity/Q389815
uncertain (mod. Umm al-Wawīya),Umm al-Ḥafriyāt,Q389792,https://database.factgrid.de/entity/Q389792
uncertain (mod. Umm Chatil),Marad,Q389914,https://database.factgrid.de/entity/Q389914
uncertain (mod. Umm el-Hafriyat),Warkāʼ,Q390030,https://database.factgrid.de/entity/Q390030
uncertain (mod. Yasuj),Yāsūj,Q390032,https://database.factgrid.de/entity/Q390032
uncertain (mod. Yoncali),Yoncali,Q390086,https://database.factgrid.de/entity/Q390086
uncertain (mod. Zalil Ab),Zālūl Āb,Q389979,https://database.factgrid.de/entity/Q389979
uncertain (mod. Zawiyya),Zawiyah,Q389980,https://database.factgrid.de/entity/Q389980
Upi (mod. Opis),Zinčirli,Q390040,https://database.factgrid.de/entity/Q390040
Ur (mod. Tell Muqayyar),Ziyaret Tepe,Q390073,https://database.factgrid.de/entity/Q390073
Urkesh (mod. Tell Mozan),Qaṣr-i Abūnaṣr,Q389727,https://database.factgrid.de/entity/Q389727
Uruk (mod. Warka),Garshana,Q389888,https://database.factgrid.de/entity/Q389888
Zabalam (mod. Ibzaikh) : uncertain (mod. Ibzaih),Irisagrig,Q390161,https://database.factgrid.de/entity/Q390161
Zabalam (mod. Ibzaikh) : uncertain (mod. Ibzaih),Jīroft,Q389961,https://database.factgrid.de/entity/Q389961
,Toprakkale,Q390128,https://database.factgrid.de/entity/Q390128
,Shamīt,Q389988,https://database.factgrid.de/entity/Q389988
,Tall Soukās,Q389907,https://database.factgrid.de/entity/Q389907
,Muradiye,Q390152,https://database.factgrid.de/entity/Q390152
,Elmalık,Q390121,https://database.factgrid.de/entity/Q390121
,Daskileion,Q389654,https://database.factgrid.de/entity/Q389654
,Al-Marjab,Q389816,https://database.factgrid.de/entity/Q389816
,Muş,Q390079,https://database.factgrid.de/entity/Q390079
,Karmir blur,Q389758,https://database.factgrid.de/entity/Q389758
,Dicle Tüneli,Q390070,https://database.factgrid.de/entity/Q390070
,Fanagorii͡a,Q389668,https://database.factgrid.de/entity/Q389668
,Kayalıpınar,Q390038,https://database.factgrid.de/entity/Q390038
,İnandıktepe,Q389656,https://database.factgrid.de/entity/Q389656
,Oylum Höyük,Q390046,https://database.factgrid.de/entity/Q390046
,Hala Sultan Tekes,Q389606,https://database.factgrid.de/entity/Q389606
,Ṭabaqat Faḥl,Q389993,https://database.factgrid.de/entity/Q389993
,Ṭarṭūs,Q92367,https://database.factgrid.de/entity/Q92367
,Ṭarṭūs,Q92367,https://database.factgrid.de/entity/Q92367
,Tahpanhes,Q389622,https://database.factgrid.de/entity/Q389622
,Qā`lah Arbīl,Q390004,https://database.factgrid.de/entity/Q390004
,Tanis,Q389615,https://database.factgrid.de/entity/Q389615
,Erek Daǧ,Q390142,https://database.factgrid.de/entity/Q390142
,Guzana,Q389898,https://database.factgrid.de/entity/Q389898
,Tell Budayri,Q389885,https://database.factgrid.de/entity/Q389885
,Kar-Assurnazirpal,Q389954,https://database.factgrid.de/entity/Q389954
,Tiryns,Q389625,https://database.factgrid.de/entity/Q389625
,Tell Bazi,Q389884,https://database.factgrid.de/entity/Q389884
,Edfu,Q389608,https://database.factgrid.de/entity/Q389608
,Ishān Dulaiyhim,Q389801,https://database.factgrid.de/entity/Q389801
,Tell Damiya,Q389648,https://database.factgrid.de/entity/Q389648
,Çavuştepe,Q390134,https://database.factgrid.de/entity/Q390134
,Tell al-Fakhar,Q389869,https://database.factgrid.de/entity/Q389869
,Arzashkun,Q390113,https://database.factgrid.de/entity/Q390113
,El-Tod,Q389616,https://database.factgrid.de/entity/Q389616
,Gonur Depe,Q390167,https://database.factgrid.de/entity/Q390167
,Tell ‘Ali,Q389627,https://database.factgrid.de/entity/Q389627
,Ahtamar,Q390110,https://database.factgrid.de/entity/Q390110
,Tall Kazal,Q389932,https://database.factgrid.de/entity/Q389932
,Tell El-Dab'a,Q389612,https://database.factgrid.de/entity/Q389612
,Kalīshīn,Q390011,https://database.factgrid.de/entity/Q390011
,Gavar,Q389752,https://database.factgrid.de/entity/Q389752
,Karamlesh,Q389871,https://database.factgrid.de/entity/Q389871
,Tall ‘Arbīd,Q389921,https://database.factgrid.de/entity/Q389921
,Altıntepe,Q390062,https://database.factgrid.de/entity/Q390062
,Tall al-Mishrifah,Q389876,https://database.factgrid.de/entity/Q389876
,Patnos,Q390104,https://database.factgrid.de/entity/Q390104
,Karnak,Q389611,https://database.factgrid.de/entity/Q389611
,Odzaberd,Q389767,https://database.factgrid.de/entity/Q389767
,Falerii,Q389647,https://database.factgrid.de/entity/Q389647
,Ayanıs,Q390114,https://database.factgrid.de/entity/Q390114
,Alaça Höyuk,Q389659,https://database.factgrid.de/entity/Q389659
,Tarsus,Q389662,https://database.factgrid.de/entity/Q389662
,Habıbuşaǧı,Q390054,https://database.factgrid.de/entity/Q390054
,Kazane Höyük,Q390055,https://database.factgrid.de/entity/Q390055
,Eskiyapar,Q389660,https://database.factgrid.de/entity/Q389660
,Girnavaz,Q390074,https://database.factgrid.de/entity/Q390074
,Savacık,Q390144,https://database.factgrid.de/entity/Q390144
,Liyan,Q389686,https://database.factgrid.de/entity/Q389686
,Armavir,Q389748,https://database.factgrid.de/entity/Q389748
,Kadesh,Q389878,https://database.factgrid.de/entity/Q389878
,Tall ‘Aushariyah,Q389925,https://database.factgrid.de/entity/Q389925
,Erebuni,Q389747,https://database.factgrid.de/entity/Q389747
,Hasankeyf,Q390078,https://database.factgrid.de/entity/Q390078
,Van,Q390124,https://database.factgrid.de/entity/Q390124
,Van,Q390124,https://database.factgrid.de/entity/Q390124
,Van,Q390124,https://database.factgrid.de/entity/Q390124
,Van,Q390124,https://database.factgrid.de/entity/Q390124
,Tall Ḥamīdī,Q389900,https://database.factgrid.de/entity/Q389900
,Umm al-Marra,Q389794,https://database.factgrid.de/entity/Q389794
,Harput,Q390060,https://database.factgrid.de/entity/Q390060
,Ṣūr,Q389991,https://database.factgrid.de/entity/Q389991
,Bitlis,Q83154,https://database.factgrid.de/entity/Q83154
,Heraion of Samos,Q389666,https://database.factgrid.de/entity/Q389666
,Aznavurtepe,Q390102,https://database.factgrid.de/entity/Q390102
,Qift,Q90458,https://database.factgrid.de/entity/Q90458
,Qift,Q90458,https://database.factgrid.de/entity/Q90458
,Pi-Ramesses,Q389619,https://database.factgrid.de/entity/Q389619
,Tall Jūkha,Q389893,https://database.factgrid.de/entity/Q389893
,Aliler,Q390138,https://database.factgrid.de/entity/Q390138
,Değirmenköy,Q390140,https://database.factgrid.de/entity/Q390140
,Acemhöyük,Q390170,https://database.factgrid.de/entity/Q390170
,Hazine Piri Kapısı,Q390120,https://database.factgrid.de/entity/Q390120
,Başkale,Q390153,https://database.factgrid.de/entity/Q390153
,Aşağı Anzaf,Q390135,https://database.factgrid.de/entity/Q390135
,Novy Kumak,Q390166,https://database.factgrid.de/entity/Q390166
,Başbulak,Q390158,https://database.factgrid.de/entity/Q390158
,Metsamor,Q390156,https://database.factgrid.de/entity/Q390156
,Kaisaran,Q390147,https://database.factgrid.de/entity/Q390147
,Ojasar-Ilandağ,Q390162,https://database.factgrid.de/entity/Q390162
,Köşk,Q390150,https://database.factgrid.de/entity/Q390150
,Sihke,Q390131,https://database.factgrid.de/entity/Q390131
,Metsopay-Vank,Q390111,https://database.factgrid.de/entity/Q390111
,Keçikıran,Q390146,https://database.factgrid.de/entity/Q390146
,Kevenli,Q390132,https://database.factgrid.de/entity/Q390132
,Körzüt,Q390151,https://database.factgrid.de/entity/Q390151
,Edremit,Q390117,https://database.factgrid.de/entity/Q390117
,Taşköprü,Q390119,https://database.factgrid.de/entity/Q390119
,Kadembas,Q390116,https://database.factgrid.de/entity/Q390116
,Karataş,Q390127,https://database.factgrid.de/entity/Q390127
,Kasımoğlu,Q390129,https://database.factgrid.de/entity/Q390129
,Bakraçlı,Q390133,https://database.factgrid.de/entity/Q390133
,Ererin,Q390118,https://database.factgrid.de/entity/Q390118
,Kalecik,Q390123,https://database.factgrid.de/entity/Q390123
,Ortadamla,Q390112,https://database.factgrid.de/entity/Q390112
,Sarmaç,Q390139,https://database.factgrid.de/entity/Q390139
,Kazancı,Q390155,https://database.factgrid.de/entity/Q390155
,Topraklı,Q390141,https://database.factgrid.de/entity/Q390141
,Güganis,Q390115,https://database.factgrid.de/entity/Q390115
,Dereüstü,Q390136,https://database.factgrid.de/entity/Q390136
,Xocali,Q390164,https://database.factgrid.de/entity/Q390164
,Çelebibağı,Q390122,https://database.factgrid.de/entity/Q390122
,Kamışvan,Q390109,https://database.factgrid.de/entity/Q390109
,Beşçatak,Q390143,https://database.factgrid.de/entity/Q390143
,Meher Kapısı,Q390126,https://database.factgrid.de/entity/Q390126
,Yeşilağaç,Q390154,https://database.factgrid.de/entity/Q390154
,Salmanağa,Q390130,https://database.factgrid.de/entity/Q390130
,Yukarı Anzaf,Q390137,https://database.factgrid.de/entity/Q390137
,Karahan,Q390149,https://database.factgrid.de/entity/Q390149
,Taşburun,Q390157,https://database.factgrid.de/entity/Q390157
,Gövelek,Q390145,https://database.factgrid.de/entity/Q390145
,Karagündüz,Q390148,https://database.factgrid.de/entity/Q390148
,Qalatgah,Q390160,https://database.factgrid.de/entity/Q390160
,Chughā Sabz,Q389706,https://database.factgrid.de/entity/Q389706
,Tall al-‘Agāmiyya,Q389772,https://database.factgrid.de/entity/Q389772
,Noragavid,Q389762,https://database.factgrid.de/entity/Q389762
,Haykavan,Q389759,https://database.factgrid.de/entity/Q389759
,Tsovak,Q389757,https://database.factgrid.de/entity/Q389757
,Karakala,Q389746,https://database.factgrid.de/entity/Q389746
,Qalat-i Dinka,Q389779,https://database.factgrid.de/entity/Q389779
,Nalbandyan,Q389761,https://database.factgrid.de/entity/Q389761
,Chaman-e-Hozori,Q389712,https://database.factgrid.de/entity/Q389712
,Kawala Kandal,Q389774,https://database.factgrid.de/entity/Q389774
,Vardatsor,Q389766,https://database.factgrid.de/entity/Q389766
,Mukhattat,Q389776,https://database.factgrid.de/entity/Q389776
,Qa`la Bast,Q389729,https://database.factgrid.de/entity/Q389729
,Tall Afghanī,Q389699,https://database.factgrid.de/entity/Q389699
,Siyah Chas̱mah,Q389719,https://database.factgrid.de/entity/Q389719
,Qal‘ah Imam,Q389728,https://database.factgrid.de/entity/Q389728
,Dugirdkhan,Q389778,https://database.factgrid.de/entity/Q389778
,Zvartʻnotsʻ,Q389753,https://database.factgrid.de/entity/Q389753
,‘Ayn-i Rūm,Q389726,https://database.factgrid.de/entity/Q389726
,Tall al-Raqa‘i,Q389769,https://database.factgrid.de/entity/Q389769
,Tall al-Disim,Q389781,https://database.factgrid.de/entity/Q389781
,Maḥmūd Ābād,Q389742,https://database.factgrid.de/entity/Q389742
,Jawānqal‘h,Q389705,https://database.factgrid.de/entity/Q389705
,Lamā,Q389739,https://database.factgrid.de/entity/Q389739
,Tʻanahat,Q389755,https://database.factgrid.de/entity/Q389755
,Rāzlīq,Q389714,https://database.factgrid.de/entity/Q389714
,Suhairy,Q389784,https://database.factgrid.de/entity/Q389784
,Umm al-Ḥafryāt,Q389793,https://database.factgrid.de/entity/Q389793
,Marmachyn,Q389760,https://database.factgrid.de/entity/Q389760
,Tell Ba'arura Shargi,Q389786,https://database.factgrid.de/entity/Q389786
,Aruch,Q389749,https://database.factgrid.de/entity/Q389749
,Chugha Pahn,Q389707,https://database.factgrid.de/entity/Q389707
,Chugha Pahn,Q389707,https://database.factgrid.de/entity/Q389707
,Chugha Pahn,Q389707,https://database.factgrid.de/entity/Q389707
,Chugha Pahn,Q389707,https://database.factgrid.de/entity/Q389707
,Qandahār,Q389730,https://database.factgrid.de/entity/Q389730
,S̱īs̱ah,Q389724,https://database.factgrid.de/entity/Q389724
,Janfida,Q389763,https://database.factgrid.de/entity/Q389763
,Kuhanak,Q389735,https://database.factgrid.de/entity/Q389735
,Kūlfaraḥ,Q389736,https://database.factgrid.de/entity/Q389736
,Unknown,Q389782,https://database.factgrid.de/entity/Q389782
,Unknown,Q389782,https://database.factgrid.de/entity/Q389782
,Spandaryan,Q389765,https://database.factgrid.de/entity/Q389765
,Mawānā,Q389743,https://database.factgrid.de/entity/Q389743
,Mārlīk,Q389740,https://database.factgrid.de/entity/Q389740
,Sardarapat,Q389764,https://database.factgrid.de/entity/Q389764
,Tall Hanas,Q389771,https://database.factgrid.de/entity/Q389771
,Māhān,Q389741,https://database.factgrid.de/entity/Q389741
,Tulūl al-Hummar,Q389783,https://database.factgrid.de/entity/Q389783
,Ṭulūl al-Ḥumr,Q389780,https://database.factgrid.de/entity/Q389780
,Abū Dhuba‘,Q389788,https://database.factgrid.de/entity/Q389788
,Bambakajat,Q389750,https://database.factgrid.de/entity/Q389750
,Elar,Q389754,https://database.factgrid.de/entity/Q389754
,Ẕiwyah,Q389715,https://database.factgrid.de/entity/Q389715
,Lchajen,Q389756,https://database.factgrid.de/entity/Q389756
,Tall-i Spīd,Q389702,https://database.factgrid.de/entity/Q389702
,Shiqāft-i Gulgul,Q389720,https://database.factgrid.de/entity/Q389720
,Tūl-i Gīlān,Q389704,https://database.factgrid.de/entity/Q389704
,Saqandal,Q389718,https://database.factgrid.de/entity/Q389718
,Dibbin,Q389785,https://database.factgrid.de/entity/Q389785
,Ṭashtepe,Q389725,https://database.factgrid.de/entity/Q389725
,Garni,Q389751,https://database.factgrid.de/entity/Q389751
,Chughā Gāwānah,Q389711,https://database.factgrid.de/entity/Q389711
,Tall al-Qiṭar,Q389872,https://database.factgrid.de/entity/Q389872
,Mikhmoret,Q389636,https://database.factgrid.de/entity/Q389636
,Gird-i Rustam,Q389680,https://database.factgrid.de/entity/Q389680
,Tall ‘Atij,Q389919,https://database.factgrid.de/entity/Q389919
,‘Ammān,Q389999,https://database.factgrid.de/entity/Q389999
,Tall Saka,Q389906,https://database.factgrid.de/entity/Q389906
,Jamjamāl,Q389959,https://database.factgrid.de/entity/Q389959
,Ṭawīlān,Q389997,https://database.factgrid.de/entity/Q389997
,Tall Qabr Abu al-’Atīq,Q389930,https://database.factgrid.de/entity/Q389930
,Ṭūbzāwah,Q389995,https://database.factgrid.de/entity/Q389995
,Tall Muḥamad ‘Arab,Q389937,https://database.factgrid.de/entity/Q389937
,Ḥabl al-Ṣakhar,Q389962,https://database.factgrid.de/entity/Q389962
,Tall Marwāny,Q389939,https://database.factgrid.de/entity/Q389939
,Ḥammām,Q389964,https://database.factgrid.de/entity/Q389964
,Tall Khaibar,Q389902,https://database.factgrid.de/entity/Q389902
,Qarah Jatān,Q390002,https://database.factgrid.de/entity/Q390002
,Tall Faqūs,Q389929,https://database.factgrid.de/entity/Q389929
,Tell Muhamad Diyab,Q389936,https://database.factgrid.de/entity/Q389936
,Rās al-Maṭbakh,Q389976,https://database.factgrid.de/entity/Q389976
,Tall Karay Qāsim,Q389933,https://database.factgrid.de/entity/Q389933
,Khārk,Q389965,https://database.factgrid.de/entity/Q389965
,Sārabtā,Q389982,https://database.factgrid.de/entity/Q389982
,Tall Sītak,Q389909,https://database.factgrid.de/entity/Q389909
,Tulūl Khaṭāb,Q389951,https://database.factgrid.de/entity/Q389951
,Tall Ṣabī Ābiyaḍ,Q389913,https://database.factgrid.de/entity/Q389913
,Tall Mīthlay,Q389943,https://database.factgrid.de/entity/Q389943
,Tall Fisnah,Q389928,https://database.factgrid.de/entity/Q389928
,Tall Siānū,Q389908,https://database.factgrid.de/entity/Q389908
,Dibba,Q389970,https://database.factgrid.de/entity/Q389970
,Qal‘at ‘Awaynah,Q390006,https://database.factgrid.de/entity/Q390006
,Tall al-Ṭāya,Q389865,https://database.factgrid.de/entity/Q389865
,Al-Bilad al-Qadim,Q389805,https://database.factgrid.de/entity/Q389805
,Al-Sayāl,Q389813,https://database.factgrid.de/entity/Q389813
,Tul-i Ājuri,Q389851,https://database.factgrid.de/entity/Q389851
,Tall Imlīḥiyah,Q389847,https://database.factgrid.de/entity/Q389847
,Tall al-Hādī,Q389879,https://database.factgrid.de/entity/Q389879
,Al-Maqsha,Q389817,https://database.factgrid.de/entity/Q389817
,Al-Ḥajar,Q389807,https://database.factgrid.de/entity/Q389807
,Al-Rajībah,Q389811,https://database.factgrid.de/entity/Q389811
,Tarjān,Q389838,https://database.factgrid.de/entity/Q389838
,Ishan Abū Kumbārah,Q389818,https://database.factgrid.de/entity/Q389818
,Tall Bāz Musiyān,Q389883,https://database.factgrid.de/entity/Q389883
,Al-Khiḍr,Q389809,https://database.factgrid.de/entity/Q389809
,Banat al-Hassan,Q389828,https://database.factgrid.de/entity/Q389828
,Banat al-Hassan,Q389828,https://database.factgrid.de/entity/Q389828
,Banat al-Hassan,Q389828,https://database.factgrid.de/entity/Q389828
,Banat al-Hassan,Q389828,https://database.factgrid.de/entity/Q389828
,Tell Baqaq,Q389890,https://database.factgrid.de/entity/Q389890
,Yalçınkaya,Q390103,https://database.factgrid.de/entity/Q390103
,Hasbey,Q390106,https://database.factgrid.de/entity/Q390106
,Muhrapert,Q390108,https://database.factgrid.de/entity/Q390108
,Ortakent,Q390105,https://database.factgrid.de/entity/Q390105
,Shephela,Q389628,https://database.factgrid.de/entity/Q389628
,Kuşsaray,Q389665,https://database.factgrid.de/entity/Q389665
,Mergeh Karvan,Q389679,https://database.factgrid.de/entity/Q389679
,Tel Rumeida,Q389652,https://database.factgrid.de/entity/Q389652
,Tabor,Q389675,https://database.factgrid.de/entity/Q389675
,Tel Jemmeh,Q389643,https://database.factgrid.de/entity/Q389643
,Khirbet Kusiya,Q389629,https://database.factgrid.de/entity/Q389629
,Rutschi Tig,Q389667,https://database.factgrid.de/entity/Q389667
,Tel Keisan,Q389646,https://database.factgrid.de/entity/Q389646
,Yrṿshlym,Q389671,https://database.factgrid.de/entity/Q389671
,Tapah Khībr,Q389690,https://database.factgrid.de/entity/Q389690
,Beit She'an,Q389669,https://database.factgrid.de/entity/Q389669
,Tel Hadid,Q389644,https://database.factgrid.de/entity/Q389644
,Tel Bet Shemesh,Q389642,https://database.factgrid.de/entity/Q389642
,Ishkaft Salmān,Q389684,https://database.factgrid.de/entity/Q389684
,Taşlik Höyük,Q389663,https://database.factgrid.de/entity/Q389663
,Sarābīūm,Q389614,https://database.factgrid.de/entity/Q389614
,Iraklio,Q389623,https://database.factgrid.de/entity/Q389623
,Tall Balāṭah,Q389674,https://database.factgrid.de/entity/Q389674
,Yassi Höyük,Q389661,https://database.factgrid.de/entity/Q389661
,Gezer,Q389633,https://database.factgrid.de/entity/Q389633
,Jericho,Q389672,https://database.factgrid.de/entity/Q389672
,Büklükale,Q389655,https://database.factgrid.de/entity/Q389655
,Bastam,Q389685,https://database.factgrid.de/entity/Q389685
,Tepe Horreeye,Q389682,https://database.factgrid.de/entity/Q389682
,Tel Be'er Sheva,Q389639,https://database.factgrid.de/entity/Q389639
,Wingate,Q389634,https://database.factgrid.de/entity/Q389634
,Nashteban,Q389681,https://database.factgrid.de/entity/Q389681
,Ushaklı Höyük,Q389664,https://database.factgrid.de/entity/Q389664
,Tel Beth Mirsim,Q389641,https://database.factgrid.de/entity/Q389641
,Tappah Gārān,Q389694,https://database.factgrid.de/entity/Q389694
,Tappah Mūsiyān,Q389696,https://database.factgrid.de/entity/Q389696
,Tapah Daylam,Q389691,https://database.factgrid.de/entity/Q389691
,Mezraa Teleilat,Q390051,https://database.factgrid.de/entity/Q390051
,Kārībahīn,Q390007,https://database.factgrid.de/entity/Q390007
,Burmageçit,Q390061,https://database.factgrid.de/entity/Q390061
,Hamamköy,Q390075,https://database.factgrid.de/entity/Q390075
,Koçaklar,Q390099,https://database.factgrid.de/entity/Q390099
,Kānī Bī,Q390015,https://database.factgrid.de/entity/Q390015
,Pirabat,Q390096,https://database.factgrid.de/entity/Q390096
,Bulutpınar,Q390097,https://database.factgrid.de/entity/Q390097
,Güzelhisar,Q390083,https://database.factgrid.de/entity/Q390083
,Bostankaya,Q390098,https://database.factgrid.de/entity/Q390098
,Hasancıklı,Q390043,https://database.factgrid.de/entity/Q390043
,Adalar,Q390093,https://database.factgrid.de/entity/Q390093
,Alazlı,Q390082,https://database.factgrid.de/entity/Q390082
,Anaz,Q390058,https://database.factgrid.de/entity/Q390058
,Yazılıtaş,Q390090,https://database.factgrid.de/entity/Q390090
,Düzceli,Q390101,https://database.factgrid.de/entity/Q390101
,Palu,Q390065,https://database.factgrid.de/entity/Q390065
,Bingöl Dağ,Q390077,https://database.factgrid.de/entity/Q390077
,Çatal Höyük,Q390039,https://database.factgrid.de/entity/Q390039
,Wādī al-Sab`,Q390029,https://database.factgrid.de/entity/Q390029
,Tilbes Höyük,Q390050,https://database.factgrid.de/entity/Q390050
,Kef Kalesi,Q390100,https://database.factgrid.de/entity/Q390100
,Kimūnah,Q390012,https://database.factgrid.de/entity/Q390012
,Malazgirt,Q390094,https://database.factgrid.de/entity/Q390094
,Süngütaşı,Q390088,https://database.factgrid.de/entity/Q390088
,Kūy Sīnjāq,Q390016,https://database.factgrid.de/entity/Q390016
,Aras,Q390091,https://database.factgrid.de/entity/Q390091
,Bağin,Q390064,https://database.factgrid.de/entity/Q390064
,Bakr Awa,Q390018,https://database.factgrid.de/entity/Q390018
,Mardin,Q390071,https://database.factgrid.de/entity/Q390071
,Koçyatağı,Q390080,https://database.factgrid.de/entity/Q390080
,Donatım,Q390081,https://database.factgrid.de/entity/Q390081
,Karacaören,Q390042,https://database.factgrid.de/entity/Q390042
,Namrīk,Q390021,https://database.factgrid.de/entity/Q390021
,Bahçecik,Q390066,https://database.factgrid.de/entity/Q390066
,Sarıca,Q390068,https://database.factgrid.de/entity/Q390068
,Erzen,Q390076,https://database.factgrid.de/entity/Q390076
,Kayseri,Q390035,https://database.factgrid.de/entity/Q390035
,Kaleköy,Q390063,https://database.factgrid.de/entity/Q390063
,Harāt,Q390026,https://database.factgrid.de/entity/Q390026
,Kūnārā,Q390013,https://database.factgrid.de/entity/Q390013
,Sarıkamış,Q390095,https://database.factgrid.de/entity/Q390095
,Kenk Boǧazı,Q390049,https://database.factgrid.de/entity/Q390049
,Kotanlı,Q390089,https://database.factgrid.de/entity/Q390089
,Kāmid al-Lūz,Q390008,https://database.factgrid.de/entity/Q390008
,Kānī Shāyah,Q390009,https://database.factgrid.de/entity/Q390009
