qid,Aen,Len,Lde,Lfr,Les,Ltr,Den,P2,P3,P287,P125,P156,P146,P771,P131,P131,?,,,,,,,,,,,,,,,,,,,,"FactGrid Items for Universities, Museums",
factgrid_id,abb,collection_name Collection,collection_name Collection,,,,,,,type of organization,collection_actor_status,collection_url,cdli_url,wikidata_id,research projs,,wiki_url_eng,collection_name_native,name_native_iso,wiki_url_native,geonames_id,collection_id,cdli_id,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,notes,to_be_deleted,url_native_iso,osm_id,osm_type,,,
Q172028,,Bibliothèque Nationale et Universitaire de Strasbourg Collection,Bibliothèque Nationale et Universitaire de Strasbourg Collection,Bibliothèque Nationale et Universitaire de Strasbourg Collection,Bibliothèque Nationale et Universitaire de Strasbourg Collection,Bibliothèque Nationale et Universitaire de Strasbourg Collection,"Bibliothèque Nationale et Universitaire de Strasbourg, Strasbourg, France",Q11249,,Q145257,Q11278,https://www.bnu.fr/fr,https://cdli.earth/collections/787,Q630461,Q389597,Q389595,https://en.wikipedia.org/wiki/National_and_University_Library,Bibliothèque Nationale et Universitaire de Strasbourg,fra,https://fr.wikipedia.org/wiki/Biblioth%C3%A8que_nationale_et_universitaire_(Strasbourg),0,257,787,Extant,Agency,Public,1,FRA,FRA.6_1,FRA.6.3_1,,0,eng,236931,relation,,Museum für Hamburgische Geschichte,https://database.factgrid.de/entity/Q23586
Q173222,,University of Liège Collection,University of Liège Collection,University of Liège Collection,University of Liège Collection,University of Liège Collection,"University of Liège, Liège, Belgium",Q11307,Q529854,Q160273,Q11278,https://www.uliege.be,https://cdli.earth/collections/1162,Q1334582,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Liège,Université de Liège,fra,https://fr.wikipedia.org/wiki/Université_de_Liège,6696552,1211,1162,Extant,Educational institution,Public,1,BEL,BEL.3_1,BEL.3.3_1,,0,fra,,,,Museum Osterode,https://database.factgrid.de/entity/Q74898
Q219415,,Cambridge University Library,Cambridge University Library,Cambridge University Library,Cambridge University Library,Cambridge University Library,"Cambridge University Library, University of Cambridge, Cambridge, UK",Q550435,,Q160273,Q11276,https://www.lib.cam.ac.uk,https://cdli.earth/collections/1045,Q1028334,Q389597,Q389595,https://en.wikipedia.org/wiki/Cambridge_University_Library,Cambridge University Library,eng,https://en.wikipedia.org/wiki/Cambridge_University_Library,0,795,1045,Extant,Educational institution,Group,1,GBR,GBR.1_1,GBR.1.16_1,,0,eng,1950099,relation,,University of Glasgow,https://database.factgrid.de/entity/Q97232
Q219421,,Yale University Collection,Yale University Collection,Yale University Collection,Yale University Collection,Yale University Collection,"Yale University, New Haven, Connecticut, USA",Q21411,Q529854,Q160273,Q11278,https://www.yale.edu,,Q49112,Q389597,Q389595,https://en.wikipedia.org/wiki/Yale_University,Yale University,eng,https://en.wikipedia.org/wiki/Yale_University,4846179,559,0,Extant,Educational institution,Group,1,USA,USA.7_1,USA.7.5_1,,0,eng,,,,Salesian Pontifical University,https://database.factgrid.de/entity/Q511908
Q245492,,Hebrew University of Jerusalem Collection,Hebrew University of Jerusalem Collection,Hebrew University of Jerusalem Collection,Hebrew University of Jerusalem Collection,Hebrew University of Jerusalem Collection,"The Hebrew University of Jerusalem, Jerusalem, Israel; Institute of Archaeology, Hebrew University, Jerusalem",Q21411,Q529854,Q160273,Q11278,https://new.huji.ac.il,https://cdli.earth/collections/726,Q174158,Q389597,Q389595,https://en.wikipedia.org/wiki/Hebrew_University_of_Jerusalem,האוניברסיטה העברית בירושלים,heb,https://he.wikipedia.org/wiki/האוניברסיטה_העברית_בירושלים,11608742,29,726,Extant,Educational institution,Public,1,PSE,PSE.2_1,PSE.2.5_1,,0,eng,,,,University of Michigan,https://database.factgrid.de/entity/Q449864
Q245733,,New York Public Library,New York Public Library,New York Public Library,New York Public Library,New York Public Library,"New York Public Library, New York, New York, USA",Q11249,,Q145257,Q11278,https://www.nypl.org,https://cdli.earth/collections/603,Q219555,Q389597,Q389595,https://en.wikipedia.org/wiki/New_York_Public_Library,New York Public Library,eng,https://en.wikipedia.org/wiki/New_York_Public_Library,8478980,125,603,Extant,Agency,Public,1,USA,USA.33_1,USA.33.32_1,,0,eng,,,,Estonian History Museum,https://database.factgrid.de/entity/Q76049
Q256600,,Trinity College Dublin Collection,Trinity College Dublin Collection,Trinity College Dublin Collection,Trinity College Dublin Collection,Trinity College Dublin Collection,"Trinity College, Dublin, Ireland",Q21411,,Q160273,Q11278,https://www.tcd.ie,https://cdli.earth/collections/537,Q258464,Q389597,Q389595,https://en.wikipedia.org/wiki/Trinity_College_Dublin,Coláiste na Tríonóide,gle,"https://ga.wikipedia.org/wiki/Coláiste_na_Tríonóide,_Baile_Átha_Cliath",7302219,627,537,Extant,Educational institution,Public,1,IRL,IRL.6_1,0,,0,gle,,,,Biblioteca de la Reial Acadèmia Catalana de Belles Arts de Sant Jordi,https://database.factgrid.de/entity/Q780081
Q272572,,Boston Public Library,Boston Public Library,Boston Public Library,Boston Public Library,Boston Public Library,"Boston Public Library, Boston, Massachusetts, USA",Q11249,,Q145257,Q11278,https://www.bpl.org,https://cdli.earth/collections/1120,Q894583,Q389597,Q389595,https://en.wikipedia.org/wiki/Boston_Public_Library,Boston Public Library,eng,https://en.wikipedia.org/wiki/Boston_Public_Library,4931010,778,1120,Extant,Agency,Public,1,USA,USA.22_1,USA.22.13_1,,0,eng,,,,British Museum,https://database.factgrid.de/entity/Q102010
Q272578,,Bancroft Library,Bancroft Library,Bancroft Library,Bancroft Library,Bancroft Library,"Bancroft Library, UC Berkeley, Berkeley, California, USA",Q550435,,Q160273,Q11278,https://www.lib.berkeley.edu/libraries/bancroft-library,https://cdli.earth/collections/151,Q4854158,Q389597,Q389595,https://en.wikipedia.org/wiki/Bancroft_Library,Bancroft Library,eng,https://en.wikipedia.org/wiki/Bancroft_Library,5325980,229,151,Extant,Educational institution,Public,1,USA,USA.5_1,USA.5.1_1,,0,eng,,,,Museumsberg Flensburg,https://database.factgrid.de/entity/Q102221
Q395501,,Princeton University Collection,Princeton University Collection,Princeton University Collection,Princeton University Collection,Princeton University Collection,Princeton University (previously Robert Garrett private collection),Q21411,Q529854,Q160273,Q11276,https://www.princeton.edu,,Q21578,Q389597,Q389595,https://en.wikipedia.org/wiki/Princeton_University,Princeton University,eng,https://en.wikipedia.org/wiki/Princeton_University,5102955,1320,0,Extant,Educational institution,Group,1,USA,USA.31_1,USA.31.11_1,,0,eng,,,,European University Institute,https://database.factgrid.de/entity/Q456345
