qid,Aen,Len,Lde,Lfr,Les,Ltr,Den,P2,P3,P287,P125,P156,P146,P771,P131,P131,?,,,,,,,,,,,,,,,,,,,,"FactGrid Items for Universities, Museums",
factgrid_id,abb,collection_name Collection,collection_name Collection,,,,,,,type of organization,collection_actor_status,collection_url,cdli_url,wikidata_id,research projs,,wiki_url_eng,collection_name_native,name_native_iso,wiki_url_native,geonames_id,collection_id,cdli_id,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,notes,to_be_deleted,url_native_iso,osm_id,osm_type,,,
,,Bowdoin College Museum of Art Collection,Bowdoin College Museum of Art Collection,Bowdoin College Museum of Art Collection,Bowdoin College Museum of Art Collection,Bowdoin College Museum of Art Collection,"Bowdoin College, Brunswick, Maine, USA",Q23239,,Q160273,Q11276,https://www.bowdoin.edu/art-museum,https://cdli.earth/collections/815,Q4950759,Q389597,Q389595,https://en.wikipedia.org/wiki/Bowdoin_College_Museum_of_Art,Bowdoin College Museum of Art,eng,https://en.wikipedia.org/wiki/Bowdoin_College_Museum_of_Art,4959021,482,815,Extant,Educational institution,Group,1,USA,USA.20_1,USA.20.3_1,,0,eng,,,,"University Library. University of California, Berkeley",https://database.factgrid.de/entity/Q387018
,,Brieux Collection,Brieux Collection,Brieux Collection,Brieux Collection,Brieux Collection,"Private collection: Brieux, Paris, France",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/312,,Q389597,Q389595,,,,,,782,312,Unknown,Person,Individual,0,FRA,FRA.8_1,FRA.8.3_1,,0,,,,,Library of Estudi General Lul·lià,https://database.factgrid.de/entity/Q901400
,,Brigham Young University - Idaho Collection,Brigham Young University - Idaho Collection,Brigham Young University - Idaho Collection,Brigham Young University - Idaho Collection,Brigham Young University - Idaho Collection,"Brigham Young University-Idaho, Rexburg, Idaho, USA",Q550435,Q529854,Q160273,Q11276,https://www.byui.edu,https://cdli.earth/collections/952,Q1029431,Q389597,Q389595,https://en.wikipedia.org/wiki/Brigham_Young_University–Idaho,Brigham Young University - Idaho,eng,https://en.wikipedia.org/wiki/Brigham_Young_University–Idaho,,783,952,Extant,Educational institution,Group,1,USA,USA.13_1,USA.13.33_1,,0,eng,630360436,way,,Europa-Universität Flensburg,https://database.factgrid.de/entity/Q94579
,,Brighton Museum and Art Gallery,Brighton Museum and Art Gallery,Brighton Museum and Art Gallery,Brighton Museum and Art Gallery,Brighton Museum and Art Gallery,"Brighton Museum and Art Gallery, Brighton, UK",Q23239,,Q145257,Q11278,https://brightonmuseums.org.uk/brighton,https://cdli.earth/collections/980,Q2790574,Q389597,Q389595,https://en.wikipedia.org/wiki/Brighton_Museum_%26_Art_Gallery,Brighton Museum and Art Gallery,eng,https://en.wikipedia.org/wiki/Brighton_Museum_%26_Art_Gallery,0,662,980,Extant,Agency,Public,1,GBR,GBR.1_1,GBR.1.11_1,,0,eng,104520966,way,,Vienna Art History Museum,https://database.factgrid.de/entity/Q984111
,,Bristol Public Library,Bristol Public Library,Bristol Public Library,Bristol Public Library,Bristol Public Library,"Bristol Public Library, Bristol, Connecticut, USA",Q11249,,Q145257,Q11278,https://www.bristollib.com,https://cdli.earth/collections/483,Q69470504,Q389597,Q389595,,Bristol Public Library,eng,,5282852,784,483,Extant,Agency,Public,1,USA,USA.7_1,USA.7.2_1,,0,,,,,Museum für Völkerkunde Leipzig,https://database.factgrid.de/entity/Q749478
,,"Brockmon Collection, University of Haifa Collection","Brockmon Collection, University of Haifa Collection","Brockmon Collection, University of Haifa Collection","Brockmon Collection, University of Haifa Collection","Brockmon Collection, University of Haifa Collection","Brockmon Collection, University of Haifa, Haifa, Israel",Q550435,Q529854,Q160273,Q11278,https://www.haifa.ac.il,https://cdli.earth/collections/356,Q591115,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Haifa,,,https://he.wikipedia.org/wiki/אוניברסיטת_חיפה,8265371,313,356,Extant,Educational institution,Public,1,ISR,ISR.3_1,,,0,heb,,,,University of Basel,https://database.factgrid.de/entity/Q94624
,,Brooklyn Museum,Brooklyn Museum,Brooklyn Museum,Brooklyn Museum,Brooklyn Museum,"Brooklyn Museum of Art, Brooklyn, New York, USA; Brooklyn Museum, Brooklyn, New York, USA",Q23239,,,Q11276,https://www.brooklynmuseum.org,,Q632682,Q389597,Q389595,https://en.wikipedia.org/wiki/Brooklyn_Museum,Brooklyn Museum,eng,https://en.wikipedia.org/wiki/Brooklyn_Museum,6343439,501,505; 1293,Extant,Uncertain,Uncertain,1,USA,USA.33_1,USA.33.24_1,,0,eng,,,,University of Tübingen,https://database.factgrid.de/entity/Q21893
,,Bruce Museum,Bruce Museum,Bruce Museum,Bruce Museum,Bruce Museum,"Bruce Museum, Greenwich, Connecticut, USA",Q23239,,Q34987,Q11276,https://brucemuseum.org,https://cdli.earth/collections/770,Q4978056,Q389597,Q389595,https://en.wikipedia.org/wiki/Bruce_Museum_of_Arts_and_Science,Bruce Museum,eng,https://en.wikipedia.org/wiki/Bruce_Museum_of_Arts_and_Science,0,786,770,Extant,Foundation,Group,1,USA,USA.7_1,USA.7.1_1,,0,eng,2204040856,node,,Arxiu i Biblioteca Episcopal de Vic,https://database.factgrid.de/entity/Q747427
,,Bryn Mawr College Collection,Bryn Mawr College Collection,Bryn Mawr College Collection,Bryn Mawr College Collection,Bryn Mawr College Collection,"Bryn Mawr College, Bryn Mawr, Pennsylvania, USA",Q21411,,Q160273,Q11276,https://www.brynmawr.edu,https://cdli.earth/collections/1129,Q995265,Q389597,Q389595,https://en.wikipedia.org/wiki/Bryn_Mawr_College,Bryn Mawr College,eng,https://en.wikipedia.org/wiki/Bryn_Mawr_College,5182065,153,1129,Extant,Educational institution,Group,1,USA,USA.39_1,USA.39.46_1,,0,eng,,,,"Maria-Curie-Skłodowska University, Lublin",https://database.factgrid.de/entity/Q536910
,,Buffalo and Erie County Public Library,Buffalo and Erie County Public Library,Buffalo and Erie County Public Library,Buffalo and Erie County Public Library,Buffalo and Erie County Public Library,"Buffalo and Erie County Public Library, Buffalo, New York, USA",Q11249,,Q145257,Q11278,https://www.buffalolib.org,https://cdli.earth/collections/654,Q4985640,Q389597,Q389595,https://en.wikipedia.org/wiki/Buffalo_%26_Erie_County_Public_Library,Buffalo and Erie County Public Library,eng,https://en.wikipedia.org/wiki/Buffalo_%26_Erie_County_Public_Library,0,634,654,Extant,Agency,Public,1,USA,USA.33_1,USA.33.15_1,,0,eng,36876336,way,,Museum Forum der Völker,https://database.factgrid.de/entity/Q539130
,,Buffalo Museum of Science Collection,Buffalo Museum of Science Collection,Buffalo Museum of Science Collection,Buffalo Museum of Science Collection,Buffalo Museum of Science Collection,"Museum of the Buffalo Society of Natural Sciences, Buffalo, New York, USA",Q23239,,Q34987,Q11276,https://www.sciencebuff.org,https://cdli.earth/collections/388,Q4985792,Q389597,Q389595,https://en.wikipedia.org/wiki/Buffalo_Museum_of_Science,Buffalo Museum of Science,eng,https://en.wikipedia.org/wiki/Buffalo_Museum_of_Science,8491328,591,388,Extant,Foundation,Group,1,USA,USA.33_1,USA.33.15_1,,0,eng,,,,Biblioteca Universitaria di Cagliari,https://database.factgrid.de/entity/Q747432
,,Buffalo Seminary Collection,Buffalo Seminary Collection,Buffalo Seminary Collection,Buffalo Seminary Collection,Buffalo Seminary Collection,"Buffalo Seminary, Buffalo, New York, USA",Q21411,,Q160273,Q11276,https://www.buffaloseminary.org,https://cdli.earth/collections/922,Q4985841,Q389597,Q389595,https://en.wikipedia.org/wiki/Buffalo_Seminary,Buffalo Seminary,eng,https://en.wikipedia.org/wiki/Buffalo_Seminary,5110656,200,922,Extant,Educational institution,Group,1,USA,USA.33_1,USA.33.15_1,,0,eng,,,,"Faculty of Asian and Middle Eastern Studies, Cambridge",https://database.factgrid.de/entity/Q511937
,,Bulgarelli Collection,Bulgarelli Collection,Bulgarelli Collection,Bulgarelli Collection,Bulgarelli Collection,"Private collection: Bulgarelli, Milan, Italy",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1209,,Q389597,Q389595,,,,,,790,1209,Unknown,Person,Individual,0,ITA,ITA.10_1,ITA.10.8_1,,0,,,,,Königliche Bibliothek,https://database.factgrid.de/entity/Q902291
,,Burrell Collection,Burrell Collection,Burrell Collection,Burrell Collection,Burrell Collection,"Burrell Collection, Glasgow, Scotland, UK; Burrell Collection, Glasgow, Scotland, UK",Q21411,,Q145257,Q11278,https://burrellcollection.com,,Q1016909,Q389597,Q389595,https://en.wikipedia.org/wiki/Burrell_Collection,Burrell Collection,eng,https://en.wikipedia.org/wiki/Burrell_Collection,0,209,122; 149,Extant,Agency,Public,1,GBR,GBR.3_1,GBR.3.16_1,,0,eng,24242323,way,,University of Zurich,https://database.factgrid.de/entity/Q175618
,,C. Autran Collection,C. Autran Collection,C. Autran Collection,C. Autran Collection,C. Autran Collection,"Private collection: Autran, C.",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/315,,Q389597,Q389595,,,,,,742,315,Unknown,Person,Individual,0,,,,,0,,,,,Bibliothèque royale de Fontainebleau,https://database.factgrid.de/entity/Q902313
,,C. C. Whittier Collection,C. C. Whittier Collection,C. C. Whittier Collection,C. C. Whittier Collection,C. C. Whittier Collection,"Private collection: C.C. Whittier, Chicago, IL, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/−190,,Q389597,Q389595,,,,,,1300,-190,Unknown,Person,Individual,0,USA,USA.14_1,USA.14.16_1,,0,,,,,Biblioteca de las Cortes,https://database.factgrid.de/entity/Q902416
,,C. D. Gamble Collection,C. D. Gamble Collection,C. D. Gamble Collection,C. D. Gamble Collection,C. D. Gamble Collection,"Private collection: Gamble, C.D., Taxila, Pakistan",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/605,,Q389597,Q389595,,,,,,890,605,Unknown,Person,Individual,0,PAK,PAK.7_1,PAK.7.7_1,,0,,,,,Bibliotheca Yelensi,https://database.factgrid.de/entity/Q902551
,,C. F. A. Schaeffer Collection,C. F. A. Schaeffer Collection,C. F. A. Schaeffer Collection,C. F. A. Schaeffer Collection,C. F. A. Schaeffer Collection,"Private collection: Schaeffer, C.F.A., France",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/630,,Q389597,Q389595,,,,,,1140,630,Unknown,Person,Individual,0,FRA,,,,0,,,,,Bibliothèque municipale de Tours,https://database.factgrid.de/entity/Q902552
,,C. H. Clark Collection,C. H. Clark Collection,C. H. Clark Collection,C. H. Clark Collection,C. H. Clark Collection,Private collection: Mr C. H. Clark,Q21411,,Q173099,Q11267,,https://cdli.earth/collections/461,,Q389597,Q389595,,,,,,324,461,Unknown,Person,Individual,0,,,,,0,,,,,Biblioteca del Instituto y Provincia de Huesca,https://database.factgrid.de/entity/Q902629
,,C. K. Daly Collection,C. K. Daly Collection,C. K. Daly Collection,C. K. Daly Collection,C. K. Daly Collection,"Private collection: Daly, C.K., unlocated",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/804,,Q389597,Q389595,,,,,,837,804,Unknown,Person,Individual,0,,,,,0,,,,,Girona Public Library,https://database.factgrid.de/entity/Q907632
,,C. May Collection,C. May Collection,C. May Collection,C. May Collection,C. May Collection,"Private collection: May, C., Headley, Surrey, UK",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/460,,Q389597,Q389595,,,,,,1008,460,Unknown,Person,Individual,0,GBR,GBR.1_1,GBR.1.98_1,,0,,,,,,
,,C. S. Knopf Collection,C. S. Knopf Collection,C. S. Knopf Collection,C. S. Knopf Collection,C. S. Knopf Collection,"Private collection: Knopf, C.S., USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1214,,Q389597,Q389595,,,,,,972,1214,Unknown,Person,Individual,0,USA,,,,0,,,,,Collegio S. Isidoro (Roma): Biblioteca Wadding,https://database.factgrid.de/entity/Q907637
,,C. Sharp Collection,C. Sharp Collection,C. Sharp Collection,C. Sharp Collection,C. Sharp Collection,"Private collection: Sharp, C., Granby, Connecticut, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/532,,Q389597,Q389595,,,,,,1152,532,Unknown,Person,Individual,0,USA,USA.7_1,,,0,,,,,Biblioteca Barberiniana,https://database.factgrid.de/entity/Q907666
,,C. von Mac-Arrow Collection,C. von Mac-Arrow Collection,C. von Mac-Arrow Collection,C. von Mac-Arrow Collection,C. von Mac-Arrow Collection,"Private collection: Mac-Arrow, C. von, Rome, Italy",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1068,,Q389597,Q389595,,,,,,999,1068,Unknown,Person,Individual,0,ITA,ITA.8_1,ITA.8.4_1,,0,,,,,Librairie royale de Blois,https://database.factgrid.de/entity/Q907870
,,Cadorini Collection,Cadorini Collection,Cadorini Collection,Cadorini Collection,Cadorini Collection,"Private collection: Cadorini, unlocated",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/995,,Q389597,Q389595,,,,,,794,995,Person,Person,Individual,0,,,,,0,,,,,Biblioteca Pública Episcopal de Barcelona,https://database.factgrid.de/entity/Q945246
,,California Museum of Ancient Art Collection,California Museum of Ancient Art Collection,California Museum of Ancient Art Collection,California Museum of Ancient Art Collection,California Museum of Ancient Art Collection,"California Museum of Ancient Art, Los Angeles, California, USA",Q23239,,Q34987,Q11276,https://web.archive.org/web/20190424145303/http://cmaa-museum.org/index.html,https://cdli.earth/collections/144,,Q389597,Q389595,,California Museum of Ancient Art,eng,,,101,144,Unknown,Foundation,Uncertain,0,USA,USA.5_1,USA.5.19_1,,0,,,,,Biblioteca Serrano Morales,https://database.factgrid.de/entity/Q747437
,,Calouste Gulbenkian Museum,Calouste Gulbenkian Museum,Calouste Gulbenkian Museum,Calouste Gulbenkian Museum,Calouste Gulbenkian Museum,"Museum Calouste Gulbenkian, Lisbon, Portugal",Q23239,,Q34987,Q11276,https://gulbenkian.pt/museu,https://cdli.earth/collections/792,Q211262,Q389597,Q389595,https://en.wikipedia.org/wiki/Calouste_Gulbenkian_Museum,Museu Calouste Gulbenkian,por,https://pt.wikipedia.org/wiki/Museu_Calouste_Gulbenkian,11820908,507,792,Extant,Foundation,Group,1,PRT,PRT.12_1,PRT.12.7_1,,0,por,,,,Archivo de la Seo y Biblioteca Capitular de Zaragoza,https://database.factgrid.de/entity/Q747439
,,Camberg Hoza Collection,Camberg Hoza Collection,Camberg Hoza Collection,Camberg Hoza Collection,Camberg Hoza Collection,"Private collection: Hoza, Camberg, Germany",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1203,,Q389597,Q389595,,,,,,342,1203,Unknown,Person,Individual,0,,,,,0,,,,,Bibliothèque Impériale du Panthéon,https://database.factgrid.de/entity/Q945247
,,Canadian Museum of Civilization Collection,Canadian Museum of Civilization Collection,Canadian Museum of Civilization Collection,Canadian Museum of Civilization Collection,Canadian Museum of Civilization Collection,"Canadian Museum of Civilization, Ottawa, Ontario, Canada",Q23239,,Q145257,Q11278,https://www.historymuseum.ca,https://cdli.earth/collections/99,Q1032269,Q389597,Q389595,https://en.wikipedia.org/wiki/Canadian_Museum_of_History,Canadian Museum of Civilization,eng,https://en.wikipedia.org/wiki/Canadian_Museum_of_History,7626266,258,99,Extant,Agency,Public,1,CAN,CAN.11_1,CAN.11.19_1,,0,eng,,,,Land Berlin Collection,https://database.factgrid.de/entity/Q897712
,,Canadian Postal Museum,Canadian Postal Museum,Canadian Postal Museum,Canadian Postal Museum,Canadian Postal Museum,"National Postal Museum, Ottawa, Ontario, Canada",Q23239,,Q145257,Q11278,https://www.historymuseum.ca/event/the-canadian-postal-museum-is-now-closed,https://cdli.earth/collections/852,Q3329522,Q389597,Q389595,https://en.wikipedia.org/wiki/Canadian_Postal_Museum,Canadian Postal Museum,eng,https://en.wikipedia.org/wiki/Canadian_Postal_Museum,7626266,1069,852,Terminated,Agency,Public,1,CAN,CAN.11_1,CAN.11.19_1,,0,eng,,,,"(Anti-)Freemasonry Museum in the house of the lodge ""Lebanon of the Three Cedars"", Erlangen",https://database.factgrid.de/entity/Q968285
,,Cantor Arts Center Collection,Cantor Arts Center Collection,Cantor Arts Center Collection,Cantor Arts Center Collection,Cantor Arts Center Collection,"Cantor Center for Visual Arts, Stanford University, Stanford, California, USA",Q23239,,Q160273,Q11276,https://museum.stanford.edu,https://cdli.earth/collections/502,Q1672708,Q389597,Q389595,https://en.wikipedia.org/wiki/Cantor_Arts_Center,Cantor Arts Center,eng,https://en.wikipedia.org/wiki/Cantor_Arts_Center,5398581,796,502,Extant,Educational institution,Group,1,USA,USA.5_1,USA.5.43_1,,0,eng,,,,Library of the Königliches Gymnasium Kiel,https://database.factgrid.de/entity/Q389094
,,Cardascia Collection,Cardascia Collection,Cardascia Collection,Cardascia Collection,Cardascia Collection,"Private collection: Cardascia, Paris, France",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1104,,Q389597,Q389595,,,,,,797,1104,Unknown,Person,Individual,0,FRA,FRA.8_1,FRA.8.3_1,,0,,,,,Biblioteca General Histórica de la Universidad de Salamanca,https://database.factgrid.de/entity/Q946079
,,Careaga Collection,Careaga Collection,Careaga Collection,Careaga Collection,Careaga Collection,"Private collection: Careaga, Madrid, Spain",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/751,,Q389597,Q389595,,,,,,798,751,Unknown,Person,Individual,0,DEU,DEU.3_1,DEU.3.1_1,,0,,,,,Can Vivot Library,https://database.factgrid.de/entity/Q946080
,,Carl Blegen Library,Carl Blegen Library,Carl Blegen Library,Carl Blegen Library,Carl Blegen Library,"Carl Blegen Library, University of Cincinnati, Cincinnati, Ohio, USA",Q550435,,Q160273,Q11276,https://ucdirectory.uc.edu/CampusBuildings.asp?bldgcode=BLEGEN,https://cdli.earth/collections/938,,Q389597,Q389595,,Carl Blegen Library,eng,,4507933,799,938,Extant,Educational institution,Group,1,USA,USA.36_1,USA.36.31_1,,0,,,,,University of Wrocław,https://database.factgrid.de/entity/Q98800
,,"Carl L. Lippmann Collection, Real Academia de la Historia Collection","Carl L. Lippmann Collection, Real Academia de la Historia Collection","Carl L. Lippmann Collection, Real Academia de la Historia Collection","Carl L. Lippmann Collection, Real Academia de la Historia Collection","Carl L. Lippmann Collection, Real Academia de la Historia Collection","Carl L. Lippmann Collection, Real Academia de la Historia, Madrid, Spain",Q21411,,Q160273,Q11276,https://www.rah.es/colecciones,https://cdli.earth/collections/1294,Q2720582,Q389597,Q389595,https://en.wikipedia.org/wiki/Real_Academia_de_la_Historia,"Colección Carl L. Lippmann, Real Academia de la Historia",spa,https://es.wikipedia.org/wiki/Real_Academia_de_la_Historia,0,108,1294,Extant,Educational institution,Group,1,ESP,ESP.8_1,ESP.8.1_1,,0,spa,291990729,way,,London School of Economics,https://database.factgrid.de/entity/Q537474
,,Carnegie Museum of Natural History Collection,Carnegie Museum of Natural History Collection,Carnegie Museum of Natural History Collection,Carnegie Museum of Natural History Collection,Carnegie Museum of Natural History Collection,"Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA",Q23239,,,Q11276,https://carnegiemnh.org,https://cdli.earth/collections/529,Q1043983,Q389597,Q389595,https://en.wikipedia.org/wiki/Carnegie_Museum_of_Natural_History,Carnegie Museum of Natural History,eng,https://en.wikipedia.org/wiki/Carnegie_Museum_of_Natural_History,5183279,800,529,Extant,Uncertain,Uncertain,1,USA,USA.39_1,USA.39.2_1,,0,eng,,,,"Carl von Ossietzky University, Oldenburg",https://database.factgrid.de/entity/Q21913
,,Carsten Niebuhr Collection,Carsten Niebuhr Collection,Carsten Niebuhr Collection,Carsten Niebuhr Collection,Carsten Niebuhr Collection,University of Copenhagen - Carsten Niebuhr Collection,Q21411,Q529854,Q160273,Q11278,https://www.ku.dk,https://cdli.earth/collections/−190,Q186285,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Copenhagen,,,https://da.wikipedia.org/wiki/Københavns_Universitet,0,1277,-190,Unknown,Educational institution,Public,1,DNK,DNK.1_1,DNK.1.25_1,,0,dan,26143629,way,,Erzsébet University,https://database.factgrid.de/entity/Q449628
,,Cary Graphic Arts Collection,Cary Graphic Arts Collection,Cary Graphic Arts Collection,Cary Graphic Arts Collection,Cary Graphic Arts Collection,"Cary Collection, Rochester Institute of Technology, Rochester, New York, USA",Q23239,,Q160273,Q11276,https://www.rit.edu/carycollection,https://cdli.earth/collections/427,Q18344119,Q389597,Q389595,https://en.wikipedia.org/wiki/Cary_Graphic_Arts_Collection,Cary Graphic Arts Collection,eng,https://en.wikipedia.org/wiki/Cary_Graphic_Arts_Collection,7223226,802,427,Extant,Educational institution,Group,1,,,,,0,eng,,,,University of Michigan Library,https://database.factgrid.de/entity/Q272579
,,Catherine Oliviero Collection,Catherine Oliviero Collection,Catherine Oliviero Collection,Catherine Oliviero Collection,Catherine Oliviero Collection,"Private collection: Oliviero, Catherine, Banning, California, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/457,,Q389597,Q389595,,,,,,210,457,Extant,Person,Individual,0,USA,USA.5_1,USA.5.33_1,,0,,,,,Unknown private library,https://database.factgrid.de/entity/Q946086
,,Chandon de Briailles Collection,Chandon de Briailles Collection,Chandon de Briailles Collection,Chandon de Briailles Collection,Chandon de Briailles Collection,"Private collection: Chandon de Briailles, unlocated",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/140,,Q389597,Q389595,,,,,,381,140,Unknown,Person,Individual,0,FRA,,,,0,,,,,Colegio Nuestra Señora de Montesión Library,https://database.factgrid.de/entity/Q946088
,,Chappée Collection,Chappée Collection,Chappée Collection,Chappée Collection,Chappée Collection,Private collection: Chappée collecllon,Q21411,,Q173099,Q11267,,https://cdli.earth/collections/22,,Q389597,Q389595,,,,,,646,22,Unknown,Person,Individual,0,,,,,0,,,,,Biblioteca Provincial de Girona,https://database.factgrid.de/entity/Q946175
,,Charles D. Tandy Archaeological Museum,Charles D. Tandy Archaeological Museum,Charles D. Tandy Archaeological Museum,Charles D. Tandy Archaeological Museum,Charles D. Tandy Archaeological Museum,"Charles C. Tandy Archaeology Museum,Southwestern Baptist Theological Seminary, Fort Worth, Texas, USA",Q23239,,Q160273,Q11276,https://swbts.edu,https://cdli.earth/collections/314,Q7571391,Q389597,Q389595,https://en.wikipedia.org/wiki/Southwestern_Baptist_Theological_Seminary,Charles D. Tandy Archaeological Museum,eng,https://en.wikipedia.org/wiki/Southwestern_Baptist_Theological_Seminary,0,803,314,Extant,Educational institution,Group,1,USA,USA.44_1,USA.44.220_1,,0,eng,429984671,way,,Yale University Library,https://database.factgrid.de/entity/Q272577
,,Charles Ede Collection,Charles Ede Collection,Charles Ede Collection,Charles Ede Collection,Charles Ede Collection,"Ede, Charles (antiquarian), London, UK",Q21411,,Q21907,Q11276,https://www.charlesede.com,https://cdli.earth/collections/916,,Q389597,Q389595,,Charles Ede,eng,,0,866,916,Extant,Company,Group,1,GBR,GBR.1_1,GBR.1.36_1,,0,,5824640724,node,,Ruhr-Universität Bochum,https://database.factgrid.de/entity/Q398970
,,Charles Edwin Puckett Collection,Charles Edwin Puckett Collection,Charles Edwin Puckett Collection,Charles Edwin Puckett Collection,Charles Edwin Puckett Collection,"Private collection: Puckett, C.E. (antiquarian), Akron, Ohio, USA",Q21411,,Q21907,Q11267,https://www.cepuckett.com,https://cdli.earth/collections/1178,,Q389597,Q389595,,,,,,1110,1178,Extant,Company,Individual,0,USA,USA.36_1,USA.36.78_1,,0,,,,,Aarhus University,https://database.factgrid.de/entity/Q398981
,,Charles Hand Collection,Charles Hand Collection,Charles Hand Collection,Charles Hand Collection,Charles Hand Collection,"Private collection: Hand, Charles, Ft. Myers, Florida, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/234,,Q389597,Q389595,,,,,,917,234,Unknown,Person,Individual,0,USA,USA.10_1,USA.10.35_1,,0,,,,,Science and Tecnology Library of Universitat Autònoma de Barcelona,https://database.factgrid.de/entity/Q946177
,,Charles L. Palmer Collection,Charles L. Palmer Collection,Charles L. Palmer Collection,Charles L. Palmer Collection,Charles L. Palmer Collection,"Private collection: Palmer, Charles L.",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/522,,Q389597,Q389595,,,,,,1092,522,Unknown,Person,Individual,0,,,,,0,,,,,Biblioteca de la Universidad de Sevilla - Biblioteca General Rector Antonio Machado y Núñez,https://database.factgrid.de/entity/Q946181
,,Charles University Collection,Charles University Collection,Charles University Collection,Charles University Collection,Charles University Collection,"Charles University, Prague, Czech Republic",Q21411,Q529854,Q160273,Q11278,https://cuni.cz,https://cdli.earth/collections/231,Q31519,Q389597,Q389595,https://en.wikipedia.org/wiki/Charles_University,Univerzita Karlova,ces,https://cs.wikipedia.org/wiki/Univerzita_Karlova,0,804,231,Extant,Educational institution,Public,1,CZE,CZE.11_1,CZE.11.1_1,,0,ces,173673269,way,,Janus Pannonius University,https://database.factgrid.de/entity/Q449629
,,Charlotte M. Smith Collection of Miniature Books Collection,Charlotte M. Smith Collection of Miniature Books Collection,Charlotte M. Smith Collection of Miniature Books Collection,Charlotte M. Smith Collection of Miniature Books Collection,Charlotte M. Smith Collection of Miniature Books Collection,"Charlotte M. Smith Collection of Miniature Books, University Libraries, University of Iowa, Iowa City, Iowa, USA",Q550435,,Q160273,Q11278,https://www.lib.uiowa.edu/sc/smith,https://cdli.earth/collections/364,,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Iowa#University_of_Iowa_Libraries,Charlotte M. Smith Collection of Miniature Books,eng,https://en.wikipedia.org/wiki/University_of_Iowa#University_of_Iowa_Libraries,0,274,364,Extant,Educational institution,Public,1,USA,USA.16_1,USA.16.52_1,,0,eng,102239324,way,,University of Salzburg,https://database.factgrid.de/entity/Q99334
,,Charterhouse School Museum,Charterhouse School Museum,Charterhouse School Museum,Charterhouse School Museum,Charterhouse School Museum,"Charterhouse School Museum, Godalming, UK",Q23239,,Q160273,Q11276,https://www.charterhouse.org.uk,https://cdli.earth/collections/1135,Q1067870,Q389597,Q389595,https://en.wikipedia.org/wiki/Charterhouse_School,Charterhouse School Museum,eng,https://en.wikipedia.org/wiki/Charterhouse_School,0,805,1135,Unknown,Educational institution,Group,1,GBR,GBR.1_1,GBR.1.98_1,,0,eng,23059797,way,,Jagiellonian Library,https://database.factgrid.de/entity/Q389095
,,Cherkasy Collection,Cherkasy Collection,Cherkasy Collection,Cherkasy Collection,Cherkasy Collection,Private collection: Cherkasy,Q21411,,Q173099,Q11267,,https://cdli.earth/collections/842,,Q389597,Q389595,,,,,,594,842,Unknown,Person,Individual,0,,,,,0,,,,,Frederic Marés Deulovol Library,https://database.factgrid.de/entity/Q946182
,,Chester Beatty Library,Chester Beatty Library,Chester Beatty Library,Chester Beatty Library,Chester Beatty Library,"Chester Beatty Library, Dublin, Ireland",Q11249,,Q145257,Q11278,https://chesterbeatty.ie,https://cdli.earth/collections/1023,Q391976,Q389597,Q389595,https://en.wikipedia.org/wiki/Chester_Beatty_Library,Chester Beatty Library,eng,https://en.wikipedia.org/wiki/Chester_Beatty_Library,11874015,248,1023,Extant,Agency,Public,0,IRL,IRL.6_1,0,,0,eng,,,,Fundación Bartolomé March Servera,https://database.factgrid.de/entity/Q747446
