FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en
Q2099901,https://database.factgrid.de/entity/Q2099901,Alu-binatu,,267,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389792,https://database.factgrid.de/entity/Q389792,Umm el-Hafriyat,,268,Point(45.4813 32.1323),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389821,https://database.factgrid.de/entity/Q389821,Pāra,Para | Barah,27,Point(41.4851 36.3757),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389957,https://database.factgrid.de/entity/Q389957,Karkemish (mod. Djerabis),Karkemish,270,Point(38.0156 36.8294),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389980,https://database.factgrid.de/entity/Q389980,Zawiyya,,271,Point(42.1725 34.2925),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389635,https://database.factgrid.de/entity/Q389635,Megiddo,Tel Megiddo,272,Point(35.1828 32.5822),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390019,https://database.factgrid.de/entity/Q390019,Negub tunnel,,273,Point(43.4762 36.0446),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099944,https://database.factgrid.de/entity/Q2099944,Ḫadiranu-ša-Nabu,,274,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389827,https://database.factgrid.de/entity/Q389827,Imgur-Enlil (mod. Balawat),Balawat | Imgur-Enlil,275,Point(43.4033 36.2294),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389967,https://database.factgrid.de/entity/Q389967,Haradum (mod. Khirbet ed-Diniye),Haradum,276,Point(41.5866 34.4611),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389810,https://database.factgrid.de/entity/Q389810,Dawali,,277,Point(41.9912 34.4535),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389815,https://database.factgrid.de/entity/Q389815,Umm Chatil,,278,Point(46.5784 31.3901),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390022,https://database.factgrid.de/entity/Q390022,Nihavand,,28,Point(48.3769 34.1889),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389721,https://database.factgrid.de/entity/Q389721,Shadad,,280,Point(57.7405 30.4279),Q8 | Q389596,ancient location and modern archaeological excavation site
Q91165,https://database.factgrid.de/entity/Q91165,Samarra,Sāmmarā | Samarra,282,Point(43.8667 34.2) | Point(43.8795 34.2291),Q8 | Q389596,"city, ancient location and modern archaeological excavation site"
Q390033,https://database.factgrid.de/entity/Q390033,Ortaköy,Sapinuwa | mod. Ortaköy,283,Point(35.2375 40.2541),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389700,https://database.factgrid.de/entity/Q389700,Ghazir,,284,Point(49.4149 31.3597),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389836,https://database.factgrid.de/entity/Q389836,Tepe Gawra,Tapah Gawra,285,Point(43.2604 36.4958),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389701,https://database.factgrid.de/entity/Q389701,Anšan (mod. Tell Malyan),"Malyan, Fars | Anšan",286,Point(52.4123 30.0119),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099902,https://database.factgrid.de/entity/Q2099902,Alu-eššu,,287,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389934,https://database.factgrid.de/entity/Q389934,Šubat-Enlil (mod. Leilan),Tell Leilan | Šubat-Enlil,289,Point(41.5069 36.9579),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099995,https://database.factgrid.de/entity/Q2099995,Surru,,29,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389969,https://database.factgrid.de/entity/Q389969,Dur-Šarrukin (mod. Khorsabad),Dur-Sharrukin | Dur-Šarrukin,290,Point(43.2347 36.5035),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390036,https://database.factgrid.de/entity/Q390036,Kanesh (mod. Kültepe),Kültepe | Kanesh | Anisa | Kaneš | Aniša | Kaniš | Nēša | Nesha | Nessa | Nesa | Anisha,291,Point(35.6365 38.8517) | Point(35.633333333333 38.85),Q8 | Q389596 | Q1785688,ancient location and modern archaeological excavation site
Q390023,https://database.factgrid.de/entity/Q390023,Nahr el-Kelb,Nahr el-Kalb,292,Point(35.5966 33.9554),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389881,https://database.factgrid.de/entity/Q389881,Tell al-Hawa,,293,Point(42.3012 36.7482),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389926,https://database.factgrid.de/entity/Q389926,Tell Ghdairife,,295,Point(44.2649 34.1818),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390024,https://database.factgrid.de/entity/Q390024,Nereb (mod. Neirab),Nereb,296,Point(37.2265 36.1777),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389977,https://database.factgrid.de/entity/Q389977,Rabat Tepe,,297,Point(45.5397 36.201),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389844,https://database.factgrid.de/entity/Q389844,Tall Abū ‘Antīk,Pi-Kasî,298,Point(44.6393 32.1311),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389820,https://database.factgrid.de/entity/Q389820,Babylon,Bābīl | Amran,200 | 299,Point(44.4258 32.535),Q8 | Q389596 | Q997797,ancient location and modern archaeological excavation site
Q389791,https://database.factgrid.de/entity/Q389791,Mugdan,Mukdan | Umm al-Jir,3,Point(44.8501 32.6497),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389889,https://database.factgrid.de/entity/Q389889,Kahat (mod. Tell Barri),Tell Barri | Kahat,300,Point(41.127 36.7386),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389797,https://database.factgrid.de/entity/Q389797,Ishan Hafudh,Išān Hāfudh,301,Point(45.4207 31.9569),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390003,https://database.factgrid.de/entity/Q390003,Kilizu (mod. Qasr Shamamuk),Kilizu,302,Point(43.7514 36.1039),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389800,https://database.factgrid.de/entity/Q389800,Isin (mod. Bahriyat),Isin,303,Point(45.2688 31.8852),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389846,https://database.factgrid.de/entity/Q389846,Til Barsip (mod. Tell Ahmar),Til Barsip,304,Point(38.1209 36.6743),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389673,https://database.factgrid.de/entity/Q389673,Zippori,Sepphoris,307,Point(35.279 32.7529),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389984,https://database.factgrid.de/entity/Q389984,Saba'a,,308,Point(41.081 34.7579),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389722,https://database.factgrid.de/entity/Q389722,Shahr-i Sokhta,Shahr-e Sukhteh | Shahr-i Sūkhta,309,Point(61.328 30.5961),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099927,https://database.factgrid.de/entity/Q2099927,Bit-zerija,,31,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q390057,https://database.factgrid.de/entity/Q390057,Aşağı Yarımca,,310,Point(38.969 36.8949),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389676,https://database.factgrid.de/entity/Q389676,Tell en-Nasbeh,Tel en-Nasbeh,312,Point(35.2166 31.8851),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099977,https://database.factgrid.de/entity/Q2099977,Nar-Madanu,mod. Nar-Madanu,313,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389796,https://database.factgrid.de/entity/Q389796,Kisurra (mod. Abu Hatab),Kisurra,314,Point(45.481 31.8383),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099913,https://database.factgrid.de/entity/Q2099913,Baḫe,,316,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389892,https://database.factgrid.de/entity/Q389892,Tell Jidr,,318,Point(45.7032 31.8254),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389870,https://database.factgrid.de/entity/Q389870,Tell Fakhariyah,Tell Fekheriye | mod. Tell Fakhariyah,32,Point(40.0707 36.8424),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389873,https://database.factgrid.de/entity/Q389873,Kuara,Kuara (Sumer) | Tall al-Laḥam | Tel Laham,33 | 191,Point(45.4062 32.0509),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389915,https://database.factgrid.de/entity/Q389915,Tell Taban,,34,Point(40.7878 36.3362),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389789,https://database.factgrid.de/entity/Q389789,Ḫadatu (mod. Arslan Tash),Ḫadatu,35,Point(38.4078 36.8484),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389899,https://database.factgrid.de/entity/Q389899,Tell Hammam et-Turkman,Tel Hammam et-Turkman,36,Point(39.0569 36.4825),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389988,https://database.factgrid.de/entity/Q389988,Kian (Tell Shmid),,360,Point(45.8326 31.7477),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389777,https://database.factgrid.de/entity/Q389777,Kish (mod. Tell Barguthiat),Girumu,361,Point(44.7947 32.7029),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099893,https://database.factgrid.de/entity/Q2099893,Adabilu,,362,,Q389596 | Q8,
Q389630,https://database.factgrid.de/entity/Q389630,Asdūdu (mod. Ashdod),Asdûdu,364,Point(34.6593 31.756),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389864,https://database.factgrid.de/entity/Q389864,Burmarina (mod. Tell Shiukh Fawqani),Burmarina,365,Point(38.0359 36.7875),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099912,https://database.factgrid.de/entity/Q2099912,Bāb-ṣubbāti,,366,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099914,https://database.factgrid.de/entity/Q2099914,Bīt-Abī-rām,,367,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099915,https://database.factgrid.de/entity/Q2099915,Bīt-Bāba-ēriš,,368,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099917,https://database.factgrid.de/entity/Q2099917,Bīt-Dibušiti,,369,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099960,https://database.factgrid.de/entity/Q2099960,Kapru,,37,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099922,https://database.factgrid.de/entity/Q2099922,Bīt-Našar,,370,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099923,https://database.factgrid.de/entity/Q2099923,Bīt-Naʾinnašu,,371,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099919,https://database.factgrid.de/entity/Q2099919,Bīt-ham...,,372,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099925,https://database.factgrid.de/entity/Q2099925,Bīt-Šinqā,,373,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389604,https://database.factgrid.de/entity/Q389604,Kourion (mod. Cyprus),Kourion,375,Point(32.8844 34.6666),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389998,https://database.factgrid.de/entity/Q389998,"Dilmun (mod. A'ali, Bahrain)",Dilmun,376,Point(50.5256 26.1517),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390005,https://database.factgrid.de/entity/Q390005,Dilmun (mod. Qal'at al-Bahrain),Qal'at al-Bahrain | Dilmun,377,Point(50.5209 26.2328),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099931,https://database.factgrid.de/entity/Q2099931,Du-Enlila,,378,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099938,https://database.factgrid.de/entity/Q2099938,Ešura,,379,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389888,https://database.factgrid.de/entity/Q389888,Garšana (mod. uncertain),Garšana,38,Point(46.1189 31.4433),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389882,https://database.factgrid.de/entity/Q389882,Gišša (mod. Umm al-Aqarib),,101 | 381,Point(45.9339 31.6207),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389653,https://database.factgrid.de/entity/Q389653,Halicarnassus,Mausoleum at Halicarnassus | Halikarnassos | Halicarnassus,382,Point(27.4241 37.0379),Q8 | Q389596 | Q1342043,ancient location and modern archaeological excavation site
Q2099946,https://database.factgrid.de/entity/Q2099946,Hamat,,383,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q85914,https://database.factgrid.de/entity/Q85914,Hamath (mod. Hama),Hama | Hamath,384,Point(36.75 35.133333333) | Point(36.7479 35.131),Q8 | Q389596,"town in Syria, ancient location and modern archaeological excavation site"
Q2099948,https://database.factgrid.de/entity/Q2099948,Hazatu,,385,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099950,https://database.factgrid.de/entity/Q2099950,Himuru,,386,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389981,https://database.factgrid.de/entity/Q389981,Idu (mod. Hīt),Idu (city) | Idu,387,Point(44.6965 35.8739),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099963,https://database.factgrid.de/entity/Q2099963,Kašši...,,388,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389880,https://database.factgrid.de/entity/Q389880,Lagash (mod. El-Hiba),Lagash | Lagaš,39,Point(46.4108 31.4182),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389744,https://database.factgrid.de/entity/Q389744,Kišesim (mod. Najafabad),,392,Point(47.9761 34.6527),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099972,https://database.factgrid.de/entity/Q2099972,Ma'allanate,,393,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q390045,https://database.factgrid.de/entity/Q390045,Marqasu (mod. Kahramanmaraş),Marash | Marqasi | Kahramanmaraş,394,Point(36.9253 37.587),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390052,https://database.factgrid.de/entity/Q390052,Melidu (mod. Arslantepe),Melid | Arslantepe Höyüğü,395,Point(38.3612 38.382),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389842,https://database.factgrid.de/entity/Q389842,Pašime (mod. Tell Abu Sheeja),Pashime | Pašime,396,Point(47.1479 32.3944),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099983,https://database.factgrid.de/entity/Q2099983,Qāṭīnu,,397,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389651,https://database.factgrid.de/entity/Q389651,Samerina (mod. Samaria),Samaria (ancient city),398,Point(35.1897 32.2763),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389689,https://database.factgrid.de/entity/Q389689,Hissar,Tepe Hissar,4,Point(54.3851 36.1544),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389819,https://database.factgrid.de/entity/Q389819,Sirara (mod. Tell Zurghul),Nigin,40 | 399,Point(46.4948 31.3777),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389717,https://database.factgrid.de/entity/Q389717,Surkh Dum (mod. Luristan),,400,Point(47.7079 33.5064),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389912,https://database.factgrid.de/entity/Q389912,Susarra (mod. Tell Shemshara),Tell Shemshara | Šušarra,401,Point(44.9384 36.2016),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389952,https://database.factgrid.de/entity/Q389952,Tema (mod. Tayma),Tayma,402,Point(38.5499 27.6219),Q8 | Q389596,ancient location and modern archaeological excavation site
Q92481,https://database.factgrid.de/entity/Q92481,Thêbai (mod. Thebes Beoticia Greece),"Thebes, Greece",403,Point(23.3177 38.3207),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389640,https://database.factgrid.de/entity/Q389640,Timnah (mod. Khirbet Tibneh),Timnah,404,Point(34.911 31.7847),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389867,https://database.factgrid.de/entity/Q389867,Tunip (mod. Acharneh),Tunip,405,Point(36.3959 35.2877),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100037,https://database.factgrid.de/entity/Q2100037,Yāhūdu,,406,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099909,https://database.factgrid.de/entity/Q2099909,Aqabi,mod. Aqabi,407,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389826,https://database.factgrid.de/entity/Q389826,Brissa,,408,Point(36.3117 34.4309),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389609,https://database.factgrid.de/entity/Q389609,El-Khargeh,Temple of Hibis | Al-Kharjah,409,Point(30.5552 25.4764),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099940,https://database.factgrid.de/entity/Q2099940,GARIN-naḫallum,,41,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389985,https://database.factgrid.de/entity/Q389985,Failaka,,410,Point(48.2779 29.4303),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389650,https://database.factgrid.de/entity/Q389650,Gherla,,412,Point(23.8915 47.0195),Q8 | Q389596,"locality in Cluj County, Romania"
Q389620,https://database.factgrid.de/entity/Q389620,Kabret,,413,Point(32.4914 30.2285),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389731,https://database.factgrid.de/entity/Q389731,Kam-Firouz,Kamfiruz,414,Point(52.1962 30.3241),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389626,https://database.factgrid.de/entity/Q389626,"Kastri, Cythera","Kastri, Cythera",415,Point(22.9979 36.2584),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389734,https://database.factgrid.de/entity/Q389734,Konar Sandal,,416,Point(57.7787 28.4494),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389605,https://database.factgrid.de/entity/Q389605,Lacarna,Kition,417,Point(33.6329 34.9201),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099974,https://database.factgrid.de/entity/Q2099974,Mahmudiyah,mod. Mahmudiyah,418,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099975,https://database.factgrid.de/entity/Q2099975,Merj Khamis,mod. Merj Khamis,419,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389953,https://database.factgrid.de/entity/Q389953,Jebel Aruda,,42,Point(38.0984 36.2349),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389737,https://database.factgrid.de/entity/Q389737,mod. Mount Elvend,Ganjnameh | mod. Mount Elvend,420,Point(48.4373 34.7622),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389745,https://database.factgrid.de/entity/Q389745,Naqish-e Rostam,"Kastri, Cythera | Naqsh Rustam | Naqš-i-Rustam",422,Point(52.8745 29.9885),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389812,https://database.factgrid.de/entity/Q389812,Sela,,424,Point(35.5779 30.7823),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389989,https://database.factgrid.de/entity/Q389989,Shir as-Sanam,,425,Point(36.2443 34.498),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389621,https://database.factgrid.de/entity/Q389621,Suez,Kubri,427,Point(32.5527 30.113),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389773,https://database.factgrid.de/entity/Q389773,Tall al-Farḥa,Ḫabuba,428,Point(43.4612 35.2652),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389703,https://database.factgrid.de/entity/Q389703,Tangivar,Tang-i Var | Tankīwar,429,Point(46.6182 34.9961),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389887,https://database.factgrid.de/entity/Q389887,Tell Baradan,,431,Point(45.0512 34.191),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389904,https://database.factgrid.de/entity/Q389904,Tell Subeidi,,433,Point(45.0312 34.1982),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389907,https://database.factgrid.de/entity/Q389907,Tall Soukās,,434,Point(35.9229 35.306),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389678,https://database.factgrid.de/entity/Q389678,Tell Taanach,Ti'inik,435,Point(35.2195 32.5216),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389946,https://database.factgrid.de/entity/Q389946,Tell Yelkhi,,436,Point(45.0013 34.2856),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389645,https://database.factgrid.de/entity/Q389645,Tell el-Hesi,Tel el-Hesi,437,Point(34.7307 31.5474),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389613,https://database.factgrid.de/entity/Q389613,Tell el-Maskuta,,438,Point(32.1002 30.5539),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389670,https://database.factgrid.de/entity/Q389670,Habuba Kabira,Ḥabūbah,44,Point(38.0609 36.1501),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390041,https://database.factgrid.de/entity/Q390041,Tilmen Höyük,,440,Point(36.7037 37.0302),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390048,https://database.factgrid.de/entity/Q390048,Turlu Höyük,Şehzade Höyük,441,Point(37.7581 37.0676),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100035,https://database.factgrid.de/entity/Q2100035,Uluburun,mod. Uluburun,442,Point(30.42547561111111 36.25024769444445),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389806,https://database.factgrid.de/entity/Q389806,al Ḥā'iṭ,Padakku,112 | 443,Point(40.4668 25.9786),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389990,https://database.factgrid.de/entity/Q389990,Shishin,Šišin,444,Point(42.574 33.9716),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099899,https://database.factgrid.de/entity/Q2099899,Āl-šarri,,445,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099900,https://database.factgrid.de/entity/Q2099900,Āl-šarri-ša-qašti-eššeti,,446,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099903,https://database.factgrid.de/entity/Q2099903,Ālu-ša-Našar,,447,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099905,https://database.factgrid.de/entity/Q2099905,Ālu-ša-Ṭūb-Yāma,,448,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099932,https://database.factgrid.de/entity/Q2099932,Dusabar,,45,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389677,https://database.factgrid.de/entity/Q389677,Hazor,Tel Hazor,46,Point(35.5654 33.0209),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389955,https://database.factgrid.de/entity/Q389955,Gubla (mod. Byblos),Byblos | Gubla,47,Point(35.646 34.1191),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390161,https://database.factgrid.de/entity/Q390161,Irisagrig,Iri-sagrig,48,Point(45.3689 32.1529),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390037,https://database.factgrid.de/entity/Q390037,Tappika,Maşat Höyük | Tapigga | Masat Höyük,5,Point(35.7624 40.1481),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100023,https://database.factgrid.de/entity/Q2100023,Tigunānum,,51,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389804,https://database.factgrid.de/entity/Q389804,Šibaniba (mod. Tell Billa),Shibaniba | Šibaniba,176 | 526,Point(43.3481 36.4335),Q8 | Q389596,ancient location and modern archaeological excavation site
Q86331,https://database.factgrid.de/entity/Q86331,Hillah,Al-Ḥilah | Hillah,53,Point(44.4333 32.4833) | Point(44.4361 32.4844),Q8 | Q389596,city in Iraq and ancient location and modern archaeological excavation site
Q389927,https://database.factgrid.de/entity/Q389927,Šuruppak (mod. Fara),Shuruppak | Šuruppak,54,Point(45.5113 31.7772),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389795,https://database.factgrid.de/entity/Q389795,Upi (mod. Opis),Opis | Upi,55,Point(44.7014 33.1844),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099895,https://database.factgrid.de/entity/Q2099895,Agamatanu,,56,,Q389596 | Q8,
Q2099908,https://database.factgrid.de/entity/Q2099908,Aqa,,57,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389979,https://database.factgrid.de/entity/Q389979,Zalil Ab,Kermanshah | Zalu Ab | mod. Zalil Ab,58,Point(46.5799 34.6309),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389787,https://database.factgrid.de/entity/Q389787,Eridu (mod. Abu Shahrain),Eridu,59,Point(45.9962 30.8169),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389978,https://database.factgrid.de/entity/Q389978,el-Ghab,,60,Point(36.3562 35.5872),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099984,https://database.factgrid.de/entity/Q2099984,Qatuna,,61,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099965,https://database.factgrid.de/entity/Q2099965,Kerman,Šahdad | mod. Kerman,614,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099998,https://database.factgrid.de/entity/Q2099998,Tag,mod. Tag,617,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q390107,https://database.factgrid.de/entity/Q390107,Mila Mergi,,62,Point(42.9136 37.006),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099978,https://database.factgrid.de/entity/Q2099978,Naṣir,,63,,Q389596 | Q8,ancient location and modern archaeological excavation site with artifacts from the Neo-Babylonian period (ca. 626-539 BC)
Q2100004,https://database.factgrid.de/entity/Q2100004,Tall al-Qaddīsah Barbārah,Kar-Mullissi | mod. Tall al-Qaddīsah Barbārah,634,Point(43.4095 36.3056),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100021,https://database.factgrid.de/entity/Q2100021,Tell Khaiber,mod. Tell Khaiber,635,Point(45.9328 31.0593),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100039,https://database.factgrid.de/entity/Q2100039,Yanik Tepe,mod. Yanik Tepe,638,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q390165,https://database.factgrid.de/entity/Q390165,Ozbaki,,64,Point(50.5866 35.9799),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100020,https://database.factgrid.de/entity/Q2100020,Tell Kar,mod. Tell Kar,641,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099996,https://database.factgrid.de/entity/Q2099996,Šūru,,644,,Q389596 | Q8,ancient location and modern archaeological excavation site with artifacts from the Middle Assyrian period (ca. 1400-1000 BC)
Q2100016,https://database.factgrid.de/entity/Q2100016,Tell Abu Galgal,mod. Tell Abu Galgal,645,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099896,https://database.factgrid.de/entity/Q2099896,Tripoli,mod. Al Mina,647,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100012,https://database.factgrid.de/entity/Q2100012,Tall-I Nokhodi,mod. Tall-I Nokhodi,649,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389733,https://database.factgrid.de/entity/Q389733,Cave Kalm-karra,,65,Point(47.601 33.1998),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100018,https://database.factgrid.de/entity/Q2100018,Tell Bāshir,Turbessel | mod. Tell Bāshir,650,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099929,https://database.factgrid.de/entity/Q2099929,Chenar-e Pain,mod. Chenar-e Pain,653,Point(47.6047 33.5067),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099952,https://database.factgrid.de/entity/Q2099952,Hour Soleiman,mod. Hour Soleiman,654,Point(47.6173 33.503),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099930,https://database.factgrid.de/entity/Q2099930,Chia Puikeh,mod. Chia Puikeh,655,Point(47.618 33.4981),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099999,https://database.factgrid.de/entity/Q2099999,Tall Abū al-Dhahab,mod. Tall Abū al-Dhahab,658,Point(46.6926 30.7382),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099894,https://database.factgrid.de/entity/Q2099894,Adilcevaz,mod. Adilcevaz,659,Point(42.7291 38.8014),Q389596 | Q8,
Q390084,https://database.factgrid.de/entity/Q390084,Kebeli,Babil,66,Point(42.0279 37.1876),Q8 | Q389596,ancient location and modern archaeological excavation site
