,P771,Len,Aen,FG_qid,P694,P48
FG_Qid,Wikidata_qid,transciption_name,cdli_legacy_'Len',ancientplace,id_text2,coord
Q389875,Q1372270,Bad-tibira,Bad-Tibira (mod. Tell Medinah),https://database.factgrid.de/entity/Q389875,133,Point(46.004 31.3832)
Q390041,Q1379828,Tilmen Höyük,uncertain (mod. Tilmen Höyük),https://database.factgrid.de/entity/Q390041,440,Point(36.7037 37.0302)
Q389974,Q1438447,Ras Ibn Hānī,uncertain (mod. Ibn Hani),https://database.factgrid.de/entity/Q389974,94,Point(35.7348 35.587)
Q389656,Q14751553,İnandıktepe,,https://database.factgrid.de/entity/Q389656,,Point(33.5352 40.381)
Q390128,Q1521344,Toprakkale,"Toprakkale, Eastern Anatolia",https://database.factgrid.de/entity/Q390128,218,Point(43.4064 38.5102)
Q390046,Q1528589,Oylum Höyük,,https://database.factgrid.de/entity/Q390046,,Point(37.1786 36.6988)
Q389670,Q1567031,Habuba Kabira,uncertain (mod. Habuba Kabira),https://database.factgrid.de/entity/Q389670,44,Point(38.0609 36.1501)
Q389606,Q1570185,Hala Sultan Tekes,,https://database.factgrid.de/entity/Q389606,,Point(33.6059 34.8856)
Q389835,Q1581555,Tapah Sīyalk,uncertain (mod. Tepe Sialk),https://database.factgrid.de/entity/Q389835,74,Point(51.4042 33.9688)
Q389981,Q15876602,Idu,Idu (mod. Hīt),https://database.factgrid.de/entity/Q389981,387,Point(44.6965 35.8739)
Q91761,Q163490,Ṣaiydā,uncertain (mod. Sidon) ?,https://database.factgrid.de/entity/Q91761,144,Point(35.3981 33.5606)
Q91761,Q163490,Ṣaiydā,uncertain (mod. Sidon) ?,https://database.factgrid.de/entity/Q91761,144,Point(35.3697 33.5625)
Q389891,Q1658146,Tell Beydar,uncertain (mod. Beydar),https://database.factgrid.de/entity/Q389891,260,Point(40.5872 36.7381)
Q389948,Q165841,Kar-Tukulti-Ninurta,Kar-Tukulti-Ninurta (mod. Tulul al-ʿAqir),https://database.factgrid.de/entity/Q389948,234,Point(43.2793 35.4944)
Q389827,Q1659846,Balawat,Imgur-Enlil (mod. Balawat),https://database.factgrid.de/entity/Q389827,275,Point(43.4033 36.2294)
Q389993,Q167993,Ṭabaqat Faḥl,,https://database.factgrid.de/entity/Q389993,,Point(35.613 32.4501)
Q390030,Q168518,Warkāʼ,Uruk (mod. Warka),https://database.factgrid.de/entity/Q390030,105,Point(45.6395 31.3234)
Q389862,Q1693787,Tell Chuera,Ḫarbe (mod. Tell Chuera),https://database.factgrid.de/entity/Q389862,204,Point(39.4981 36.6469)
Q91165,Q170047,Sāmmarā,uncertain (mod. Samarra) ?,https://database.factgrid.de/entity/Q91165,282,Point(43.8795 34.2291)
Q91165,Q170047,Sāmmarā,uncertain (mod. Samarra) ?,https://database.factgrid.de/entity/Q91165,282,Point(43.8667 34.2)
