Unnamed: 0,P771,Len,Aen,FG_qid,P694,P48,FG_qid_url,P2,description_en,source_file
Q389794,Q7881676,Umm al-Marra,,https://database.factgrid.de/entity/Q389794,,Point(37.6936 36.134),,,,
Q390060,Q8195601,Harput,,https://database.factgrid.de/entity/Q390060,,Point(39.2573 38.7037),,,,
Q389991,Q82070,Ṣūr,,https://database.factgrid.de/entity/Q389991,,Point(35.1943 33.2706),,,,
Q83154,Q83531,Bitlis,,https://database.factgrid.de/entity/Q83154,,Point(42.1071 38.4013),,,,
Q389666,Q841207,Heraion of Samos,,https://database.factgrid.de/entity/Q389666,,Point(26.886 37.6721),,,,
Q390102,Q9148422,Aznavurtepe,,https://database.factgrid.de/entity/Q390102,,Point(42.8337 39.2502),,,,
Q90458,Q935454,Qift,,https://database.factgrid.de/entity/Q90458,,Point(32.816666666 26.0),,,,
Q389619,Q937930,Pi-Ramesses,,https://database.factgrid.de/entity/Q389619,,Point(31.8345 30.8017),,,,
Q389617,Q951439,Faqous,"uncertain (mod. Faqous, Egypt)",https://database.factgrid.de/entity/Q389617,,Point(31.7964 30.7276),,,,
Q389893,,Tall Jūkha,,https://database.factgrid.de/entity/Q389893,,Point(43.6918 33.3424),,,,
Q390138,,Aliler,,https://database.factgrid.de/entity/Q390138,,Point(43.4868 38.8548),,,,
Q390140,,Değirmenköy,,https://database.factgrid.de/entity/Q390140,,Point(43.5152 38.5131),,,,
Q390170,,Acemhöyük,,https://database.factgrid.de/entity/Q390170,,Point(33.8347 38.4117),,,,
Q390120,,Hazine Piri Kapısı,,https://database.factgrid.de/entity/Q390120,,Point(43.3045 38.4069),,,,
Q390153,,Başkale,,https://database.factgrid.de/entity/Q390153,,Point(44.0171 38.0448),,,,
Q390135,,Aşağı Anzaf,,https://database.factgrid.de/entity/Q390135,,Point(43.4643 38.5678),,,,
Q390166,,Novy Kumak,,https://database.factgrid.de/entity/Q390166,,Point(58.6555 51.2297),,,,
Q390158,,Başbulak,,https://database.factgrid.de/entity/Q390158,,Point(44.2549 39.9374),,,,
Q390156,,Metsamor,,https://database.factgrid.de/entity/Q390156,,Point(44.1869 40.1264),,,,
Q390147,,Kaisaran,,https://database.factgrid.de/entity/Q390147,,Point(43.6446 38.466),,,,
Q390162,,Ojasar-Ilandağ,,https://database.factgrid.de/entity/Q390162,,Point(45.6251 39.137),,,,
Q390150,,Köşk,,https://database.factgrid.de/entity/Q390150,,Point(43.7223 38.9322),,,,
Q390131,,Sihke,,https://database.factgrid.de/entity/Q390131,,Point(43.4354 38.5072),,,,
Q390111,,Metsopay-Vank,,https://database.factgrid.de/entity/Q390111,,Point(43.0397 39.1679),,,,
Q390146,,Keçikıran,,https://database.factgrid.de/entity/Q390146,,Point(43.6345 38.9714),,,,
Q390132,,Kevenli,,https://database.factgrid.de/entity/Q390132,,Point(43.4475 38.4746),,,,
Q390151,,Körzüt,,https://database.factgrid.de/entity/Q390151,,Point(43.735 38.8877),,,,
Q390117,,Edremit,,https://database.factgrid.de/entity/Q390117,,Point(43.2411 38.4182),,,,
Q390119,,Taşköprü,,https://database.factgrid.de/entity/Q390119,,Point(43.2489 40.9553),,,,
Q390116,,Kadembas,,https://database.factgrid.de/entity/Q390116,,Point(43.2312 38.4084),,,,
Q390127,,Karataş,,https://database.factgrid.de/entity/Q390127,,Point(43.3963 39.0109),,,,
Q390129,,Kasımoğlu,,https://database.factgrid.de/entity/Q390129,,Point(43.415 38.6846),,,,
Q390133,,Bakraçlı,,https://database.factgrid.de/entity/Q390133,,Point(43.4612 38.4491),,,,
Q390118,,Ererin,,https://database.factgrid.de/entity/Q390118,,Point(43.2462 38.7579),,,,
Q390123,,Kalecik,,https://database.factgrid.de/entity/Q390123,,Point(43.3377 38.5459),,,,
Q390112,,Ortadamla,,https://database.factgrid.de/entity/Q390112,,Point(43.0496 39.2058),,,,
Q390139,,Sarmaç,,https://database.factgrid.de/entity/Q390139,,Point(43.496 38.4984),,,,
Q390155,,Kazancı,,https://database.factgrid.de/entity/Q390155,,Point(44.0255 40.0064),,,,
Q390141,,Topraklı,,https://database.factgrid.de/entity/Q390141,,Point(43.5283 39.0462),,,,
Q390115,,Güganis,,https://database.factgrid.de/entity/Q390115,,Point(43.22 38.3347),,,,
Q390136,,Dereüstü,,https://database.factgrid.de/entity/Q390136,,Point(43.47 38.5563),,,,
Q390164,,Xocali,,https://database.factgrid.de/entity/Q390164,,Point(46.8015 39.906),,,,
Q390122,,Çelebibağı,,https://database.factgrid.de/entity/Q390122,,Point(43.3127 38.9839),,,,
Q390109,,Kamışvan,,https://database.factgrid.de/entity/Q390109,,Point(42.9701 39.2345),,,,
Q390143,,Beşçatak,,https://database.factgrid.de/entity/Q390143,,Point(43.5635 38.5159),,,,
Q390126,,Meher Kapısı,,https://database.factgrid.de/entity/Q390126,,Point(43.3875 38.5182),,,,
Q390154,,Yeşilağaç,,https://database.factgrid.de/entity/Q390154,,Point(44.0205 38.4386),,,,
Q390130,,Salmanağa,,https://database.factgrid.de/entity/Q390130,,Point(43.4345 39.0482),,,,
Q390137,,Yukarı Anzaf,,https://database.factgrid.de/entity/Q390137,,Point(43.4703 38.5597),,,,
Q390149,,Karahan,,https://database.factgrid.de/entity/Q390149,,Point(43.6607 38.9493),,,,
Q390157,,Taşburun,,https://database.factgrid.de/entity/Q390157,,Point(44.246 39.9799),,,,
Q390145,,Gövelek,,https://database.factgrid.de/entity/Q390145,,Point(43.622 38.5323),,,,
Q390148,,Karagündüz,,https://database.factgrid.de/entity/Q390148,,Point(43.6459 38.6955),,,,
Q390160,,Qalatgah,,https://database.factgrid.de/entity/Q390160,,Point(45.2208 37.0353),,,,
Q389706,,Chughā Sabz,,https://database.factgrid.de/entity/Q389706,,Point(47.3953 33.3179),,,,
Q389772,,Tall al-‘Agāmiyya,,https://database.factgrid.de/entity/Q389772,,Point(43.4304 35.2249),,,,
Q389762,,Noragavid,,https://database.factgrid.de/entity/Q389762,,Point(44.4743 40.1198),,,,
Q389759,,Haykavan,,https://database.factgrid.de/entity/Q389759,,Point(44.0462 40.091),,,,
Q389757,,Tsovak,,https://database.factgrid.de/entity/Q389757,,Point(45.6391 40.1823),,,,
Q389746,,Karakala,,https://database.factgrid.de/entity/Q389746,,Point(43.8488 40.0487),,,,
Q389779,,Qalat-i Dinka,,https://database.factgrid.de/entity/Q389779,,Point(45.1328 36.1367),,,,
Q389761,,Nalbandyan,,https://database.factgrid.de/entity/Q389761,,Point(43.9873 40.0628),,,,
Q389712,,Chaman-e-Hozori,,https://database.factgrid.de/entity/Q389712,,Point(69.1954 34.5153),,,,
Q389774,,Kawala Kandal,,https://database.factgrid.de/entity/Q389774,,Point(43.6532 35.8079),,,,
Q389766,,Vardatsor,,https://database.factgrid.de/entity/Q389766,,Point(45.193 40.1888),,,,
Q389776,,Mukhattat,,https://database.factgrid.de/entity/Q389776,,Point(44.4962 32.337),,,,
Q389729,,Qa`la Bast,,https://database.factgrid.de/entity/Q389729,,Point(64.3566 31.5081),,,,
Q389699,,Tall Afghanī,,https://database.factgrid.de/entity/Q389699,,Point(51.1321 31.4883),,,,
Q389719,,Siyah Chas̱mah,,https://database.factgrid.de/entity/Q389719,,Point(44.3867 39.0659),,,,
Q389728,,Qal‘ah Imam,,https://database.factgrid.de/entity/Q389728,,Point(46.1798 35.488),,,,
Q389778,,Dugirdkhan,,https://database.factgrid.de/entity/Q389778,,Point(44.8475 36.1549),,,,
Q389753,,Zvartʻnotsʻ,,https://database.factgrid.de/entity/Q389753,,Point(44.3366 40.1596),,,,
Q389726,,‘Ayn-i Rūm,,https://database.factgrid.de/entity/Q389726,,Point(45.132 37.1837),,,,
Q389769,,Tall al-Raqa‘i,,https://database.factgrid.de/entity/Q389769,,Point(40.8521 36.44),,,,
Q389781,,Tall al-Disim,,https://database.factgrid.de/entity/Q389781,,Point(45.3929 32.1415),,,,
Q389742,,Maḥmūd Ābād,,https://database.factgrid.de/entity/Q389742,,Point(45.1294 37.3669),,,,
Q389705,,Jawānqal‘h,,https://database.factgrid.de/entity/Q389705,,Point(45.9564 37.4913),,,,
Q389739,,Lamā,,https://database.factgrid.de/entity/Q389739,,Point(51.2172 31.0449),,,,
Q389755,,Tʻanahat,,https://database.factgrid.de/entity/Q389755,,Point(45.925 39.4156),,,,
Q389714,,Rāzlīq,,https://database.factgrid.de/entity/Q389714,,Point(47.5496 38.0066),,,,
Q389784,,Suhairy,,https://database.factgrid.de/entity/Q389784,,Point(45.5881 31.4729),,,,
Q389793,,Umm al-Ḥafryāt,,https://database.factgrid.de/entity/Q389793,,Point(45.4915 31.6426),,,,
Q389760,,Marmachyn,,https://database.factgrid.de/entity/Q389760,,Point(43.7525 40.8514),,,,
Q389786,,Tell Ba'arura Shargi,,https://database.factgrid.de/entity/Q389786,,Point(46.1685 30.9786),,,,
Q389749,,Aruch,,https://database.factgrid.de/entity/Q389749,,Point(44.0784 40.2865),,,,
Q389707,,Chugha Pahn,,https://database.factgrid.de/entity/Q389707,,Point(48.4862 32.1851),,,,
Q389730,,Qandahār,,https://database.factgrid.de/entity/Q389730,,Point(65.6588 31.6025),,,,
Q389724,,S̱īs̱ah,,https://database.factgrid.de/entity/Q389724,,Point(47.3662 38.6075),,,,
Q389763,,Janfida,,https://database.factgrid.de/entity/Q389763,,Point(44.0276 40.0419),,,,
Q389735,,Kuhanak,,https://database.factgrid.de/entity/Q389735,,Point(48.6185 32.2683),,,,
Q389736,,Kūlfaraḥ,,https://database.factgrid.de/entity/Q389736,,Point(49.9286 31.8706),,,,
Q389782,,Unknown,,https://database.factgrid.de/entity/Q389782,,Point(45.3936 32.149),,,,
Q389765,,Spandaryan,,https://database.factgrid.de/entity/Q389765,,Point(44.0205 40.6679),,,,
Q389743,,Mawānā,,https://database.factgrid.de/entity/Q389743,,Point(44.7952 37.5734),,,,
Q389740,,Mārlīk,,https://database.factgrid.de/entity/Q389740,,Point(49.5019 36.8528),,,,
Q389764,,Sardarapat,,https://database.factgrid.de/entity/Q389764,,Point(44.0187 40.136),,,,
Q389771,,Tall Hanas,,https://database.factgrid.de/entity/Q389771,,Point(43.2896 35.4368),,,,
Q389741,,Māhān,,https://database.factgrid.de/entity/Q389741,,Point(57.29 30.0598),,,,
Q389783,,Tulūl al-Hummar,,https://database.factgrid.de/entity/Q389783,,Point(45.4998 31.6166),,,,
Q389780,,Ṭulūl al-Ḥumr,,https://database.factgrid.de/entity/Q389780,,Point(45.2872 31.8567),,,,
Q389788,,Abū Dhuba‘,,https://database.factgrid.de/entity/Q389788,,Point(45.6225 31.6772),,,,
Q389750,,Bambakajat,,https://database.factgrid.de/entity/Q389750,,Point(44.0183 40.1029),,,,
Q389754,,Elar,,https://database.factgrid.de/entity/Q389754,,Point(44.6168 40.2681),,,,
Q389715,,Ẕiwyah,,https://database.factgrid.de/entity/Q389715,,Point(46.6879 36.2739),,,,
Q389756,,Lchajen,,https://database.factgrid.de/entity/Q389756,,Point(44.9418 40.5074),,,,
Q389702,,Tall-i Spīd,,https://database.factgrid.de/entity/Q389702,,Point(51.4845 30.2519),,,,
Q389720,,Shiqāft-i Gulgul,,https://database.factgrid.de/entity/Q389720,,Point(46.4843 33.4675),,,,
Q389704,,Tūl-i Gīlān,,https://database.factgrid.de/entity/Q389704,,Point(48.6069 37.7352),,,,
Q389718,,Saqandal,,https://database.factgrid.de/entity/Q389718,,Point(46.7375 38.5041),,,,
Q389785,,Dibbin,,https://database.factgrid.de/entity/Q389785,,Point(45.6611 31.8977),,,,
Q389725,,Ṭashtepe,,https://database.factgrid.de/entity/Q389725,,Point(45.5666 37.0499),,,,
Q389751,,Garni,,https://database.factgrid.de/entity/Q389751,,Point(44.7299 40.1124),,,,
Q389711,,Chughā Gāwānah,,https://database.factgrid.de/entity/Q389711,,Point(46.5286 34.1101),,,,
Q389872,,Tall al-Qiṭar,,https://database.factgrid.de/entity/Q389872,,Point(38.1803 36.3837),,,,
Q389636,,Mikhmoret,,https://database.factgrid.de/entity/Q389636,,Point(34.8659 32.4013),,,,
Q389680,,Gird-i Rustam,,https://database.factgrid.de/entity/Q389680,,Point(45.9157 35.7528),,,,
Q389919,,Tall ‘Atij,,https://database.factgrid.de/entity/Q389919,,Point(40.8644 36.4303),,,,
Q389999,,‘Ammān,,https://database.factgrid.de/entity/Q389999,,Point(36.0202 31.7219),,,,
Q389906,,Tall Saka,,https://database.factgrid.de/entity/Q389906,,Point(36.4682 33.4402),,,,
Q389959,,Jamjamāl,,https://database.factgrid.de/entity/Q389959,,Point(44.835 35.5367),,,,
Q389997,,Ṭawīlān,,https://database.factgrid.de/entity/Q389997,,Point(35.4848 30.3313),,,,
Q389930,,Tall Qabr Abu al-’Atīq,,https://database.factgrid.de/entity/Q389930,,Point(39.7854 35.763),,,,
Q389995,,Ṭūbzāwah,,https://database.factgrid.de/entity/Q389995,,Point(44.6979 36.8079),,,,
Q389937,,Tall Muḥamad ‘Arab,,https://database.factgrid.de/entity/Q389937,,Point(42.8893 36.6346),,,,
Q389962,,Ḥabl al-Ṣakhar,,https://database.factgrid.de/entity/Q389962,,Point(44.2698 33.1216),,,,
Q389939,,Tall Marwāny,,https://database.factgrid.de/entity/Q389939,,Point(40.6627 34.8669),,,,
Q389964,,Ḥammām,,https://database.factgrid.de/entity/Q389964,,Point(38.1781 36.6413),,,,
Q389902,,Tall Khaibar,,https://database.factgrid.de/entity/Q389902,,Point(45.9328 31.0593),,,,
Q390002,,Qarah Jatān,,https://database.factgrid.de/entity/Q390002,,Point(45.1914 35.7417),,,,
Q389929,,Tall Faqūs,,https://database.factgrid.de/entity/Q389929,,Point(38.2052 35.9372),,,,
Q389936,,Tell Muhamad Diyab,,https://database.factgrid.de/entity/Q389936,,Point(41.5642 36.9243),,,,
Q389976,,Rās al-Maṭbakh,,https://database.factgrid.de/entity/Q389976,,Point(51.569 25.6912),,,,
Q389933,,Tall Karay Qāsim,,https://database.factgrid.de/entity/Q389933,,Point(42.9257 36.6789),,,,
Q389965,,Khārk,,https://database.factgrid.de/entity/Q389965,,Point(50.3091 29.2493),,,,
Q389982,,Sārabtā,,https://database.factgrid.de/entity/Q389982,,Point(35.295 33.4643),,,,
Q389909,,Tall Sītak,,https://database.factgrid.de/entity/Q389909,,Point(45.5027 35.6419),,,,
Q389951,,Tulūl Khaṭāb,,https://database.factgrid.de/entity/Q389951,,Point(44.5136 33.4767),,,,
Q389913,,Tall Ṣabī Ābiyaḍ,,https://database.factgrid.de/entity/Q389913,,Point(39.0915 36.5057),,,,
Q389943,,Tall Mīthlay,,https://database.factgrid.de/entity/Q389943,,Point(42.1377 36.7586),,,,
Q389928,,Tall Fisnah,,https://database.factgrid.de/entity/Q389928,,Point(42.8899 36.7079),,,,
Q389908,,Tall Siānū,,https://database.factgrid.de/entity/Q389908,,Point(36.0028 35.3653),,,,
Q390006,,Qal‘at ‘Awaynah,,https://database.factgrid.de/entity/Q390006,,Point(43.7195 36.0754),,,,
Q389802,,Ishān al-Sama‘a,uncertain (mod. Tell Sukas),https://database.factgrid.de/entity/Q389802,,Point(45.4193 32.0725),,,,
Q389865,,Tall al-Ṭāya,,https://database.factgrid.de/entity/Q389865,,Point(42.4933 36.3324),,,,
Q389805,,Al-Bilad al-Qadim,,https://database.factgrid.de/entity/Q389805,,Point(50.5371 26.2184),,,,
Q389813,,Al-Sayāl,,https://database.factgrid.de/entity/Q389813,,Point(40.9096 34.597),,,,
Q389851,,Tul-i Ājuri,,https://database.factgrid.de/entity/Q389851,,Point(52.8549 29.9364),,,,
Q389847,,Tall Imlīḥiyah,,https://database.factgrid.de/entity/Q389847,,Point(45.0031 34.1961),,,,
Q389879,,Tall al-Hādī,,https://database.factgrid.de/entity/Q389879,,Point(41.865 36.8707),,,,
Q389817,,Al-Maqsha,,https://database.factgrid.de/entity/Q389817,,Point(50.5112 26.2198),,,,
Q389807,,Al-Ḥajar,,https://database.factgrid.de/entity/Q389807,,Point(50.5137 26.2151),,,,
Q389811,,Al-Rajībah,,https://database.factgrid.de/entity/Q389811,,Point(45.969 30.9047),,,,
Q389838,,Tarjān,,https://database.factgrid.de/entity/Q389838,,Point(43.7581 36.1224),,,,
Q389818,,Ishan Abū Kumbārah,,https://database.factgrid.de/entity/Q389818,,Point(46.1954 31.0535),,,,
Q389883,,Tall Bāz Musiyān,,https://database.factgrid.de/entity/Q389883,,Point(44.9243 36.1614),,,,
Q389809,,Al-Khiḍr,,https://database.factgrid.de/entity/Q389809,,Point(48.288 29.4657),,,,
Q389828,,Banat al-Hassan,,https://database.factgrid.de/entity/Q389828,,Point(45.5218 31.5757),,,,
Q389890,,Tell Baqaq,,https://database.factgrid.de/entity/Q389890,,Point(42.9369 36.6888),,,,
Q390103,,Yalçınkaya,,https://database.factgrid.de/entity/Q390103,,Point(42.8485 39.1768),,,,
Q390106,,Hasbey,,https://database.factgrid.de/entity/Q390106,,Point(42.892 38.3427),,,,
Q390108,,Muhrapert,,https://database.factgrid.de/entity/Q390108,,Point(42.9157 38.3461),,,,
Q390105,,Ortakent,,https://database.factgrid.de/entity/Q390105,,Point(42.8815 41.2235),,,,
Q389628,,Shephela,,https://database.factgrid.de/entity/Q389628,,Point(34.8685 31.6283),,,,
Q389665,,Kuşsaray,,https://database.factgrid.de/entity/Q389665,,Point(35.1097 40.6061),,,,
Q389679,,Mergeh Karvan,,https://database.factgrid.de/entity/Q389679,,Point(44.9669 36.9425),,,,
Q389652,,Tel Rumeida,,https://database.factgrid.de/entity/Q389652,,Point(35.1023 31.5245),,,,
Q389675,,Tabor,,https://database.factgrid.de/entity/Q389675,,Point(35.4147 32.6714),,,,
Q389643,,Tel Jemmeh,,https://database.factgrid.de/entity/Q389643,,Point(34.445 31.3872),,,,
Q389629,,Khirbet Kusiya,,https://database.factgrid.de/entity/Q389629,,Point(35.0062 32.4242),,,,
Q389667,,Rutschi Tig,,https://database.factgrid.de/entity/Q389667,,Point(43.7555 42.9889),,,,
Q389646,,Tel Keisan,,https://database.factgrid.de/entity/Q389646,,Point(35.1508 32.873),,,,
Q389671,,Yrṿshlym,,https://database.factgrid.de/entity/Q389671,,Point(35.2358 31.7777),,,,
Q389690,,Tapah Khībr,,https://database.factgrid.de/entity/Q389690,,Point(46.6409 34.5441),,,,
Q389669,,Beit She'an,,https://database.factgrid.de/entity/Q389669,,Point(35.503 32.5046),,,,
Q389644,,Tel Hadid,,https://database.factgrid.de/entity/Q389644,,Point(34.9517 31.9635),,,,
Q389642,,Tel Bet Shemesh,,https://database.factgrid.de/entity/Q389642,,Point(34.9748 31.7506),,,,
Q389684,,Ishkaft Salmān,,https://database.factgrid.de/entity/Q389684,,Point(49.8476 31.8165),,,,
Q389663,,Taşlik Höyük,,https://database.factgrid.de/entity/Q389663,,Point(35.0269 39.8017),,,,
Q389614,,Sarābīūm,,https://database.factgrid.de/entity/Q389614,,Point(32.326 30.4677),,,,
Q389623,,Iraklio,,https://database.factgrid.de/entity/Q389623,,Point(25.1332 35.3402),,,,
Q389674,,Tall Balāṭah,,https://database.factgrid.de/entity/Q389674,,Point(35.2827 32.2135),,,,
Q389661,,Yassi Höyük,,https://database.factgrid.de/entity/Q389661,,Point(34.8825 39.9931),,,,
Q389633,,Gezer,,https://database.factgrid.de/entity/Q389633,,Point(34.921 31.8596),,,,
Q389672,,Jericho,,https://database.factgrid.de/entity/Q389672,,Point(35.4441 31.871),,,,
Q389655,,Büklükale,,https://database.factgrid.de/entity/Q389655,,Point(33.4283 39.5832),,,,
Q389685,,Bastam,,https://database.factgrid.de/entity/Q389685,,Point(44.9473 38.8859),,,,
Q389682,,Tepe Horreeye,,https://database.factgrid.de/entity/Q389682,,Point(48.5022 32.0313),,,,
Q389639,,Tel Be'er Sheva,,https://database.factgrid.de/entity/Q389639,,Point(34.8406 31.2449),,,,
Q389634,,Wingate,,https://database.factgrid.de/entity/Q389634,,Point(34.8349 32.2616),,,,
Q389681,,Nashteban,,https://database.factgrid.de/entity/Q389681,,Point(47.8013 38.0076),,,,
Q389664,,Ushaklı Höyük,,https://database.factgrid.de/entity/Q389664,,Point(35.0525 39.813),,,,
Q389641,,Tel Beth Mirsim,,https://database.factgrid.de/entity/Q389641,,Point(34.9105 31.4557),,,,
Q389694,,Tappah Gārān,,https://database.factgrid.de/entity/Q389694,,Point(47.3375 32.5802),,,,
Q389696,,Tappah Mūsiyān,,https://database.factgrid.de/entity/Q389696,,Point(47.351 32.553),,,,
Q389691,,Tapah Daylam,,https://database.factgrid.de/entity/Q389691,,Point(48.4262 32.1672),,,,
Q390051,,Mezraa Teleilat,,https://database.factgrid.de/entity/Q390051,,Point(37.9859 36.9773),,,,
Q390007,,Kārībahīn,,https://database.factgrid.de/entity/Q390007,,Point(42.9355 36.776),,,,
Q390061,,Burmageçit,,https://database.factgrid.de/entity/Q390061,,Point(39.5429 38.9714),,,,
Q390075,,Hamamköy,,https://database.factgrid.de/entity/Q390075,,Point(41.3538 39.9056),,,,
Q390099,,Koçaklar,,https://database.factgrid.de/entity/Q390099,,Point(42.7035 39.231),,,,
Q390015,,Kānī Bī,,https://database.factgrid.de/entity/Q390015,,Point(44.8358 35.881),,,,
