audit_status,cdli_id,factgrid_qid,live_cdli_id,live_label_en,live_description_en,label,artifact_type,period_id,period,period_time_range,statement_status,statement_value,statement_value_label,live_period_property,live_period_qid,live_period_label,provenience,primary_collection
no_expected_no_live,567352,Q2164304,P567352,"Cuneiform Tablet Iraq 59, 157, no. 13","CDLI artifact: tablet; from Uruk (mod. Warka); held by Birmingham Museums and Art Gallery, Birmingham, UK; CDLI P567352","Iraq 59, 157, no. 13",tablet,,,,,,,,,,Uruk (mod. Warka),"Birmingham Museums and Art Gallery, Birmingham, UK"
no_expected_no_live,567368,Q2169592,P567368,"Cuneiform Tablet Iraq 59, 160, no. 29","CDLI artifact: tablet; from Uruk (mod. Warka); held by Birmingham Museums and Art Gallery, Birmingham, UK; CDLI P567368","Iraq 59, 160, no. 29",tablet,,,,,,,,,,Uruk (mod. Warka),"Birmingham Museums and Art Gallery, Birmingham, UK"
no_expected_no_live,567387,Q2169179,P567387,"Cuneiform Tablet Iraq 59, 172, no. 51","CDLI artifact: tablet; from Babylon (mod. Bābil); held by Birmingham Museums and Art Gallery, Birmingham, UK; CDLI P567387","Iraq 59, 172, no. 51",tablet,,,,,,,,,,Babylon (mod. Bābil),"Birmingham Museums and Art Gallery, Birmingham, UK"
no_expected_no_live,567391,Q2031629,P567391,"Cuneiform Tablet Iraq 59, 173, no. 55","CDLI artifact: tablet; from Borsippa (mod. Birs Nimrud); held by Birmingham Museums and Art Gallery, Birmingham, UK; CDLI P567391","Iraq 59, 173, no. 55",tablet,,,,,,,,,,Borsippa (mod. Birs Nimrud),"Birmingham Museums and Art Gallery, Birmingham, UK"
no_expected_no_live,567450,Q2165524,P567450,Cuneiform Tablet BM 043873,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P567450",BM 043873,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,567503,Q2170624,P567503,Cuneiform Tablet FM 156007,"CDLI artifact: tablet; from Babylon (mod. Bābil); held by Field Museum of Natural History, Chicago, Illinois, USA; CDLI P567503",FM 156007,tablet,,,,,,,,,,Babylon (mod. Bābil),"Field Museum of Natural History, Chicago, Illinois, USA"
no_expected_no_live,567515,Q2166361,P567515,Cuneiform Tablet BM 042476,"CDLI artifact: tablet; from Kutha (mod. Tell Ibrahim); held by British Museum, London, UK; CDLI P567515",BM 042476,tablet,,,,,,,,,,Kutha (mod. Tell Ibrahim),"British Museum, London, UK"
no_expected_no_live,567542,Q2168316,P567542,Cuneiform Tablet VAT 13160,"CDLI artifact: tablet; from Babylon (mod. Bābil); held by Vorderasiatisches Museum, Berlin, Germany; CDLI P567542",VAT 13160,tablet,,,,,,,,,,Babylon (mod. Bābil),"Vorderasiatisches Museum, Berlin, Germany"
no_expected_no_live,567554,Q2168290,P567554,Cuneiform Tablet VAT 13381,"CDLI artifact: tablet; from Babylon (mod. Bābil); held by Vorderasiatisches Museum, Berlin, Germany; CDLI P567554",VAT 13381,tablet,,,,,,,,,,Babylon (mod. Bābil),"Vorderasiatisches Museum, Berlin, Germany"
no_expected_no_live,567610,Q2162566,P567610,Cuneiform Tablet BM 040146,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P567610",BM 040146,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,567647,Q2165004,P567647,Cuneiform Tablet BM 040212,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P567647",BM 040212,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,567684,Q2143679,P567684,Cuneiform Tablet BM 040265,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P567684",BM 040265,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,567702,Q2164158,P567702,Cuneiform Tablet BM 040290,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P567702",BM 040290,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,567738,Q2169426,P567738,Cuneiform Tablet BM 040358,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P567738",BM 040358,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,567755,Q2162212,P567755,Cuneiform Tablet BM 040383,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P567755",BM 040383,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,567779,Q2167174,P567779,Cuneiform Tablet BM 040416,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P567779",BM 040416,tablet,,,,,,,,,,,"British Museum, London, UK"
