repair_status,cdli_id,factgrid_qid,artifact_label,live_period_property,live_period_qid,live_period_label,correct_period_qid,expected_period_label,repair_note
ready,385527,Q2165076,"Cuneiform Tablet OECT 12, pl. 46-47, AB 241",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,413023,Q2165772,Cuneiform Tablet BM 102275,P853,Q512148,Ur III Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,413035,Q2170055,Cuneiform Tablet BM 102290,P853,Q512148,Ur III Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,413432,Q2154837,Cuneiform Tablet BM 103583,P853,Q512148,Ur III Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,413473,Q2165609,Cuneiform Tablet BM 103624,P853,Q512148,Ur III Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,414709,Q2165928,"Cuneiform Tablet UET 4, 0013",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,414748,Q2159852,"Cuneiform Tablet UET 4, 0052",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,459070,Q2162640,"Cuneiform Tablet OIC 22, & 141 26",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,475959,Q2162104,Cuneiform Artifact CDLI Seals 009219 (physical),P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,480427,Q2146782,"Cuneiform Tablet StPohl SM 11, 04",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,533020,Q2169080,Cuneiform Tablet PF-NN 0530,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,533036,Q2047275,Cuneiform Tablet PF-NN 2261,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,533061,Q2166810,Cuneiform Tablet Fort. 0172-101,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,533108,Q2162217,Cuneiform Tablet Fort. 1677-103,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
