write_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,period_property,period_qid,expected_period_label,write_note,new_claim_id,write_error
written,539505,P539505,Q2162237,CDLI Seals 018625 (physical),Cuneiform Artifact CDLI Seals 018625 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539505",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2162237$1197B347-E067-4784-A691-55CC6C53C995,
written,539529,P539529,Q2167132,CDLI Seals 018649 (physical),Cuneiform Artifact CDLI Seals 018649 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539529",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2167132$460B64BF-A90F-483A-A41C-5E5DEB6D5FC0,
written,539552,P539552,Q2164173,CDLI Seals 018672 (physical),Cuneiform Artifact CDLI Seals 018672 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539552",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2164173$58BECFFD-7849-4420-A09C-323F5441B741,
written,539568,P539568,Q2169472,CDLI Seals 018688 (physical),Cuneiform Artifact CDLI Seals 018688 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539568",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2169472$1F2B6158-6F9E-4489-A432-119FF323E42C,
written,539587,P539587,Q2169306,CDLI Seals 018707 (physical),Cuneiform Artifact CDLI Seals 018707 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539587",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2169306$1FBA8B39-AB43-4E48-8FB2-4CE1515AF560,
written,539591,P539591,Q2021092,CDLI Seals 018711 (physical),Cuneiform Artifact CDLI Seals 018711 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539591",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2021092$F3ABA145-68E0-4C93-9AFA-4A1204E263AE,
written,539600,P539600,Q2165554,CDLI Seals 018720 (physical),Cuneiform Artifact CDLI Seals 018720 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539600",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2165554$74E01C56-29CB-489E-B7A7-C047E3674F2F,
written,539616,P539616,Q2170257,CDLI Seals 018736 (physical),Cuneiform Artifact CDLI Seals 018736 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539616",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2170257$2225F37D-DDCA-48CE-8F9A-0C649810403D,
written,539641,P539641,Q2152753,CDLI Seals 018761 (physical),Cuneiform Artifact CDLI Seals 018761 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539641",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2152753$41DB46D4-C8E6-463B-A5E3-F6D32765DD28,
written,540298,P540298,Q2158909,CDLI Seals 019479 (physical),Cuneiform Artifact CDLI Seals 019479 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Metropolitan Museum of Art, New York, New York, USA; CDLI P540298",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2158909$5BCC70BB-A65D-4656-910F-F315B11D96E0,
written,540308,P540308,Q2163832,CDLI Seals 019489 (physical),Cuneiform Artifact CDLI Seals 019489 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Metropolitan Museum of Art, New York, New York, USA; CDLI P540308",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2163832$9B87C360-6DE2-44C3-BD35-4C890B654343,
written,540975,P540975,Q2162135,CDLI Seals 020099 (physical),Cuneiform Artifact CDLI Seals 020099 (physical),"CDLI artifact: Cylinder seal; from Tutub (mod. Khafaje); ED IIIa; held by National Museum of Iraq, Baghdad, Iraq; CDLI P540975",P853,Q512140,ED IIIa,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2162135$75A71D35-5EC4-4645-964A-35E79894FEBE,
written,541165,P541165,Q2168016,CDLI Seals 020300 (physical),Cuneiform Artifact CDLI Seals 020300 (physical),"CDLI artifact: Cylinder seal; from Ur (mod. Tell Muqayyar); Old Akkadian; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P541165",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2168016$21E187D9-A3F8-4C6F-BDDF-69DF21D489AB,
written,541237,P541237,Q2162294,CDLI Seals 020446 (physical),Cuneiform Artifact CDLI Seals 020446 (physical),"CDLI artifact: Cylinder seal; from Ur (mod. Tell Muqayyar); ED I-II; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P541237",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2162294$E4757287-20DA-46CF-A137-CB44B03657D6,
written,542270,P542270,Q2163030,CDLI Seals 021428 (physical),Cuneiform Artifact CDLI Seals 021428 (physical),CDLI artifact: Cylinder seal; from Tutub (mod. Khafaje); Old Akkadian; CDLI P542270,P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2163030$93DD0EB4-F59C-471A-8E27-77833EE91D89,
written,542335,P542335,Q2163815,CDLI Seals 021494 (physical),Cuneiform Artifact CDLI Seals 021494 (physical),"CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); ED I-II; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P542335",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2163815$8E8C230D-596D-488E-8A47-4993FE0090A1,
written,542358,P542358,Q2170215,CDLI Seals 021517 (physical),Cuneiform Artifact CDLI Seals 021517 (physical),"CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); ED IIIb; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P542358",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2170215$40F31C50-C7DD-4717-ACBA-E044D79080F6,
written,542620,P542620,Q2163177,CDLI Seals 021766 (physical),Cuneiform Artifact CDLI Seals 021766 (physical),CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; CDLI P542620,P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2163177$01BB671B-E6AF-46D3-82F2-D09410D0C02A,
written,542708,P542708,Q2170072,CDLI Seals 021854 (physical),Cuneiform Artifact CDLI Seals 021854 (physical),"CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; held by National Museum of Iraq, Baghdad, Iraq; CDLI P542708",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2170072$51C206D8-9836-448D-BDCD-9ED38A584088,
written,542749,P542749,Q2167715,CDLI Seals 021895 (physical),Cuneiform Artifact CDLI Seals 021895 (physical),"CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P542749",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2167715$BE1585DE-B46B-418D-BC71-AB6C49ADBC70,
written,542765,P542765,Q2163976,CDLI Seals 021911 (physical),Cuneiform Artifact CDLI Seals 021911 (physical),"CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P542765",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2163976$7A220086-4B6E-4D53-B8CA-B282A5FE1E1B,
written,542925,P542925,Q2169493,CDLI Seals 022071 (physical),Cuneiform Artifact CDLI Seals 022071 (physical),CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; CDLI P542925,P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2169493$F690CCD8-81BB-4B17-A774-EE1445F9D662,
written,542948,P542948,Q2162134,CDLI Seals 022094 (physical),Cuneiform Artifact CDLI Seals 022094 (physical),CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; CDLI P542948,P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2162134$AC387F74-07C4-4395-A935-B5C89872AE9A,
written,542964,P542964,Q2167246,CDLI Seals 022110 (physical),Cuneiform Artifact CDLI Seals 022110 (physical),CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; CDLI P542964,P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2167246$0DE71223-27AE-40E5-8D74-A0EE58C52E50,
written,543271,P543271,Q2148019,TA 1932 0740,Cuneiform Artifact TA 1932 0740,"CDLI artifact: sealing; from Ešnunna (mod. Tell Asmar); ED IIIb; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P543271",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2148019$156255C6-F932-4F04-9BBC-956CF05F9A34,
written,543621,P543621,Q2144099,LB 0930/8 (unpublished),Cuneiform Artifact LB 0930/8 (unpublished),"CDLI artifact: cone; Old Akkadian; held by de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands; CDLI P543621",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2144099$27F115D6-3836-4271-8AFA-FFAD29047E60,
written,544520,P544520,Q2162454,CDLI Seals 022209 (physical),Cuneiform Artifact CDLI Seals 022209 (physical),"CDLI artifact: Cylinder seal; from Tutub (mod. Khafaje); ED IIIa; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P544520",P853,Q512140,ED IIIa,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2162454$424DE727-F856-40C2-BDCA-7DE110333F90,
written,544577,P544577,Q2165201,CDLI Seals 022266 (physical),Cuneiform Artifact CDLI Seals 022266 (physical),CDLI artifact: Cylinder seal; from Tutub (mod. Khafaje); ED I-II; CDLI P544577,P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2165201$A40E8627-323C-4800-A7BA-A54233D5B3E0,
written,544598,P544598,Q2164079,CDLI Seals 022287 (physical),Cuneiform Artifact CDLI Seals 022287 (physical),"CDLI artifact: Cylinder seal; from Tutub (mod. Khafaje); ED I-II; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P544598",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2164079$5368AB6D-4EA1-486B-8A49-C5C1D195EAF8,
written,545425,P545425,Q2162702,CDLI Seals 023054 (physical),Cuneiform Artifact CDLI Seals 023054 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by Newell Collections of Babylonian Seals, Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P545425",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2162702$85B5D58B-AF58-44ED-AD7F-181BA570EE32,
written,545433,P545433,Q1364959,CDLI Seals 023062 (physical),Cuneiform Artifact CDLI Seals 023062 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Newell Collections of Babylonian Seals, Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P545433",P853,Q512140,ED IIIa,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q1364959$9F6C09C6-D4AF-4130-980B-D38FB08A6528,
written,545937,P545937,Q2166224,CDLI Seals 023608 (physical),Cuneiform Artifact CDLI Seals 023608 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by Newell Collections of Babylonian Seals, Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P545937",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2166224$C71C3A90-D527-4C54-8432-4051D0C5CAFF,
written,545976,P545976,Q2165194,CDLI Seals 023647 (physical),Cuneiform Artifact CDLI Seals 023647 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P545976",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2165194$199387EA-4E67-419E-8654-2FE832647714,
written,546136,P546136,Q2047114,CDLI Seals 023807 (physical),Cuneiform Artifact CDLI Seals 023807 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P546136",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2047114$4983C9B0-23F6-4BAF-BDEA-0A252FEC0FE4,
written,546209,P546209,Q2168015,CDLI Seals 023880 (physical),Cuneiform Artifact CDLI Seals 023880 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P546209",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2168015$158A9EE6-2968-44F8-875E-612F2767C918,
written,546589,P546589,Q2148195,CDLI Seals 024075 (physical),Cuneiform Artifact CDLI Seals 024075 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Museo Profano, Vatican CIty, Rome, Italy; CDLI P546589",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2148195$37E06FAD-266C-46CD-8356-A1C232AAB3AB,
written,546726,P546726,Q2163597,CDLI Seals 024203 (physical),Cuneiform Artifact CDLI Seals 024203 (physical),"CDLI artifact: Cylinder seal; from Kish (mod. Tell Ingharra); ED IIIb; held by Field Museum of Natural History, Chicago, Illinois, USA; CDLI P546726",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2163597$FFB701F3-18CD-49D3-AE61-08288C08EAFF,
written,547567,P547567,Q2163991,CDLI Seals 024995 (physical),Cuneiform Artifact CDLI Seals 024995 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED I-II; held by Collection BIBLE+ORIENT, University of Fribourg, Switzerland; CDLI P547567",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2163991$306405D9-7297-48CC-B455-4048DE4C1C5D,
written,547588,P547588,Q2163029,CDLI Seals 025016 (physical),Cuneiform Artifact CDLI Seals 025016 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by Collection BIBLE+ORIENT, University of Fribourg, Switzerland; CDLI P547588",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2163029$07575F13-5047-4870-A218-1B5288F9F118,
written,547834,P547834,Q2163563,CDLI Seals 025255 (physical),Cuneiform Artifact CDLI Seals 025255 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by The Art Museum, Princeton University, Princeton, New Jersey, USA; CDLI P547834",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2163563$8BCE73A9-DDD3-4FC0-BB8C-8D93550BC78C,
written,548305,P548305,Q2170045,CDLI Seals 025690 (physical),Cuneiform Artifact CDLI Seals 025690 (physical),"CDLI artifact: Cylinder seal; from Mari (mod. Tell Hariri); ED IIIb; held by National Museum of Syria, Aleppo, Syria; CDLI P548305",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2170045$4AA80A71-4FBF-447F-8E9E-381D3955F007,
written,549294,P549294,Q2166825,CDLI Seals 026536 (physical),Cuneiform Artifact CDLI Seals 026536 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED I-II; held by Michael Chiha collection, Beyrouth, Lebanon; CDLI P549294",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2166825$42FDE59E-B888-450B-AEE8-ED1F0A7D1FAE,
written,549312,P549312,Q2162398,CDLI Seals 026554 (physical),Cuneiform Artifact CDLI Seals 026554 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by Michael Chiha collection, Beyrouth, Lebanon; CDLI P549312",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2162398$25AB8C33-83A0-4646-83CF-E707ABAB29FA,
written,549715,P549715,Q2165102,Ashm 1939-0332 (125),Cuneiform Artifact Ashm 1939-0332 (125),"CDLI artifact: sealing; from Nagar (mod. Tell Brak); ED I-II; held by Ashmolean Museum, Oxford, UK; CDLI P549715",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2165102$3B860B8C-71C0-4E10-BDF4-B3E7DE079A84,
written,549739,P549739,Q2044627,Ashm 1939-0332 (163),Cuneiform Artifact Ashm 1939-0332 (163),"CDLI artifact: sealing; from Nagar (mod. Tell Brak); Old Akkadian; held by Ashmolean Museum, Oxford, UK; CDLI P549739",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2044627$0E1A1A60-A3D5-44BD-8622-218DF5B1DD41,
written,549742,P549742,Q2162514,Ashm 1939-0332 (017),Cuneiform Artifact Ashm 1939-0332 (017),"CDLI artifact: sealing; from Nagar (mod. Tell Brak); ED I-II; held by Ashmolean Museum, Oxford, UK; CDLI P549742",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2162514$4B7D4CEF-EECD-458D-95B8-884C7CDBB64F,
written,549914,P549914,Q2166003,Ashm 1930-0387c,Cuneiform Artifact Ashm 1930-0387c,"CDLI artifact: sealing; from Kish (mod. Tell Ingharra); ED I-II; held by Ashmolean Museum, Oxford, UK; CDLI P549914",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2166003$822D9126-D53A-4894-9BF6-9304045A594E,
written,549943,P549943,Q1932802,Ashm 1930-0408 (02),Cuneiform Artifact Ashm 1930-0408 (02),"CDLI artifact: sealing; from Kish (mod. Tell Ingharra); Old Akkadian; held by Ashmolean Museum, Oxford, UK; CDLI P549943",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q1932802$86C8BF6E-2FB5-4801-982F-84CA01C7DB0E,
written,549955,P549955,Q2161366,Ashm 1931-0158,Cuneiform Artifact Ashm 1931-0158,"CDLI artifact: sealing; from Kish (mod. Tell Ingharra); ED I-II; held by Ashmolean Museum, Oxford, UK; CDLI P549955",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2161366$DAE94D78-6FFE-45C7-8F19-7599778EBB23,
written,565744,P565744,Q2167184,"Kaskal 4 (2007) p. 43-64, no. 05","Cuneiform Tablet Kaskal 4 (2007) p. 43-64, no. 05","CDLI artifact: tablet; from Šubat-Enlil (mod. Leilan); Old Akkadian; held by National Museum of Syria, Der-ez-Zor, Syria; CDLI P565744",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2167184$CDDB7BAC-59E5-4E0E-BD5E-5E39D21F1141,
written,603197,P603197,Q2167259,"ZA 110, 9 no. 3","Cuneiform Artifact ZA 110, 9 no. 3","CDLI artifact: tag; from Kian (Tell Shmid); ED IIIb; held by National Museum of Iraq, Baghdad, Iraq; CDLI P603197",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2167259$D2774EA0-FFD4-4374-AAAD-962ACF1024C1,
