audit_status,cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,expected_period_qid,expected_period_label,live_period_property,live_period_qid,live_period_label,live_cdli_id
no_expected_no_live,493899,Q2165932,,Cuneiform Tablet P493899,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P493899",,,,,,P493899
no_expected_no_live,493933,Q2166122,,Cuneiform Tablet P493933,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P493933",,,,,,P493933
no_expected_no_live,493948,Q2163188,,Cuneiform Tablet P493948,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P493948",,,,,,P493948
no_expected_no_live,493972,Q2164431,,Cuneiform Tablet P493972,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P493972",,,,,,P493972
no_expected_no_live,494063,Q2167138,,Cuneiform Tablet P494063,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494063",,,,,,P494063
no_expected_no_live,494126,Q2166781,,"Cuneiform Tablet TBER pl. 89-90, AO 26784","CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494126",,,,,,P494126
no_expected_no_live,494167,Q2169103,,Cuneiform Tablet P494167,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494167",,,,,,P494167
no_expected_no_live,494171,Q2047151,,Cuneiform Tablet P494171,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494171",,,,,,P494171
no_expected_no_live,494188,Q2169510,,Cuneiform Tablet P494188,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494188",,,,,,P494188
no_expected_no_live,494219,Q2170589,,Cuneiform Tablet P494219,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494219",,,,,,P494219
no_expected_no_live,494258,Q2168342,,Cuneiform Tablet P494258,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494258",,,,,,P494258
no_expected_no_live,494274,Q2163362,,Cuneiform Tablet P494274,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494274",,,,,,P494274
no_expected_no_live,494433,Q2167255,,Cuneiform Tablet P494433,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494433",,,,,,P494433
no_expected_no_live,494448,Q2164337,,Cuneiform Tablet P494448,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494448",,,,,,P494448
no_expected_no_live,494464,Q2142498,,Cuneiform Tablet P494464,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494464",,,,,,P494464
no_expected_no_live,494472,Q2169631,,Cuneiform Tablet P494472,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494472",,,,,,P494472
no_expected_no_live,494761,Q2163581,,"Cuneiform Tablet CM 03, no. 341","CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P494761",,,,,,P494761
no_expected_no_live,495737,Q2166496,,Cuneiform Tablet Sb 07391,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P495737",,,,,,P495737
no_expected_no_live,495760,Q2047836,,Cuneiform Tablet Sb 09507,"CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P495760",,,,,,P495760
no_expected_no_live,495776,Q2168816,,"Cuneiform Tablet Schülertexte aus Susa, 200 T 248","CDLI artifact: tablet; held by Louvre Museum, Paris, France; CDLI P495776",,,,,,P495776
