repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note
ready,399247,P399247,Q2167468,K 11353,Cuneiform Tablet K 11353,,P853,Q512148,Ur III Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,401819,P401819,Q2163297,K 16181,Cuneiform Tablet K 16181,,P853,Q512151,Old Assyrian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,402736,P402736,Q2163610,K 17389,Cuneiform Tablet K 17389,,P853,Q512148,Ur III Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,403824,P403824,Q2163283,K 18681,Cuneiform Tablet K 18681,,P853,Q512146,Lagash II Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,407867,P407867,Q2166349,SM 1913.02.251,Cuneiform Tablet SM 1913.02.251,,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,408291,P408291,Q2162122,"HSS 13, 019","Cuneiform Tablet HSS 13, 019",,P853,Q512148,Ur III Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,412366,P412366,Q2167346,"CTMMA 3, 088","Cuneiform Tablet CTMMA 3, 088",,P853,Q512148,Ur III Period,Achaemenid Period,Q512163,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,413577,P413577,Q2162255,BM 103729,Cuneiform Tablet BM 103729,,P853,Q512152,Old Babylonian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,415159,P415159,Q2164963,"UET 5, 0275","Cuneiform Tablet UET 5, 0275",,P853,Q512146,Lagash II Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,415509,P415509,Q2167914,"UET 5, 0637","Cuneiform Tablet UET 5, 0637",,P853,Q512150,Early Old Babylonian Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
