repair_status,cdli_id,factgrid_qid,artifact_label,live_period_property,live_period_qid,live_period_label,correct_period_qid,expected_period_label,repair_note,removed_claim_ids,new_claim_id,write_status,write_error
ready,371589,Q2168221,"Cuneiform Tablet VS 04, 065",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2168221$28B231C4-4680-474C-931A-95C32D26169F,Q2168221$5835BE39-CC48-4962-99D9-5DE66C6C24AB,written,
ready,371622,Q2162166,"Cuneiform Tablet VS 04, 098",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2162166$2ED6344D-17A6-4CF0-85EB-0D2911594316,Q2162166$DAE3CD49-93FC-489F-8BC6-A502F80A8BA2,written,
ready,371659,Q2143894,"Cuneiform Tablet VS 04, 136",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2143894$D9EB8565-4362-448D-B82C-8B05F0A39810,Q2143894$0595B87F-D41C-4F0B-99F2-759DEDF6ECF6,written,
ready,371675,Q2164287,"Cuneiform Tablet VS 04, 152",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164287$98C63395-10E7-4875-B324-DCA10563A79C,Q2164287$A3CFD2F6-956E-4C13-B7B9-5018F9A343D0,written,
ready,371788,Q2162201,"Cuneiform Tablet VS 05, 054",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2162201$C9F3724F-BC40-49BE-80CE-38E3033DCE14,Q2162201$8611D0D4-730A-45C7-8BA0-E742F4C5DCEA,written,
ready,371823,Q2167770,"Cuneiform Tablet VS 05, 089",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2167770$CEBF8C9A-2F2A-4979-BA3F-C87625B51EFF,Q2167770$1DA660A7-B307-4AA2-853D-6CAF534A0EC5,written,
ready,371835,Q2157353,"Cuneiform Tablet VS 05, 101",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2157353$3ABD0CF5-17E1-4BC8-BEC1-FBF717C96E91,Q2157353$7563E3D3-B9C5-4418-9E58-FCEDE016006B,written,
ready,371862,Q2170021,"Cuneiform Tablet VS 05, 128",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2170021$6CA3010B-A793-4815-B492-BA0F1D7A16FC,Q2170021$4254C677-9129-4A7C-9A8F-444817293C84,written,
ready,372059,Q2164570,"Cuneiform Tablet VS 06, 164",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164570$7B01B29E-A718-49DD-B1A3-23DC174E51B3,Q2164570$95932CB4-142C-4776-876D-F8FD5202E46A,written,
ready,372075,Q2057716,"Cuneiform Tablet VS 06, 180",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2057716$7A1E4536-4FD9-492A-9E15-33719F86F487,Q2057716$AA8CD62D-AFC0-41DA-93FC-0E0A2571199D,written,
ready,372188,Q2167466,"Cuneiform Tablet VS 06, 293",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2167466$49F4E524-7B86-408F-AE9C-C6D1AD7BCF2F,Q2167466$8F20E8C6-2480-4561-9972-CD2E84E39091,written,
ready,385177,Q2165238,"Cuneiform Tablet OECT 10, 164",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165238$DB272A2E-BF4A-426B-82D1-0BBD66118431,Q2165238$725BE9E8-AD75-4E19-A413-DC2F2AB5DF29,written,
ready,385198,Q2164179,"Cuneiform Tablet OECT 10, 185",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164179$A2C6FE7B-4CD0-4057-9AC4-6B489ADC3A05,Q2164179$29AAA3F1-363C-4E12-BCC6-9ADB1BED0E0A,written,
ready,385225,Q2166274,"Cuneiform Tablet OECT 10, 212",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2166274$E0302E7D-81C9-4E20-8F2A-0ED5B46646FA,Q2166274$59AC5F9B-0CD7-4EE8-9E65-B37DD42823DD,written,
ready,385419,Q2167097,"Cuneiform Tablet OECT 10, 406",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2167097$A20D79F3-B1CC-48A8-A392-4E3925EEF7E6,Q2167097$6F249F59-7260-44A4-9CE5-E8D26AF3030E,written,
ready,385458,Q2169362,"Cuneiform Tablet OECT 12, pl. 17, A 120",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2169362$E14C704B-5B87-45B0-A565-B7ABD4C9262B,Q2169362$967009EC-0B99-4070-9DD1-68B1740BAF33,written,
ready,385527,Q2165076,"Cuneiform Tablet OECT 12, pl. 46-47, AB 241",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165076$F0DAEE32-5454-45F6-AFEE-936C4768AAE1,Q2165076$B613966B-E147-4681-AA92-51DAF9929B50,written,
ready,413023,Q2165772,Cuneiform Tablet BM 102275,P853,Q512148,Ur III Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165772$B94437C4-3700-43D2-AC3D-58915FB6D411,Q2165772$ED3D30FA-BBAD-4BF3-9657-B285F6504E0E,written,
ready,413035,Q2170055,Cuneiform Tablet BM 102290,P853,Q512148,Ur III Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2170055$BF99A748-4281-46B6-A72C-754C82B05324,Q2170055$BABE663F-C44C-452D-AEAF-6C85496B518C,written,
ready,413432,Q2154837,Cuneiform Tablet BM 103583,P853,Q512148,Ur III Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2154837$42617CE4-10B1-4009-9006-EF68908F3284,Q2154837$289C1D8A-E6E9-4BE7-961E-8CEFC8FC58EA,written,
ready,413473,Q2165609,Cuneiform Tablet BM 103624,P853,Q512148,Ur III Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165609$7AA689B5-EF08-4003-B2F8-566AC441C84C,Q2165609$68449E0B-3501-4474-B176-15F63C644E1F,written,
ready,414709,Q2165928,"Cuneiform Tablet UET 4, 0013",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165928$9BD35FA8-4D44-49F8-BC5D-816E60CE13DB,Q2165928$398D4EA7-AAC6-4AB1-9C21-7AEB80C436B1,written,
ready,414748,Q2159852,"Cuneiform Tablet UET 4, 0052",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2159852$9BC0592A-B08F-483B-9AB7-23B5CEF148BE,Q2159852$D3CA61E4-809B-4810-9E26-C30AA1435B4E,written,
ready,459070,Q2162640,"Cuneiform Tablet OIC 22, & 141 26",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2162640$E1690631-899D-4089-AD29-7DAB80883DFE,Q2162640$BD6D35C9-0ADF-4443-8754-B2F27C7BE2EF,written,
ready,475959,Q2162104,Cuneiform Artifact CDLI Seals 009219 (physical),P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2162104$53F247ED-0BF6-412E-9142-C65D8AC126F6,Q2162104$4378A15F-5BE5-4AED-99FF-E3492D8DAC66,written,
ready,480427,Q2146782,"Cuneiform Tablet StPohl SM 11, 04",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2146782$8CE12903-74A9-45BE-8897-CBCD1F539859,Q2146782$21C976B0-7CA9-430F-A5D8-0776D1632C28,written,
ready,533020,Q2169080,Cuneiform Tablet PF-NN 0530,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2169080$94E38945-4C5C-45DF-AFB6-1A7604517247,Q2169080$D3CBD70B-F214-4D2D-8900-48878D78C05C,written,
ready,533036,Q2047275,Cuneiform Tablet PF-NN 2261,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2047275$12DA7E50-EAAC-4210-A4B0-79BA55A72CF6,Q2047275$5C78FCE4-225D-4042-BFCF-E56C7FE0AC2D,written,
ready,533061,Q2166810,Cuneiform Tablet Fort. 0172-101,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2166810$C34E52C2-4A0F-4E63-B89F-7694A1725713,Q2166810$4D056E8F-18B8-4CE1-BA27-F33B1F082230,written,
ready,533108,Q2162217,Cuneiform Tablet Fort. 1677-103,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2162217$2E9169F0-8E85-42DF-A34A-21F9D8AA030D,Q2162217$1A9FC5E4-CC62-4E40-A35C-90397F6966B4,written,
ready,533124,Q2167182,Cuneiform Tablet Fort. 1876-102,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2167182$FFC059AC-D1E7-43C8-B831-5D4B6C56C261,Q2167182$AE41193B-2632-4C32-B808-E7C74A7960E0,written,
ready,533165,Q2169413,Cuneiform Tablet PF-NN 0711,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2169413$6F66C25B-9579-47F1-B868-7CE9D386FCC3,Q2169413$9845A2C3-7F33-4E58-8C54-99F70E6B3AFB,written,
ready,533173,Q2146704,Cuneiform Tablet PFa 02,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2146704$A625A842-65C8-4080-BBE8-780B617046AE,Q2146704$62AAB5F3-8004-4E33-9164-AFD8F7909346,written,
ready,537409,Q2164762,"Cuneiform Tablet OIP 65, 3",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164762$04D2E79E-E020-4D51-9573-6C463D735D49,Q2164762$44EEC456-4B0A-4C71-879E-645B0E3CBB20,written,
ready,537425,Q2047620,"Cuneiform Tablet OIP 65, 12b",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2047620$F14BC662-6405-4B12-9B5B-04F7E5056C80,Q2047620$64359890-772E-4C06-BF51-18CA1775CBC9,written,
ready,537433,Q2168903,"Cuneiform Tablet OIP 65, 20",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2168903$1F579F62-428E-4195-B7DA-C8EB5A2A5068,Q2168903$C0A73FD0-8711-46F9-B82B-45109DB95571,written,
