repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note,removed_claim_ids,new_claim_id,write_status,write_error
ready,352656,P352656,Q2151649,"ARM 22, 210 + 214","Cuneiform Tablet ARM 22, 210 + 214",,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2151649$652955B0-BD91-426A-8EE7-E5AEDBB9558F,Q2151649$0AD9F751-AAD6-40C1-9BCC-7A76CDCE6172,written,
ready,353102,P353102,Q2164385,"ARM 23, 314","Cuneiform Tablet ARM 23, 314",,P853,Q512150,Early Old Babylonian Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2164385$CF2F4487-80B6-4743-9486-01C8644A14C1,Q2164385$2802B031-0BEB-4AD3-9E4A-ADD28F92B6ED,written,
ready,353552,P353552,Q2162350,"ARM 24, 137","Cuneiform Tablet ARM 24, 137",,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162350$23EBFD35-F790-4E89-A71F-642023BB31BB,Q2162350$F05E4EB6-28B9-4C4F-B7A3-037A1ACEF860,written,
ready,354297,P354297,Q2162392,"ARM 25, 558","Cuneiform Tablet ARM 25, 558",,P853,Q512146,Lagash II Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162392$6A6CC25E-FA73-40F3-BF40-491EEF18C25C,Q2162392$C719EB9A-2564-432B-916B-647643154AF0,written,
ready,355486,P355486,Q2167263,"ARM 31, 064","Cuneiform Tablet ARM 31, 064",,P853,Q512150,Early Old Babylonian Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167263$438FE434-A53F-44EE-AC61-A6EA053E22FC,Q2167263$2EFB7405-616B-47C8-9EC0-BD037C7B3039,written,
ready,357141,P357141,Q2165106,BWL pl. 65 K 15227+,Cuneiform Tablet BWL pl. 65 K 15227+,,P853,Q512155,Middle Assyrian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2165106$A16E41CD-9144-4BE1-9D5E-9C736E8551A0,Q2165106$F4CE797F-ED9F-43E9-8254-E9CF7A17829C,written,
ready,365030,P365030,Q2167237,LBAT 0937,Cuneiform Tablet LBAT 0937,,P853,Q512146,Lagash II Period,Hellenistic Period,Q512164,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167237$D1724FB8-6D68-4D8E-BC94-3A26BB403E50,Q2167237$234691B1-04BC-4CAB-80BE-6CBB73E48FCA,written,
ready,365933,P365933,Q2162460,"CT 28, pl. 38, K 03143","Cuneiform Tablet CT 28, pl. 38, K 03143",,P853,Q512148,Ur III Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162460$2765ABAF-E55F-49CC-8148-A4A52EF96333,Q2162460$98D570C5-EBBC-4A18-9D51-5734246E2900,written,
ready,366348,P366348,Q2165767,"CT 56, 033","Cuneiform Tablet CT 56, 033",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2165767$5AE5A1AB-5062-4067-B6F8-E3D5CEF74AF7,Q2165767$21B11E50-EE36-4EF2-8108-5DFBC4DAE40C,written,
ready,366466,P366466,Q2063586,"CT 56, 151","Cuneiform Tablet CT 56, 151",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2063586$5E4466C1-F514-4692-B776-3C1C4B823E33,Q2063586$F06E0246-58C7-42AC-A1A5-338876C45305,written,
